t (ms),a_x,a_y,a_z,g_x,g_y,g_z
317324,-6.539,1.788,-7.082,-0.018,0.016,-0.015
317427,-6.574,1.82,-7.029,-0.018,0.014,-0.014
317529,-6.558,1.822,-7.034,-0.019,0.009,-0.01
317632,-6.558,1.836,-7.056,-0.015,0.014,-0.014
317735,-6.551,1.836,-7.027,-0.015,0.013,-0.017
317838,-6.553,1.829,-7.041,-0.014,0.014,-0.016
317941,-6.565,1.834,-7.039,-0.014,0.016,-0.017
318044,-6.543,1.824,-7.051,-0.013,0.016,-0.017
318147,-6.567,1.848,-7.029,-0.012,0.018,-0.015
318250,-6.531,1.8,-7.07,-0.029,0.015,-0.009
318352,-6.551,1.824,-7.075,-0.033,0.013,-0.003
318455,-6.586,1.858,-6.989,-0.019,0.004,-0.01
318558,-6.577,1.901,-6.962,-0.006,-0.006,-0.008
318661,-6.56,1.87,-7.02,-0.023,0.008,-0.012
318764,-6.546,1.925,-7.034,0.002,0.013,-0.022
318867,-6.594,1.884,-6.984,0.018,0.01,-0.026
318970,-6.567,1.851,-6.996,0.038,0.009,-0.013
319073,-6.558,1.736,-7.104,0.015,0.038,-0.016
319176,-6.572,1.745,-7.022,-0.027,-0.01,-0.042
319279,-6.529,1.767,-7.104,-0.008,0.021,-0.026
319382,-6.606,1.705,-7.053,0.012,-0.007,0.018
319485,-6.606,1.781,-6.981,-0.015,-0.02,0.022
319588,-6.603,1.805,-7.046,0.007,-0.014,-0.013
319691,-6.637,1.762,-6.958,-0.035,0,-0.027
319794,-6.613,1.824,-6.979,-0.041,0.022,-0.057
319897,-6.649,1.712,-6.998,0.002,0.011,-0.036
320000,-6.584,1.693,-7.022,-0.008,0.009,-0.017
320103,-6.615,1.753,-7.017,-0.058,0.015,-0.045
320206,-6.677,1.853,-6.891,-0.027,0.021,-0.046
320309,-6.661,1.712,-6.986,0.011,0.009,-0.026
320412,-6.687,1.662,-6.946,0.012,0.002,-0.001
320515,-6.649,1.695,-7.008,-0.005,0.024,-0.011
320617,-6.649,1.731,-6.97,-0.023,0.018,-0.022
320720,-6.653,1.762,-6.993,-0.005,0.032,-0.022
320823,-6.625,1.709,-7.015,0.001,0.018,-0.022
320926,-6.61,1.652,-7.02,0.002,0.018,-0.018
321029,-6.658,1.721,-6.984,-0.01,0.027,-0.029
321132,-6.582,1.705,-7.075,-0.022,0.018,-0.051
321235,-6.62,1.717,-7.003,0.01,0.002,-0.024
321338,-6.663,1.554,-7.02,0.025,0.009,-0.02
321440,-6.656,1.499,-7.008,-0.008,0.006,-0.024
321543,-6.649,1.623,-6.965,-0.025,0.017,-0.016
321646,-6.692,1.674,-6.986,0.008,0.01,0.013
321749,-6.658,1.602,-6.996,0.013,0.035,-0.001
321852,-6.577,1.496,-7.108,-0.019,0.046,-0.021
321955,-6.512,1.583,-7.137,-0.033,0.062,-0.046
322058,-6.567,1.556,-7.096,0.03,0.047,-0.04
