t (ms),a_x,a_y,a_z,g_x,g_y,g_z
233294,-7.120,1.496,-6.290,-0.001,0.019,-0.015
233398,-7.104,1.511,-6.297,-0.002,0.014,-0.019
233501,-7.113,1.525,-6.292,-0.008,0.023,-0.018
233605,-7.094,1.518,-6.294,-0.004,0.008,-0.020
233708,-7.111,1.508,-6.285,-0.004,0.007,-0.023
233812,-7.120,1.501,-6.285,-0.005,0.016,-0.023
233915,-7.113,1.530,-6.263,-0.003,0.017,-0.021
234019,-7.096,1.504,-6.297,-0.001,0.018,-0.020
234122,-7.104,1.506,-6.290,-0.001,0.019,-0.023
234225,-7.094,1.506,-6.290,0.001,0.017,-0.021
234328,-7.082,1.511,-6.306,0.000,0.018,-0.021
234432,-7.101,1.499,-6.294,0.001,0.021,-0.021
234535,-7.065,1.501,-6.323,-0.000,0.011,-0.021
234639,-7.096,1.501,-6.309,0.000,0.010,-0.021
234742,-7.106,1.508,-6.294,-0.002,0.016,-0.018
234846,-7.068,1.508,-6.328,0.000,0.014,-0.019
234949,-7.075,1.511,-6.328,-0.001,0.009,-0.021
235053,-7.082,1.504,-6.309,-0.003,0.010,-0.022
235156,-7.094,1.501,-6.316,-0.001,0.011,-0.022
235259,-7.087,1.499,-6.306,-0.001,0.011,-0.021
235363,-7.080,1.499,-6.333,-0.003,0.009,-0.020
235466,-7.113,1.487,-6.261,-0.001,0.011,-0.021
235569,-7.072,1.494,-6.316,-0.002,0.009,-0.020
235673,-7.106,1.494,-6.287,-0.003,0.007,-0.020
235776,-7.113,1.511,-6.278,-0.001,0.006,-0.018
235880,-7.092,1.494,-6.285,0.001,0.007,-0.019
235984,-7.094,1.520,-6.285,-0.001,0.003,-0.019
236087,-7.104,1.501,-6.294,-0.002,0.003,-0.021
236191,-7.111,1.501,-6.278,-0.002,0.003,-0.021
236295,-7.111,1.511,-6.280,-0.005,0.004,-0.020
236399,-7.142,1.504,-6.256,-0.002,-0.000,-0.019
236502,-7.142,1.528,-6.254,-0.006,0.017,-0.017
236606,-7.104,1.513,-6.249,-0.002,0.010,-0.019
236709,-7.130,1.520,-6.251,0.000,0.014,-0.025
236813,-7.154,1.530,-6.251,0.001,0.024,-0.028
236916,-7.116,1.528,-6.290,-0.001,0.017,-0.023
237020,-7.123,1.480,-6.280,-0.003,0.013,-0.024
237124,-7.140,1.487,-6.258,-0.004,0.014,-0.022
