t (ms),a_x,a_y,a_z,g_x,g_y,g_z,ag_x,ag_y,ag_z,SVM_a,SVM_g,CM_a,CM_g,jerk_x,jerk_y,jerk_z,accl_x,accl_y,accl_z,th_x,th_y,th_z,ag_x_mean,ag_x_max,ag_x_min,ag_y_mean,ag_y_max,ag_y_min,ag_z_mean,ag_z_max,ag_z_min,g_x_mean,g_x_max,g_x_min,g_y_mean,g_y_max,g_y_min,g_z_mean,g_z_max,g_z_min,SMA_a,SMA_g,RMS_ag_x,RMS_ag_y,RMS_ag_z,RMS_g_x,RMS_g_y,RMS_g_z,MAD_ag_x,MAD_ag_y,MAD_ag_z,MAD_g_x,MAD_g_y,MAD_g_z,VAR_ag_x,VAR_ag_y,VAR_ag_z,VAR_g_x,VAR_g_y,VAR_g_z,STD_ag_x,STD_ag_y,STD_ag_z,STD_g_x,STD_g_y,STD_g_z,IQR_ag_x,IQR_ag_y,IQR_ag_z,IQR_g_x,IQR_g_y,IQR_g_z,FFT_ag_x,FFT_ag_y,FFT_ag_z,FFT_g_x,FFT_g_y,FFT_g_z,E_ag_x,E_ag_y,E_ag_z,E_g_x,E_g_y,E_g_z
401314,-4.681,2.033,-8.226,-0.009,0.001,-0.002,-0.477,0.207,-0.839,0.987,0.009,0.436,0.003,0.0,0.0,-0.0,0.0,0.0,0.0,2.075,1.36,2.587,-0.486,-0.473,-0.498,0.213,0.219,0.207,-0.837,-0.829,-0.848,-0.029,-0.001,-0.059,0.015,0.04,-0.019,-0.032,-0.002,-0.052,1.536,0.082,0.486,0.213,0.837,0.034,0.025,0.035,0.006,0.003,0.005,0.016,0.018,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.003,0.006,0.018,0.02,0.015,0.01,0.005,0.009,0.028,0.03,0.015,-4.864,2.129,-8.366,-0.291,0.148,-0.318,2.366,0.453,6.999,0.012,0.006,0.012
401416,-4.638,2.105,-8.313,-0.001,-0.019,-0.013,-0.473,0.215,-0.848,0.995,0.023,0.442,0.006,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,2.066,1.353,2.592,-0.486,-0.473,-0.498,0.213,0.219,0.207,-0.837,-0.829,-0.848,-0.029,-0.001,-0.059,0.015,0.04,-0.019,-0.032,-0.002,-0.052,1.536,0.082,0.486,0.213,0.837,0.034,0.025,0.035,0.006,0.003,0.005,0.016,0.018,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.003,0.006,0.018,0.02,0.015,0.01,0.005,0.009,0.028,0.03,0.015,0.007,-0.007,-0.002,0.09,-0.075,0.08,2.366,0.453,6.999,0.012,0.006,0.012
401519,-4.764,2.081,-8.25,-0.011,-0.012,-0.033,-0.486,0.212,-0.841,0.994,0.037,0.443,0.016,-0.0,-0.0,0.0,-0.0,0.0,-0.0,2.082,1.356,2.579,-0.486,-0.473,-0.498,0.213,0.219,0.207,-0.837,-0.829,-0.848,-0.029,-0.001,-0.059,0.015,0.04,-0.019,-0.032,-0.002,-0.052,1.536,0.082,0.486,0.213,0.837,0.034,0.025,0.035,0.006,0.003,0.005,0.016,0.018,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.003,0.006,0.018,0.02,0.015,0.01,0.005,0.009,0.028,0.03,0.015,0.027,-0.003,-0.018,0.012,0.01,0.058,2.366,0.453,6.999,0.012,0.006,0.012
401622,-4.748,2.059,-8.174,-0.019,0.0,-0.039,-0.484,0.21,-0.834,0.987,0.043,0.439,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,2.083,1.356,2.578,-0.486,-0.473,-0.498,0.213,0.219,0.207,-0.837,-0.829,-0.848,-0.029,-0.001,-0.059,0.015,0.04,-0.019,-0.032,-0.002,-0.052,1.536,0.082,0.486,0.213,0.837,0.034,0.025,0.035,0.006,0.003,0.005,0.016,0.018,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.003,0.006,0.018,0.02,0.015,0.01,0.005,0.009,0.028,0.03,0.015,0.012,-0.001,0.008,-0.005,-0.005,-0.0,2.366,0.453,6.999,0.012,0.006,0.012
401725,-4.738,2.083,-8.229,-0.032,0.02,-0.037,-0.483,0.212,-0.839,0.991,0.053,0.441,0.029,-0.0,0.0,-0.0,-0.0,0.0,0.0,2.08,1.355,2.58,-0.486,-0.473,-0.498,0.213,0.219,0.207,-0.837,-0.829,-0.848,-0.029,-0.001,-0.059,0.015,0.04,-0.019,-0.032,-0.002,-0.052,1.536,0.082,0.486,0.213,0.837,0.034,0.025,0.035,0.006,0.003,0.005,0.016,0.018,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.003,0.006,0.018,0.02,0.015,0.01,0.005,0.009,0.028,0.03,0.015,0.0,-0.011,-0.001,0.009,-0.007,0.011,2.366,0.453,6.999,0.012,0.006,0.012
401828,-4.755,2.088,-8.253,-0.041,0.03,-0.034,-0.485,0.213,-0.842,0.995,0.061,0.443,0.035,-0.0,0.0,0.0,-0.0,0.0,-0.0,2.08,1.355,2.58,-0.486,-0.473,-0.498,0.213,0.219,0.207,-0.837,-0.829,-0.848,-0.029,-0.001,-0.059,0.015,0.04,-0.019,-0.032,-0.002,-0.052,1.536,0.082,0.486,0.213,0.837,0.034,0.025,0.035,0.006,0.003,0.005,0.016,0.018,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.003,0.006,0.018,0.02,0.015,0.01,0.005,0.009,0.028,0.03,0.015,0.002,-0.015,0.002,-0.009,0.016,-0.0,2.366,0.453,6.999,0.012,0.006,0.012
401931,-4.779,2.114,-8.183,-0.059,0.04,-0.049,-0.487,0.216,-0.834,0.99,0.086,0.444,0.049,-0.0,0.0,0.0,-0.0,0.0,-0.0,2.085,1.351,2.573,-0.486,-0.473,-0.498,0.213,0.219,0.207,-0.837,-0.829,-0.848,-0.029,-0.001,-0.059,0.015,0.04,-0.019,-0.032,-0.002,-0.052,1.536,0.082,0.486,0.213,0.837,0.034,0.025,0.035,0.006,0.003,0.005,0.016,0.018,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.003,0.006,0.018,0.02,0.015,0.01,0.005,0.009,0.028,0.03,0.015,0.0,-0.011,-0.001,0.009,-0.007,0.011,2.366,0.453,6.999,0.012,0.006,0.012
402034,-4.855,2.145,-8.15,-0.053,0.03,-0.052,-0.495,0.219,-0.831,0.992,0.08,0.448,0.044,-0.0,-0.0,0.0,0.0,-0.0,0.0,2.093,1.348,2.564,-0.486,-0.473,-0.498,0.213,0.219,0.207,-0.837,-0.829,-0.848,-0.029,-0.001,-0.059,0.015,0.04,-0.019,-0.032,-0.002,-0.052,1.536,0.082,0.486,0.213,0.837,0.034,0.025,0.035,0.006,0.003,0.005,0.016,0.018,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.003,0.006,0.018,0.02,0.015,0.01,0.005,0.009,0.028,0.03,0.015,0.012,-0.001,0.008,-0.005,-0.005,-0.0,2.366,0.453,6.999,0.012,0.006,0.012
402136,-4.887,2.064,-8.131,-0.039,0.033,-0.038,-0.498,0.21,-0.829,0.99,0.064,0.443,0.037,-0.0,-0.0,0.0,0.0,-0.0,0.0,2.098,1.357,2.564,-0.486,-0.473,-0.498,0.213,0.219,0.207,-0.837,-0.829,-0.848,-0.029,-0.001,-0.059,0.015,0.04,-0.019,-0.032,-0.002,-0.052,1.536,0.082,0.486,0.213,0.837,0.034,0.025,0.035,0.006,0.003,0.005,0.016,0.018,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.003,0.006,0.018,0.02,0.015,0.01,0.005,0.009,0.028,0.03,0.015,0.027,-0.003,-0.018,0.012,0.01,0.058,2.366,0.453,6.999,0.012,0.006,0.012
402239,-4.86,2.107,-8.133,-0.027,0.025,-0.021,-0.496,0.215,-0.829,0.99,0.042,0.445,0.024,0.0,0.0,-0.0,0.0,0.0,0.0,2.096,1.352,2.564,-0.486,-0.473,-0.498,0.213,0.219,0.207,-0.837,-0.829,-0.848,-0.029,-0.001,-0.059,0.015,0.04,-0.019,-0.032,-0.002,-0.052,1.536,0.082,0.486,0.213,0.837,0.034,0.025,0.035,0.006,0.003,0.005,0.016,0.018,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.003,0.006,0.018,0.02,0.015,0.01,0.005,0.009,0.028,0.03,0.015,0.007,-0.007,-0.002,0.09,-0.075,0.08,2.366,0.453,6.999,0.012,0.006,0.012
