time (ms),acceleration x,acceleration y,acceleration z,gyro x,gyro y,gyro z
11161,-9.821,-0.053,1.841,-0.005,0.013,-0.019
11264,-9.826,-0.055,1.858,-0.004,0.012,-0.021
11367,-9.831,-0.055,1.839,-0.005,0.012,-0.021
11470,-9.828,-0.05,1.829,-0.004,0.012,-0.019
11573,-9.835,-0.057,1.853,-0.004,0.011,-0.02
11676,-9.833,-0.043,1.858,-0.004,0.012,-0.02
11779,-9.831,-0.057,1.839,-0.005,0.012,-0.02
11882,-9.845,-0.055,1.848,-0.004,0.011,-0.02
11985,-9.828,-0.055,1.851,-0.004,0.012,-0.02
12088,-9.84,-0.053,1.841,-0.005,0.012,-0.02
12191,-9.845,-0.045,1.834,-0.005,0.012,-0.019
12294,-9.833,-0.05,1.841,-0.005,0.012,-0.02
12397,-9.831,-0.05,1.846,-0.004,0.012,-0.02
12500,-9.843,-0.06,1.863,-0.005,0.012,-0.019
12603,-9.833,-0.053,1.846,-0.005,0.012,-0.019
12706,-9.838,-0.057,1.836,-0.004,0.012,-0.02
12809,-9.826,-0.055,1.824,-0.004,0.012,-0.02
12912,-9.831,-0.045,1.841,-0.004,0.011,-0.019
13015,-9.838,-0.057,1.844,-0.005,0.012,-0.02
13118,-9.826,-0.055,1.848,-0.004,0.013,-0.02
13221,-9.833,-0.05,1.844,-0.005,0.012,-0.02
13324,-9.831,-0.048,1.836,-0.004,0.012,-0.02
13427,-9.833,-0.053,1.829,-0.004,0.012,-0.02
13530,-9.831,-0.057,1.848,-0.004,0.012,-0.02
13633,-9.835,-0.048,1.851,-0.004,0.012,-0.02
13736,-9.828,-0.053,1.853,-0.005,0.012,-0.02
13839,-9.831,-0.045,1.846,-0.005,0.012,-0.02
13942,-9.828,-0.055,1.851,-0.005,0.012,-0.02
14045,-9.833,-0.05,1.846,-0.004,0.012,-0.02
14148,-9.838,-0.053,1.839,-0.005,0.012,-0.02
14251,-9.831,-0.05,1.844,-0.004,0.012,-0.02
14354,-9.831,-0.048,1.832,-0.004,0.013,-0.02
14457,-9.828,-0.057,1.844,-0.005,0.012,-0.02
14560,-9.833,-0.048,1.834,-0.004,0.012,-0.02
14663,-9.847,-0.057,1.846,-0.004,0.012,-0.02
14766,-9.831,-0.057,1.851,-0.005,0.012,-0.02
14869,-9.831,-0.048,1.851,-0.004,0.012,-0.02
14972,-9.847,-0.06,1.844,-0.005,0.012,-0.02
15075,-9.831,-0.048,1.844,-0.005,0.012,-0.02
15178,-9.835,-0.062,1.853,-0.004,0.012,-0.02
15281,-9.843,-0.057,1.844,-0.004,0.011,-0.019
15384,-9.838,-0.05,1.839,-0.005,0.012,-0.02
15487,-9.831,-0.053,1.829,-0.004,0.012,-0.02
15590,-9.835,-0.05,1.839,-0.005,0.012,-0.02
15693,-9.833,-0.053,1.844,-0.005,0.012,-0.02
15796,-9.838,-0.06,1.836,-0.005,0.012,-0.02
15899,-9.838,-0.053,1.848,-0.004,0.012,-0.02
16002,-9.833,-0.053,1.824,-0.005,0.012,-0.02
16105,-9.828,-0.06,1.844,-0.004,0.012,-0.02
16208,-9.831,-0.062,1.846,-0.005,0.012,-0.02
16311,-9.835,-0.053,1.846,-0.004,0.012,-0.02
16414,-9.835,-0.048,1.851,-0.004,0.012,-0.019
16517,-9.833,-0.05,1.834,-0.004,0.012,-0.02
16620,-9.85,-0.05,1.858,-0.005,0.012,-0.02
16723,-9.833,-0.05,1.827,-0.004,0.012,-0.02
16826,-9.826,-0.038,1.832,-0.005,0.012,-0.02
16929,-9.828,-0.041,1.86,-0.004,0.012,-0.02
17032,-9.838,-0.053,1.858,-0.005,0.013,-0.02
17135,-9.823,-0.05,1.836,-0.005,0.012,-0.02
17238,-9.826,-0.045,1.836,-0.004,0.012,-0.02
17341,-9.828,-0.05,1.839,-0.004,0.012,-0.02
