time (ms),acceleration x,acceleration y,acceleration z,gyro x,gyro y,gyro z
11058,2.217,-0.208,-9.203,-0.004,0.013,-0.019
11161,2.219,-0.201,-9.194,-0.004,0.013,-0.019
11264,2.212,-0.192,-9.203,-0.004,0.013,-0.019
11367,2.205,-0.201,-9.21,-0.004,0.013,-0.019
11470,2.2,-0.199,-9.215,-0.004,0.013,-0.019
11573,2.203,-0.194,-9.21,-0.004,0.013,-0.019
11676,2.21,-0.199,-9.199,-0.004,0.013,-0.019
11779,2.215,-0.201,-9.208,-0.004,0.013,-0.019
11882,2.21,-0.196,-9.203,-0.004,0.013,-0.019
11985,2.198,-0.201,-9.196,-0.004,0.013,-0.019
12088,2.21,-0.194,-9.203,-0.003,0.013,-0.019
12191,2.212,-0.199,-9.208,-0.004,0.013,-0.019
12294,2.207,-0.192,-9.215,-0.004,0.013,-0.019
12397,2.21,-0.194,-9.187,-0.003,0.013,-0.019
12500,2.21,-0.199,-9.199,-0.004,0.013,-0.019
12603,2.212,-0.196,-9.208,-0.004,0.013,-0.019
12706,2.205,-0.189,-9.191,-0.004,0.013,-0.019
12809,2.212,-0.194,-9.199,-0.004,0.013,-0.019
12912,2.2,-0.187,-9.208,-0.004,0.013,-0.019
13015,2.21,-0.194,-9.191,-0.004,0.013,-0.019
13118,2.207,-0.196,-9.201,-0.004,0.013,-0.02
13221,2.21,-0.194,-9.21,-0.004,0.013,-0.019
13324,2.215,-0.189,-9.199,-0.004,0.013,-0.019
13427,2.207,-0.194,-9.206,-0.004,0.013,-0.019
13530,2.207,-0.204,-9.203,-0.003,0.013,-0.02
13633,2.21,-0.196,-9.208,-0.004,0.013,-0.019
13736,2.212,-0.196,-9.191,-0.004,0.013,-0.019
13839,2.207,-0.199,-9.208,-0.004,0.013,-0.019
13942,2.212,-0.196,-9.203,-0.003,0.013,-0.019
14045,2.205,-0.192,-9.206,-0.004,0.013,-0.019
14148,2.207,-0.201,-9.206,-0.004,0.013,-0.019
14251,2.2,-0.201,-9.21,-0.004,0.013,-0.019
14354,2.203,-0.194,-9.194,-0.003,0.013,-0.019
14457,2.203,-0.196,-9.196,-0.004,0.013,-0.019
14560,2.203,-0.215,-9.21,-0.004,0.013,-0.019
14663,2.215,-0.192,-9.196,-0.004,0.013,-0.019
14766,2.203,-0.201,-9.215,-0.003,0.013,-0.019
14869,2.207,-0.192,-9.189,-0.004,0.013,-0.019
14972,2.21,-0.199,-9.187,-0.004,0.013,-0.019
15075,2.205,-0.192,-9.199,-0.003,0.013,-0.019
15178,2.207,-0.204,-9.206,-0.004,0.013,-0.019
15281,2.203,-0.199,-9.191,-0.004,0.013,-0.019
15384,2.2,-0.206,-9.203,-0.004,0.013,-0.019
15487,2.21,-0.194,-9.199,-0.004,0.013,-0.019
15590,2.215,-0.196,-9.199,-0.004,0.013,-0.019
15693,2.212,-0.194,-9.191,-0.004,0.012,-0.019
15796,2.2,-0.199,-9.213,-0.004,0.013,-0.019
15899,2.21,-0.196,-9.203,-0.004,0.013,-0.019
16002,2.21,-0.199,-9.201,-0.004,0.013,-0.019
16105,2.207,-0.192,-9.189,-0.004,0.013,-0.019
16208,2.215,-0.199,-9.194,-0.004,0.013,-0.019
16311,2.21,-0.201,-9.194,-0.004,0.013,-0.019
16414,2.203,-0.206,-9.189,-0.004,0.013,-0.019
16517,2.215,-0.201,-9.187,-0.004,0.013,-0.019
16620,2.207,-0.196,-9.201,-0.004,0.013,-0.019
16723,2.215,-0.194,-9.196,-0.004,0.013,-0.019
