time (ms),acceleration x,acceleration y,acceleration z,gyro x,gyro y,gyro z
10749,-0.134,-1.573,-9.33,-0.005,0.009,-0.003
10852,-0.136,-1.568,-9.316,-0.006,0.009,-0.004
10955,-0.124,-1.583,-9.335,-0.006,0.009,-0.003
11058,-0.139,-1.573,-9.328,-0.006,0.009,-0.003
11161,-0.139,-1.578,-9.328,-0.006,0.009,-0.003
11264,-0.148,-1.566,-9.318,-0.005,0.009,-0.003
11367,-0.146,-1.568,-9.328,-0.006,0.009,-0.003
11470,-0.129,-1.58,-9.321,-0.005,0.009,-0.003
11573,-0.129,-1.571,-9.313,-0.005,0.009,-0.003
11676,-0.136,-1.583,-9.311,-0.005,0.01,-0.003
11779,-0.134,-1.578,-9.325,-0.005,0.009,-0.003
11882,-0.148,-1.587,-9.316,-0.005,0.009,-0.003
11985,-0.136,-1.583,-9.318,-0.005,0.01,-0.003
12088,-0.136,-1.573,-9.321,-0.006,0.01,-0.003
12191,-0.132,-1.578,-9.328,-0.005,0.01,-0.003
12294,-0.144,-1.578,-9.325,-0.005,0.01,-0.004
12397,-0.144,-1.578,-9.321,-0.005,0.01,-0.003
12500,-0.139,-1.583,-9.318,-0.005,0.01,-0.003
12603,-0.136,-1.583,-9.33,-0.005,0.01,-0.003
12706,-0.139,-1.566,-9.321,-0.006,0.009,-0.004
12809,-0.141,-1.575,-9.321,-0.005,0.01,-0.004
12912,-0.139,-1.571,-9.328,-0.006,0.01,-0.003
13015,-0.134,-1.573,-9.323,-0.006,0.009,-0.003
13118,-0.146,-1.583,-9.306,-0.006,0.009,-0.003
13221,-0.141,-1.573,-9.323,-0.005,0.01,-0.003
13324,-0.134,-1.573,-9.313,-0.006,0.01,-0.003
13427,-0.139,-1.578,-9.328,-0.005,0.009,-0.003
13530,-0.141,-1.573,-9.325,-0.005,0.009,-0.003
13633,-0.141,-1.573,-9.318,-0.006,0.009,-0.004
13736,-0.134,-1.575,-9.333,-0.005,0.01,-0.004
13839,-0.136,-1.587,-9.318,-0.005,0.01,-0.003
13942,-0.134,-1.58,-9.325,-0.005,0.009,-0.003
14045,-0.139,-1.573,-9.309,-0.005,0.01,-0.003
14148,-0.136,-1.568,-9.323,-0.006,0.009,-0.003
14251,-0.132,-1.578,-9.311,-0.006,0.01,-0.003
14354,-0.127,-1.575,-9.328,-0.006,0.009,-0.003
14457,-0.148,-1.583,-9.33,-0.005,0.009,-0.003
14560,-0.139,-1.58,-9.309,-0.005,0.01,-0.003
14663,-0.136,-1.58,-9.325,-0.005,0.009,-0.003
14766,-0.139,-1.573,-9.328,-0.005,0.009,-0.003
14869,-0.148,-1.573,-9.316,-0.006,0.009,-0.003
