time (ms),acceleration x,acceleration y,acceleration z,gyro x,gyro y,gyro z
10750,-0.603,-0.182,-9.436,-0.004,0.011,-0.006
10853,-0.613,-0.182,-9.443,-0.005,0.011,-0.006
10956,-0.608,-0.184,-9.44,-0.005,0.011,-0.006
11059,-0.601,-0.168,-9.433,-0.004,0.011,-0.006
11162,-0.608,-0.18,-9.438,-0.005,0.012,-0.006
11265,-0.603,-0.189,-9.438,-0.005,0.011,-0.006
11368,-0.601,-0.177,-9.445,-0.005,0.011,-0.007
11471,-0.608,-0.177,-9.44,-0.004,0.012,-0.007
11574,-0.613,-0.182,-9.436,-0.004,0.011,-0.006
11677,-0.613,-0.175,-9.45,-0.005,0.011,-0.006
11780,-0.611,-0.172,-9.44,-0.005,0.012,-0.006
11883,-0.603,-0.18,-9.455,-0.004,0.012,-0.007
11986,-0.608,-0.184,-9.431,-0.004,0.011,-0.006
12089,-0.606,-0.168,-9.419,-0.005,0.011,-0.006
12192,-0.603,-0.177,-9.44,-0.005,0.012,-0.006
12295,-0.613,-0.18,-9.44,-0.004,0.011,-0.007
12398,-0.596,-0.168,-9.443,-0.004,0.011,-0.006
12501,-0.603,-0.172,-9.448,-0.005,0.012,-0.006
12604,-0.601,-0.17,-9.436,-0.005,0.011,-0.006
12707,-0.601,-0.17,-9.436,-0.004,0.011,-0.006
12810,-0.601,-0.175,-9.445,-0.004,0.012,-0.006
12913,-0.606,-0.175,-9.443,-0.004,0.011,-0.006
13016,-0.603,-0.172,-9.452,-0.004,0.012,-0.006
13119,-0.608,-0.177,-9.455,-0.005,0.011,-0.006
13222,-0.603,-0.18,-9.45,-0.004,0.011,-0.006
13325,-0.613,-0.184,-9.443,-0.005,0.011,-0.006
13428,-0.603,-0.175,-9.438,-0.005,0.012,-0.006
13531,-0.606,-0.17,-9.462,-0.005,0.012,-0.006
13634,-0.611,-0.182,-9.45,-0.005,0.011,-0.006
13737,-0.608,-0.175,-9.448,-0.004,0.011,-0.006
13840,-0.601,-0.172,-9.445,-0.004,0.011,-0.006
13943,-0.603,-0.177,-9.438,-0.005,0.011,-0.006
14046,-0.62,-0.17,-9.44,-0.005,0.011,-0.006
14149,-0.608,-0.18,-9.433,-0.004,0.011,-0.006
14252,-0.601,-0.175,-9.438,-0.004,0.011,-0.006
14355,-0.601,-0.182,-9.452,-0.005,0.011,-0.006
14458,-0.606,-0.182,-9.443,-0.004,0.012,-0.006
14561,-0.608,-0.182,-9.431,-0.004,0.011,-0.006
14664,-0.613,-0.184,-9.452,-0.004,0.012,-0.006
14767,-0.606,-0.194,-9.416,-0.005,0.012,-0.006
14870,-0.603,-0.177,-9.443,-0.004,0.011,-0.006
14973,-0.608,-0.172,-9.436,-0.004,0.012,-0.006
15076,-0.608,-0.18,-9.431,-0.004,0.012,-0.006
15179,-0.615,-0.17,-9.44,-0.004,0.011,-0.006
15282,-0.596,-0.172,-9.44,-0.005,0.011,-0.006
15385,-0.618,-0.172,-9.431,-0.005,0.011,-0.006
15488,-0.613,-0.18,-9.448,-0.004,0.011,-0.006
15591,-0.608,-0.177,-9.44,-0.004,0.012,-0.006
15694,-0.613,-0.18,-9.438,-0.004,0.011,-0.006
15797,-0.611,-0.172,-9.438,-0.004,0.011,-0.006
15900,-0.613,-0.175,-9.443,-0.004,0.012,-0.006
16003,-0.611,-0.177,-9.433,-0.004,0.011,-0.006
16106,-0.613,-0.182,-9.44,-0.004,0.011,-0.006
16209,-0.613,-0.168,-9.433,-0.004,0.012,-0.006
16312,-0.611,-0.177,-9.445,-0.004,0.011,-0.006
16415,-0.608,-0.189,-9.448,-0.005,0.012,-0.006
16518,-0.615,-0.163,-9.433,-0.004,0.012,-0.006
16621,-0.606,-0.148,-9.438,-0.004,0.011,-0.006
16724,-0.606,-0.199,-9.448,-0.004,0.012,-0.006
16827,-0.618,-0.158,-9.44,-0.005,0.012,-0.006
16930,-0.601,-0.172,-9.443,-0.004,0.012,-0.006
17033,-0.606,-0.184,-9.445,-0.005,0.011,-0.006
17136,-0.601,-0.177,-9.438,-0.004,0.012,-0.006
17239,-0.608,-0.17,-9.421,-0.004,0.011,-0.006
17342,-0.606,-0.175,-9.436,-0.004,0.012,-0.006
17445,-0.613,-0.175,-9.431,-0.005,0.011,-0.006
17548,-0.606,-0.18,-9.44,-0.004,0.012,-0.006
17651,-0.606,-0.172,-9.443,-0.004,0.012,-0.006
