jerk_z,ag_y_mean,ag_y_max,g_z_min,ag_z_max,RMS_ag_y,ag_z_mean,accl_z,g_y_min,g_x_max,SMA_g,ag_x_max,VAR_ag_z,RMS_g_y,STD_g_x,MAD_g_y,g_z_max,MAD_g_z,accl_y,g_y_max,ag_x_mean,STD_g_z,accl_x,IQR_g_y,IQR_g_z,g_x_mean,VAR_g_z,ag_y_min,VAR_g_x,STD_ag_z,th_z,MAD_g_x,RMS_ag_x,g_z_mean,IQR_ag_z,IQR_g_x,g_y_mean,ag_x_min,SVM_g,STD_ag_x,ag_z_min,RMS_g_z,VAR_g_y,STD_g_y,MAD_ag_z,RMS_ag_z,VAR_ag_x,th_y,FFT_ag_z,th_x,FFT_g_y,FFT_g_z,MAD_ag_x,E_ag_y,FFT_ag_x,FFT_g_x,IQR_ag_x,MAD_ag_y,CM_a,g_x_min,RMS_g_x,IQR_ag_y,SVM_a,STD_ag_y,E_ag_x,jerk_y,E_ag_z,SMA_a,E_g_y,FFT_ag_y,VAR_ag_y,E_g_x,CM_g,jerk_x,E_g_z
-0.0,0.238,0.243,-0.029,-0.357,0.238,-0.371,-0.0,-0.06,-0.009,0.059,-0.893,0.0,0.03,0.006,0.025,-0.011,0.004,0.0,0.034,-0.901,0.005,0.0,0.044,0.008,-0.014,0.0,0.233,0.0,0.01,1.953,0.005,0.901,-0.021,0.018,0.008,-0.008,-0.909,0.04,0.006,-0.386,0.022,0.001,0.028,0.009,0.371,0.0,1.332,-0.023,2.686,0.17,0.003,0.005,0.565,0.022,-0.027,0.011,0.003,0.43,-0.028,0.015,0.005,1.003,0.003,8.109,0.0,1.38,1.509,0.009,0.011,0.0,0.002,0.018,0.0,0.005
0.0,0.231,0.238,-0.039,-0.35,0.231,-0.358,-0.0,-0.002,-0.004,0.054,-0.902,0.0,0.017,0.008,0.008,-0.003,0.009,0.0,0.026,-0.908,0.011,0.0,0.014,0.015,-0.016,0.0,0.225,0.0,0.005,1.937,0.007,0.908,-0.023,0.008,0.014,0.014,-0.917,0.036,0.004,-0.365,0.025,0.0,0.009,0.004,0.359,0.0,1.339,-0.027,2.704,0.004,0.012,0.003,0.532,0.016,-0.024,0.004,0.003,0.422,-0.027,0.018,0.005,1.003,0.004,8.239,0.0,1.285,1.497,0.003,0.015,0.0,0.003,0.016,-0.0,0.006
-0.0,0.228,0.235,-0.037,-0.352,0.228,-0.366,-0.0,0.009,0.005,0.063,-0.897,0.0,0.029,0.011,0.009,-0.013,0.009,-0.0,0.039,-0.904,0.009,-0.0,0.02,0.019,-0.012,0.0,0.225,0.0,0.007,1.946,0.01,0.905,-0.024,0.011,0.018,0.027,-0.911,0.041,0.004,-0.375,0.025,0.0,0.011,0.006,0.366,0.0,1.342,0.008,2.696,-0.024,0.034,0.003,0.52,0.0,0.044,0.004,0.002,0.423,-0.029,0.016,0.004,1.002,0.003,8.181,0.0,1.337,1.498,0.008,0.007,0.0,0.003,0.018,0.0,0.006
-0.0,0.223,0.226,-0.026,-0.363,0.223,-0.376,-0.0,0.0,-0.005,0.048,-0.898,0.0,0.02,0.004,0.007,-0.009,0.003,0.0,0.038,-0.903,0.004,-0.0,0.008,0.004,-0.014,0.0,0.219,0.0,0.006,1.957,0.004,0.903,-0.017,0.006,0.006,0.017,-0.913,0.028,0.004,-0.384,0.017,0.0,0.01,0.004,0.376,0.0,1.346,0.029,2.69,0.009,-0.003,0.003,0.496,-0.019,0.014,0.003,0.001,0.423,-0.02,0.015,0.002,1.002,0.002,8.152,-0.0,1.412,1.501,0.004,-0.006,0.0,0.002,0.014,-0.0,0.003
-0.0,0.223,0.226,-0.023,-0.371,0.223,-0.378,-0.0,0.009,-0.011,0.053,-0.895,0.0,0.017,0.005,0.004,-0.013,0.003,0.0,0.033,-0.901,0.003,-0.0,0.003,0.005,-0.018,0.0,0.221,0.0,0.004,1.958,0.003,0.901,-0.019,0.002,0.003,0.016,-0.907,0.03,0.004,-0.384,0.019,0.0,0.006,0.003,0.378,0.0,1.346,0.006,2.688,0.012,-0.001,0.003,0.499,-0.004,-0.01,0.004,0.001,0.424,-0.029,0.018,0.001,1.002,0.001,8.111,0.0,1.427,1.502,0.003,-0.005,0.0,0.003,0.016,0.0,0.004
-0.0,0.226,0.229,-0.039,-0.375,0.226,-0.38,0.0,-0.006,-0.001,0.047,-0.893,0.0,0.016,0.008,0.009,0.0,0.008,-0.0,0.031,-0.9,0.01,0.0,0.014,0.012,-0.015,0.0,0.22,0.0,0.006,1.957,0.007,0.9,-0.019,0.004,0.012,0.012,-0.904,0.03,0.003,-0.393,0.021,0.0,0.011,0.004,0.38,0.0,1.342,0.021,2.687,0.012,0.049,0.002,0.509,-0.013,0.025,0.002,0.003,0.426,-0.026,0.017,0.004,1.002,0.003,8.093,0.0,1.443,1.505,0.003,0.015,0.0,0.003,0.013,0.0,0.005
-0.0,0.225,0.23,-0.022,-0.376,0.225,-0.384,-0.0,0.011,0.005,0.05,-0.888,0.0,0.024,0.007,0.008,-0.011,0.003,0.0,0.043,-0.898,0.003,-0.0,0.014,0.005,-0.012,0.0,0.222,0.0,0.005,1.964,0.006,0.898,-0.015,0.003,0.009,0.022,-0.903,0.03,0.004,-0.395,0.015,0.0,0.01,0.003,0.384,0.0,1.344,0.005,2.683,-0.011,-0.01,0.003,0.507,0.001,0.005,0.004,0.002,0.426,-0.019,0.014,0.003,1.003,0.002,8.066,-0.0,1.472,1.507,0.006,0.001,0.0,0.002,0.015,0.0,0.002
0.0,0.226,0.229,-0.023,-0.378,0.226,-0.387,0.0,-0.016,0.015,0.042,-0.89,0.0,0.014,0.009,0.01,0.008,0.006,0.0,0.022,-0.896,0.008,0.0,0.012,0.006,-0.009,0.0,0.222,0.0,0.004,1.967,0.007,0.896,-0.015,0.005,0.006,0.008,-0.904,0.027,0.004,-0.395,0.017,0.0,0.012,0.003,0.387,0.0,1.344,0.004,2.677,-0.021,0.004,0.003,0.51,-0.002,0.006,0.006,0.002,0.428,-0.017,0.013,0.003,1.002,0.002,8.032,-0.0,1.498,1.509,0.002,0.002,0.0,0.002,0.014,-0.0,0.003
0.0,0.226,0.232,-0.027,-0.377,0.226,-0.384,-0.0,0.001,-0.012,0.055,-0.891,0.0,0.018,0.008,0.006,-0.01,0.004,0.0,0.025,-0.897,0.005,-0.0,0.01,0.007,-0.019,0.0,0.222,0.0,0.005,1.964,0.006,0.897,-0.02,0.006,0.008,0.016,-0.903,0.032,0.004,-0.393,0.021,0.0,0.007,0.004,0.384,0.0,1.343,0.007,2.681,0.007,-0.006,0.003,0.511,-0.004,-0.038,0.003,0.002,0.427,-0.04,0.021,0.003,1.001,0.003,8.041,0.0,1.478,1.507,0.003,-0.002,0.0,0.004,0.018,0.0,0.004
0.0,0.226,0.23,-0.031,-0.379,0.226,-0.387,0.0,0.009,0.0,0.051,-0.892,0.0,0.018,0.007,0.005,-0.012,0.006,-0.0,0.032,-0.897,0.006,0.0,0.006,0.011,-0.013,0.0,0.22,0.0,0.004,1.967,0.007,0.897,-0.021,0.002,0.012,0.017,-0.9,0.034,0.002,-0.396,0.022,0.0,0.006,0.002,0.387,0.0,1.342,0.003,2.678,0.009,0.019,0.002,0.51,-0.002,-0.028,0.003,0.002,0.428,-0.021,0.015,0.003,1.003,0.003,8.046,0.0,1.495,1.509,0.003,-0.006,0.0,0.002,0.016,0.0,0.005
-0.0,0.225,0.229,-0.022,-0.377,0.225,-0.39,0.0,-0.008,-0.003,0.044,-0.887,0.0,0.018,0.013,0.01,-0.008,0.003,-0.0,0.035,-0.896,0.004,-0.0,0.012,0.005,-0.015,0.0,0.221,0.0,0.006,1.97,0.009,0.896,-0.015,0.005,0.014,0.013,-0.906,0.027,0.005,-0.399,0.015,0.0,0.013,0.004,0.39,0.0,1.344,0.011,2.676,-0.012,-0.006,0.004,0.507,-0.013,-0.025,0.005,0.002,0.428,-0.047,0.02,0.002,1.003,0.002,8.025,0.0,1.518,1.511,0.003,0.001,0.0,0.004,0.012,0.0,0.002
-0.0,0.226,0.23,-0.021,-0.379,0.226,-0.39,0.0,0.002,0.011,0.048,-0.891,0.0,0.02,0.013,0.008,0.001,0.008,-0.0,0.036,-0.895,0.009,0.0,0.015,0.015,-0.015,0.0,0.224,0.0,0.005,1.972,0.011,0.895,-0.013,0.007,0.017,0.017,-0.9,0.03,0.003,-0.395,0.016,0.0,0.01,0.004,0.39,0.0,1.344,0.015,2.673,0.006,0.054,0.002,0.513,-0.007,0.021,0.004,0.002,0.43,-0.037,0.02,0.005,1.002,0.002,8.005,-0.0,1.524,1.511,0.004,-0.003,0.0,0.004,0.015,0.0,0.003
