RMS_ag_x,ag_x_mean,ag_x_min,ag_x_max,E_ag_x,accl_x,E_ag_z,th_x,SVM_a,FFT_ag_y,accl_y,E_ag_y,IQR_g_x,VAR_g_x,FFT_g_x,FFT_g_y,th_z,th_y,STD_g_x,MAD_g_x,ag_y_max,RMS_ag_y,ag_y_mean,RMS_ag_z,FFT_ag_x,ag_z_max,ag_z_mean,ag_z_min,ag_y_min,VAR_ag_x,accl_z,VAR_g_z,IQR_g_z,STD_g_y,STD_ag_x,E_g_z,CM_g,MAD_ag_x,RMS_g_z,g_x_max,IQR_ag_x,MAD_g_y,SMA_a,VAR_ag_y,RMS_g_x,VAR_g_y,g_z_mean,IQR_g_y,E_g_x,g_x_min,MAD_g_z,g_z_max,STD_g_z,STD_ag_y,CM_a,MAD_ag_y,g_x_mean,g_z_min,SVM_g,FFT_g_z,IQR_ag_y,g_y_max,SMA_g,FFT_ag_z,RMS_g_y,g_y_min,STD_ag_z,IQR_ag_z,MAD_ag_z,g_y_mean,E_g_y,VAR_ag_z,jerk_x,jerk_y,jerk_z
0.901,-0.901,-0.909,-0.893,8.109,0.0,1.38,2.686,1.003,0.011,0.0,0.565,0.008,0.0,-0.027,0.17,1.953,1.332,0.006,0.005,0.243,0.238,0.238,0.371,0.022,-0.357,-0.371,-0.386,0.233,0.0,-0.0,0.0,0.008,0.028,0.006,0.005,0.018,0.005,0.022,-0.009,0.011,0.025,1.509,0.0,0.015,0.001,-0.021,0.044,0.002,-0.028,0.004,-0.011,0.005,0.003,0.43,0.003,-0.014,-0.029,0.04,0.003,0.005,0.034,0.059,-0.023,0.03,-0.06,0.01,0.018,0.009,-0.008,0.009,0.0,0.0,0.0,-0.0
0.908,-0.908,-0.917,-0.902,8.239,0.0,1.285,2.704,1.003,0.015,0.0,0.532,0.014,0.0,-0.024,0.004,1.937,1.339,0.008,0.007,0.238,0.231,0.231,0.359,0.016,-0.35,-0.358,-0.365,0.225,0.0,-0.0,0.0,0.015,0.009,0.004,0.006,0.016,0.003,0.025,-0.004,0.004,0.008,1.497,0.0,0.018,0.0,-0.023,0.014,0.003,-0.027,0.009,-0.003,0.011,0.004,0.422,0.003,-0.016,-0.039,0.036,0.012,0.005,0.026,0.054,-0.027,0.017,-0.002,0.005,0.008,0.004,0.014,0.003,0.0,-0.0,0.0,0.0
0.905,-0.904,-0.911,-0.897,8.181,-0.0,1.337,2.696,1.002,0.007,-0.0,0.52,0.018,0.0,0.044,-0.024,1.946,1.342,0.011,0.01,0.235,0.228,0.228,0.366,0.0,-0.352,-0.366,-0.375,0.225,0.0,-0.0,0.0,0.019,0.011,0.004,0.006,0.018,0.003,0.025,0.005,0.004,0.009,1.498,0.0,0.016,0.0,-0.024,0.02,0.003,-0.029,0.009,-0.013,0.009,0.003,0.423,0.002,-0.012,-0.037,0.041,0.034,0.004,0.039,0.063,0.008,0.029,0.009,0.007,0.011,0.006,0.027,0.008,0.0,0.0,0.0,-0.0
0.903,-0.903,-0.913,-0.898,8.152,-0.0,1.412,2.69,1.002,-0.006,0.0,0.496,0.006,0.0,0.014,0.009,1.957,1.346,0.004,0.004,0.226,0.223,0.223,0.376,-0.019,-0.363,-0.376,-0.384,0.219,0.0,-0.0,0.0,0.004,0.01,0.004,0.003,0.014,0.003,0.017,-0.005,0.003,0.007,1.501,0.0,0.015,0.0,-0.017,0.008,0.002,-0.02,0.003,-0.009,0.004,0.002,0.423,0.001,-0.014,-0.026,0.028,-0.003,0.002,0.038,0.048,0.029,0.02,0.0,0.006,0.006,0.004,0.017,0.004,0.0,-0.0,-0.0,-0.0
0.901,-0.901,-0.907,-0.895,8.111,-0.0,1.427,2.688,1.002,-0.005,0.0,0.499,0.003,0.0,-0.01,0.012,1.958,1.346,0.005,0.003,0.226,0.223,0.223,0.378,-0.004,-0.371,-0.378,-0.384,0.221,0.0,-0.0,0.0,0.005,0.006,0.004,0.004,0.016,0.003,0.019,-0.011,0.004,0.004,1.502,0.0,0.018,0.0,-0.019,0.003,0.003,-0.029,0.003,-0.013,0.003,0.001,0.424,0.001,-0.018,-0.023,0.03,-0.001,0.001,0.033,0.053,0.006,0.017,0.009,0.004,0.002,0.003,0.016,0.003,0.0,0.0,0.0,-0.0
0.9,-0.9,-0.904,-0.893,8.093,0.0,1.443,2.687,1.002,0.015,-0.0,0.509,0.012,0.0,0.025,0.012,1.957,1.342,0.008,0.007,0.229,0.226,0.226,0.38,-0.013,-0.375,-0.38,-0.393,0.22,0.0,0.0,0.0,0.012,0.011,0.003,0.005,0.013,0.002,0.021,-0.001,0.002,0.009,1.505,0.0,0.017,0.0,-0.019,0.014,0.003,-0.026,0.008,0.0,0.01,0.003,0.426,0.003,-0.015,-0.039,0.03,0.049,0.004,0.031,0.047,0.021,0.016,-0.006,0.006,0.004,0.004,0.012,0.003,0.0,0.0,0.0,-0.0
0.898,-0.898,-0.903,-0.888,8.066,-0.0,1.472,2.683,1.003,0.001,0.0,0.507,0.009,0.0,0.005,-0.011,1.964,1.344,0.007,0.006,0.23,0.225,0.225,0.384,0.001,-0.376,-0.384,-0.395,0.222,0.0,-0.0,0.0,0.005,0.01,0.004,0.002,0.015,0.003,0.015,0.005,0.004,0.008,1.507,0.0,0.014,0.0,-0.015,0.014,0.002,-0.019,0.003,-0.011,0.003,0.002,0.426,0.002,-0.012,-0.022,0.03,-0.01,0.003,0.043,0.05,0.005,0.024,0.011,0.005,0.003,0.003,0.022,0.006,0.0,0.0,-0.0,-0.0
0.896,-0.896,-0.904,-0.89,8.032,0.0,1.498,2.677,1.002,0.002,0.0,0.51,0.006,0.0,0.006,-0.021,1.967,1.344,0.009,0.007,0.229,0.226,0.226,0.387,-0.002,-0.378,-0.387,-0.395,0.222,0.0,0.0,0.0,0.006,0.012,0.004,0.003,0.014,0.003,0.017,0.015,0.006,0.01,1.509,0.0,0.013,0.0,-0.015,0.012,0.002,-0.017,0.006,0.008,0.008,0.002,0.428,0.002,-0.009,-0.023,0.027,0.004,0.003,0.022,0.042,0.004,0.014,-0.016,0.004,0.005,0.003,0.008,0.002,0.0,-0.0,-0.0,0.0
0.897,-0.897,-0.903,-0.891,8.041,-0.0,1.478,2.681,1.001,-0.002,0.0,0.511,0.008,0.0,-0.038,0.007,1.964,1.343,0.008,0.006,0.232,0.226,0.226,0.384,-0.004,-0.377,-0.384,-0.393,0.222,0.0,-0.0,0.0,0.007,0.007,0.004,0.004,0.018,0.003,0.021,-0.012,0.003,0.006,1.507,0.0,0.021,0.0,-0.02,0.01,0.004,-0.04,0.004,-0.01,0.005,0.003,0.427,0.002,-0.019,-0.027,0.032,-0.006,0.003,0.025,0.055,0.007,0.018,0.001,0.005,0.006,0.004,0.016,0.003,0.0,0.0,0.0,0.0
0.897,-0.897,-0.9,-0.892,8.046,0.0,1.495,2.678,1.003,-0.006,-0.0,0.51,0.012,0.0,-0.028,0.009,1.967,1.342,0.007,0.007,0.23,0.226,0.226,0.387,-0.002,-0.379,-0.387,-0.396,0.22,0.0,0.0,0.0,0.011,0.006,0.002,0.005,0.016,0.002,0.022,0.0,0.003,0.005,1.509,0.0,0.015,0.0,-0.021,0.006,0.002,-0.021,0.006,-0.012,0.006,0.003,0.428,0.002,-0.013,-0.031,0.034,0.019,0.003,0.032,0.051,0.003,0.018,0.009,0.004,0.002,0.002,0.017,0.003,0.0,0.0,0.0,0.0
