RMS_ag_x,ag_x_mean,ag_x_min,ag_x_max,E_ag_x,accl_x,E_ag_z,th_x,SVM_a,FFT_ag_y,accl_y,E_ag_y,IQR_g_x,VAR_g_x,FFT_g_x,FFT_g_y,th_z,th_y,STD_g_x,MAD_g_x,ag_y_max,RMS_ag_y,ag_y_mean,RMS_ag_z,FFT_ag_x,ag_z_max,ag_z_mean,ag_z_min,ag_y_min,VAR_ag_x,accl_z,VAR_g_z,IQR_g_z,STD_g_y,STD_ag_x,E_g_z,CM_g,MAD_ag_x,RMS_g_z,g_x_max,IQR_ag_x,MAD_g_y,SMA_a,VAR_ag_y,RMS_g_x,VAR_g_y,g_z_mean,IQR_g_y,E_g_x,g_x_min,MAD_g_z,g_z_max,STD_g_z,STD_ag_y,CM_a,MAD_ag_y,g_x_mean,g_z_min,SVM_g,FFT_g_z,IQR_ag_y,g_y_max,SMA_g,FFT_ag_z,RMS_g_y,g_y_min,STD_ag_z,IQR_ag_z,MAD_ag_z,g_y_mean,E_g_y,VAR_ag_z,jerk_x,jerk_y,jerk_z
0.915,-0.915,-0.917,-0.914,8.38,0.0,0.941,2.722,1.002,0.013,0.0,0.719,0.006,0.0,-0.017,-0.007,1.882,1.3,0.006,0.005,0.271,0.268,0.268,0.307,-0.0,-0.301,-0.307,-0.311,0.265,0.0,-0.0,0.0,0.006,0.005,0.001,0.004,0.015,0.001,0.019,0.007,0.001,0.004,1.49,0.0,0.012,0.0,-0.019,0.005,0.001,-0.016,0.004,-0.013,0.004,0.002,0.422,0.002,-0.01,-0.026,0.028,-0.005,0.005,0.03,0.048,0.007,0.019,0.011,0.003,0.004,0.003,0.018,0.003,0.0,0.0,0.0,-0.0
0.913,-0.913,-0.916,-0.909,8.33,0.0,0.977,2.717,1.002,-0.014,0.0,0.73,0.005,0.0,-0.001,0.034,1.888,1.3,0.005,0.004,0.283,0.27,0.27,0.313,-0.004,-0.307,-0.312,-0.316,0.266,0.0,-0.0,0.0,0.006,0.016,0.002,0.006,0.017,0.001,0.024,-0.012,0.002,0.013,1.495,0.0,0.018,0.0,-0.022,0.017,0.003,-0.027,0.009,-0.013,0.012,0.005,0.425,0.004,-0.018,-0.05,0.03,-0.04,0.006,0.062,0.063,0.0,0.029,0.009,0.003,0.005,0.002,0.024,0.008,0.0,0.0,-0.0,-0.0
0.919,-0.919,-0.927,-0.913,8.437,0.0,0.988,2.734,1.002,-0.001,-0.0,0.61,0.061,0.001,-0.009,0.051,1.892,1.324,0.035,0.031,0.262,0.247,0.247,0.314,-0.004,-0.302,-0.314,-0.328,0.236,0.0,0.0,0.0,0.031,0.023,0.005,0.02,0.024,0.004,0.045,0.061,0.008,0.019,1.48,0.0,0.035,0.001,-0.041,0.034,0.013,-0.037,0.016,-0.014,0.018,0.009,0.413,0.008,0.001,-0.069,0.056,0.015,0.015,0.038,0.091,-0.002,0.023,-0.039,0.007,0.008,0.006,-0.004,0.005,0.0,0.0,-0.0,-0.0
0.921,-0.921,-0.925,-0.914,8.481,0.0,0.957,2.738,1.002,-0.03,-0.0,0.602,0.031,0.001,0.075,-0.125,1.885,1.326,0.028,0.022,0.263,0.245,0.245,0.309,-0.007,-0.303,-0.309,-0.316,0.237,0.0,0.0,0.0,0.019,0.043,0.003,0.006,0.014,0.003,0.025,0.055,0.004,0.033,1.476,0.0,0.029,0.002,-0.018,0.039,0.008,-0.047,0.015,-0.003,0.018,0.007,0.41,0.006,-0.004,-0.051,0.038,-0.038,0.009,0.039,0.073,0.002,0.043,-0.109,0.005,0.009,0.004,-0.002,0.019,0.0,0.0,-0.0,-0.0
0.942,-0.942,-0.955,-0.933,8.878,-0.0,0.579,2.792,1.002,-0.102,-0.0,0.582,0.032,0.001,-0.035,-0.153,1.806,1.325,0.026,0.02,0.258,0.241,0.241,0.241,-0.006,-0.192,-0.239,-0.288,0.214,0.0,0.001,0.003,0.093,0.027,0.006,0.029,0.06,0.005,0.054,0.086,0.008,0.021,1.422,0.0,0.051,0.001,-0.003,0.03,0.026,-0.007,0.049,0.075,0.054,0.016,0.38,0.014,0.044,-0.083,0.137,-0.139,0.028,-0.065,0.202,-0.061,0.111,-0.161,0.029,0.034,0.024,-0.107,0.122,0.001,-0.0,-0.0,0.0
0.965,-0.965,-0.972,-0.957,9.314,0.001,0.278,2.859,1.003,0.073,0.001,0.481,0.085,0.003,0.252,-0.271,1.736,1.346,0.055,0.045,0.237,0.219,0.219,0.167,0.02,-0.147,-0.166,-0.179,0.197,0.0,-0.0,0.002,0.068,0.059,0.005,0.032,0.037,0.004,0.056,0.048,0.007,0.052,1.35,0.0,0.066,0.003,-0.035,0.092,0.044,-0.14,0.036,0.051,0.044,0.013,0.333,0.012,-0.037,-0.091,0.09,-0.193,0.02,0.086,0.156,-0.053,0.059,-0.093,0.01,0.015,0.008,-0.001,0.035,0.0,-0.0,-0.0,0.0
0.963,-0.963,-0.97,-0.958,9.272,-0.0,0.316,2.858,1.003,0.002,0.0,0.49,0.015,0.0,-0.015,-0.01,1.748,1.35,0.016,0.012,0.228,0.221,0.221,0.178,-0.003,-0.17,-0.178,-0.189,0.214,0.0,0.0,0.0,0.02,0.007,0.004,0.003,0.018,0.003,0.017,-0.002,0.006,0.006,1.362,0.0,0.029,0.0,-0.012,0.007,0.008,-0.063,0.011,0.001,0.012,0.005,0.334,0.005,-0.024,-0.035,0.04,-0.027,0.009,0.046,0.068,-0.002,0.033,0.02,0.006,0.01,0.005,0.032,0.011,0.0,-0.0,-0.0,0.0
0.938,-0.937,-0.959,-0.887,8.792,0.001,0.591,2.814,1.002,0.052,0.002,0.69,0.033,0.003,0.208,-0.671,1.782,1.324,0.053,0.041,0.327,0.263,0.26,0.243,0.044,-0.186,-0.237,-0.326,0.202,0.001,0.001,0.005,0.107,0.133,0.025,0.077,0.064,0.022,0.088,0.007,0.035,0.123,1.434,0.002,0.082,0.018,0.054,0.229,0.067,-0.169,0.059,0.167,0.069,0.039,0.366,0.034,-0.062,-0.026,0.14,-0.354,0.054,0.385,0.308,-0.036,0.221,0.03,0.053,0.079,0.047,0.177,0.489,0.003,0.0,-0.0,-0.0
0.898,-0.898,-0.902,-0.893,8.055,0.001,1.108,2.682,1.002,0.0,-0.0,0.869,0.059,0.002,0.199,-0.007,1.908,1.273,0.043,0.035,0.318,0.295,0.295,0.333,0.016,-0.318,-0.333,-0.349,0.284,0.0,-0.0,0.0,0.018,0.02,0.003,0.014,0.027,0.003,0.037,0.066,0.005,0.015,1.525,0.0,0.044,0.0,-0.034,0.021,0.019,-0.081,0.012,-0.003,0.015,0.01,0.444,0.008,0.01,-0.053,0.059,0.048,0.015,0.049,0.092,-0.028,0.026,-0.03,0.009,0.011,0.008,0.017,0.007,0.0,-0.0,-0.0,-0.0
0.898,-0.898,-0.901,-0.893,8.068,-0.0,1.191,2.686,1.001,-0.008,0.0,0.762,0.013,0.001,0.057,-0.009,1.922,1.29,0.028,0.017,0.284,0.276,0.276,0.345,0.004,-0.339,-0.345,-0.353,0.269,0.0,-0.0,0.0,0.009,0.009,0.002,0.011,0.02,0.002,0.033,0.067,0.002,0.007,1.519,0.0,0.029,0.0,-0.031,0.009,0.008,-0.045,0.008,-0.02,0.01,0.005,0.44,0.004,-0.007,-0.054,0.047,-0.047,0.006,0.04,0.071,-0.008,0.021,0.004,0.004,0.003,0.003,0.019,0.005,0.0,-0.0,-0.0,-0.0
0.902,-0.902,-0.906,-0.898,8.134,0.0,1.163,2.692,1.002,0.04,-0.0,0.73,0.137,0.008,-0.067,-0.157,1.916,1.297,0.088,0.08,0.288,0.27,0.27,0.341,-0.007,-0.326,-0.341,-0.37,0.237,0.0,0.0,0.0,0.019,0.025,0.003,0.008,0.02,0.003,0.029,0.053,0.005,0.022,1.513,0.0,0.108,0.001,-0.018,0.044,0.117,-0.223,0.016,0.035,0.022,0.013,0.436,0.009,-0.063,-0.042,0.06,-0.02,0.01,0.041,0.126,0.036,0.027,-0.039,0.011,0.008,0.008,0.009,0.007,0.0,-0.0,-0.0,0.0
0.907,-0.907,-0.917,-0.903,8.221,-0.0,0.911,2.7,1.002,-0.018,0.0,0.942,0.022,0.001,-0.198,-0.112,1.878,1.26,0.036,0.027,0.324,0.307,0.307,0.302,0.003,-0.28,-0.302,-0.318,0.29,0.0,0.0,0.0,0.021,0.023,0.004,0.002,0.024,0.002,0.014,-0.025,0.002,0.016,1.515,0.0,0.076,0.001,-0.002,0.02,0.057,-0.143,0.012,0.016,0.014,0.009,0.436,0.008,-0.066,-0.023,0.065,0.013,0.012,0.036,0.1,0.009,0.027,-0.056,0.011,0.018,0.009,-0.015,0.007,0.0,-0.0,0.0,0.0
0.91,-0.91,-0.917,-0.904,8.288,0.0,0.662,2.708,1.002,0.034,0.0,1.109,0.086,0.002,0.23,0.034,1.832,1.238,0.049,0.045,0.351,0.333,0.333,0.257,0.013,-0.229,-0.257,-0.275,0.324,0.0,-0.0,0.0,0.033,0.016,0.004,0.006,0.018,0.003,0.025,0.018,0.006,0.014,1.5,0.0,0.066,0.0,-0.014,0.027,0.043,-0.114,0.018,0.018,0.021,0.008,0.427,0.007,-0.044,-0.045,0.056,0.067,0.012,0.008,0.092,-0.017,0.023,-0.041,0.015,0.026,0.013,-0.017,0.005,0.0,-0.0,0.0,0.0
0.915,-0.915,-0.918,-0.911,8.372,0.001,0.627,2.72,1.003,-0.001,0.0,1.051,0.087,0.009,0.063,0.004,1.82,1.239,0.095,0.073,0.342,0.324,0.324,0.25,-0.0,-0.232,-0.25,-0.29,0.293,0.0,-0.0,0.0,0.013,0.035,0.002,0.016,0.04,0.002,0.04,0.293,0.003,0.027,1.489,0.0,0.125,0.001,-0.039,0.042,0.157,-0.031,0.009,-0.02,0.011,0.015,0.42,0.012,0.082,-0.056,0.08,-0.016,0.015,0.12,0.17,-0.012,0.055,0.002,0.016,0.02,0.013,0.043,0.031,0.0,-0.0,0.0,0.0
0.907,-0.907,-0.912,-0.893,8.223,-0.0,1.287,2.705,1.002,0.15,-0.0,0.521,0.166,0.01,0.042,0.07,1.942,1.354,0.098,0.088,0.287,0.228,0.226,0.359,0.006,-0.308,-0.358,-0.39,0.186,0.0,-0.0,0.003,0.06,0.028,0.005,0.073,0.093,0.003,0.085,0.24,0.004,0.024,1.491,0.001,0.138,0.001,-0.064,0.045,0.191,-0.064,0.045,0.042,0.056,0.033,0.416,0.029,0.097,-0.157,0.175,-0.031,0.046,0.094,0.256,0.079,0.067,0.004,0.025,0.032,0.021,0.061,0.046,0.001,0.0,-0.0,-0.0
0.903,-0.903,-0.907,-0.896,8.156,0.0,1.341,2.698,1.0,0.005,-0.0,0.519,0.035,0.001,-0.173,0.023,1.945,1.342,0.036,0.026,0.252,0.228,0.227,0.366,0.004,-0.359,-0.366,-0.377,0.212,0.0,0.0,0.0,0.025,0.011,0.003,0.006,0.014,0.003,0.025,0.003,0.005,0.01,1.497,0.0,0.05,0.0,0.012,0.02,0.025,-0.127,0.019,0.043,0.022,0.012,0.421,0.009,-0.035,-0.027,0.039,-0.057,0.01,0.023,0.07,-0.013,0.015,-0.007,0.005,0.004,0.004,0.009,0.002,0.0,-0.0,0.0,0.0
0.896,-0.896,-0.9,-0.89,8.032,0.0,1.386,2.683,1.0,0.009,-0.0,0.581,0.006,0.0,0.022,0.033,1.952,1.328,0.005,0.004,0.245,0.241,0.241,0.372,0.011,-0.366,-0.372,-0.381,0.237,0.0,-0.0,0.0,0.006,0.008,0.003,0.005,0.016,0.002,0.022,-0.002,0.005,0.006,1.51,0.0,0.011,0.0,-0.022,0.008,0.001,-0.02,0.004,-0.014,0.005,0.002,0.431,0.002,-0.01,-0.03,0.032,0.004,0.002,0.032,0.05,-0.017,0.02,0.009,0.005,0.01,0.005,0.019,0.004,0.0,0.0,-0.0,-0.0
0.897,-0.897,-0.902,-0.895,8.041,-0.0,1.41,2.681,1.0,0.002,-0.0,0.565,0.01,0.0,0.006,-0.019,1.957,1.332,0.006,0.005,0.24,0.238,0.238,0.376,0.003,-0.367,-0.376,-0.379,0.235,0.0,-0.0,0.0,0.01,0.009,0.002,0.005,0.016,0.001,0.022,-0.003,0.002,0.008,1.51,0.0,0.016,0.0,-0.02,0.015,0.002,-0.022,0.006,-0.009,0.007,0.002,0.43,0.002,-0.014,-0.032,0.031,0.025,0.005,0.027,0.049,-0.004,0.017,-0.002,0.003,0.003,0.002,0.014,0.003,0.0,-0.0,-0.0,0.0
0.896,-0.896,-0.907,-0.885,8.027,0.0,1.408,2.68,1.0,0.028,0.0,0.581,0.034,0.0,0.062,-0.103,1.956,1.33,0.022,0.019,0.252,0.241,0.241,0.375,0.017,-0.36,-0.375,-0.39,0.228,0.0,0.0,0.0,0.01,0.024,0.007,0.004,0.017,0.006,0.019,-0.005,0.008,0.018,1.512,0.0,0.036,0.001,-0.014,0.021,0.013,-0.075,0.009,0.014,0.012,0.007,0.431,0.006,-0.028,-0.034,0.036,-0.019,0.008,0.066,0.067,-0.022,0.03,-0.011,0.009,0.011,0.007,0.019,0.009,0.0,-0.0,0.0,0.0
0.926,-0.925,-0.956,-0.887,8.569,-0.0,0.933,2.756,1.003,0.029,0.001,0.552,0.025,0.0,-0.005,0.274,1.868,1.336,0.018,0.016,0.25,0.235,0.235,0.305,0.056,-0.22,-0.3,-0.385,0.223,0.0,-0.0,0.0,0.023,0.051,0.022,0.032,0.076,0.019,0.057,-0.032,0.036,0.04,1.46,0.0,0.066,0.003,-0.055,0.05,0.043,-0.095,0.014,-0.03,0.015,0.01,0.4,0.009,-0.063,-0.076,0.15,0.034,0.018,-0.049,0.258,-0.127,0.149,-0.235,0.057,0.102,0.052,-0.14,0.223,0.003,-0.0,-0.0,0.0
0.962,-0.962,-0.967,-0.952,9.259,0.0,0.311,2.864,1.004,0.024,0.001,0.508,0.021,0.0,-0.064,-0.171,1.735,1.344,0.022,0.016,0.234,0.225,0.225,0.176,0.022,-0.155,-0.175,-0.22,0.218,0.0,0.0,0.0,0.021,0.058,0.005,0.007,0.017,0.004,0.027,0.026,0.006,0.053,1.363,0.0,0.031,0.003,-0.023,0.094,0.01,-0.06,0.012,-0.003,0.014,0.005,0.328,0.004,-0.023,-0.048,0.044,0.002,0.006,0.023,0.104,-0.094,0.074,-0.155,0.022,0.024,0.019,-0.046,0.055,0.0,0.0,0.0,0.0
0.953,-0.953,-0.966,-0.928,9.082,-0.0,0.477,2.832,1.003,-0.024,0.001,0.528,0.043,0.001,-0.205,-0.374,1.769,1.34,0.032,0.028,0.244,0.23,0.23,0.218,-0.001,-0.158,-0.213,-0.295,0.222,0.0,0.0,0.0,0.008,0.084,0.012,0.001,0.013,0.011,0.009,0.074,0.021,0.075,1.396,0.0,0.037,0.007,0.003,0.115,0.013,-0.019,0.006,0.024,0.008,0.006,0.354,0.004,0.017,-0.009,0.151,0.002,0.006,0.282,0.184,0.039,0.174,0.026,0.047,0.087,0.042,0.153,0.304,0.002,0.0,-0.0,-0.0
0.906,-0.906,-0.921,-0.897,8.213,0.0,1.254,2.702,1.0,0.018,-0.0,0.542,0.033,0.001,-0.087,-0.007,1.936,1.334,0.027,0.021,0.243,0.233,0.233,0.354,-0.021,-0.31,-0.353,-0.379,0.222,0.0,-0.0,0.001,0.032,0.043,0.007,0.008,0.018,0.006,0.028,0.045,0.009,0.037,1.492,0.0,0.027,0.002,-0.014,0.057,0.007,-0.037,0.021,0.008,0.025,0.007,0.423,0.006,0.007,-0.064,0.112,0.139,0.013,0.136,0.127,0.083,0.096,0.01,0.024,0.036,0.021,0.085,0.091,0.001,0.0,0.0,-0.0
0.898,-0.898,-0.903,-0.894,8.064,0.0,1.396,2.684,1.0,-0.007,-0.0,0.551,0.009,0.0,0.008,0.014,1.954,1.334,0.009,0.007,0.238,0.235,0.235,0.374,0.009,-0.364,-0.374,-0.382,0.229,0.0,-0.0,0.0,0.012,0.011,0.003,0.002,0.012,0.003,0.014,0.01,0.004,0.01,1.506,0.0,0.014,0.0,-0.012,0.015,0.002,-0.021,0.006,0.002,0.007,0.003,0.429,0.002,-0.011,-0.02,0.022,0.018,0.003,0.019,0.038,-0.022,0.013,-0.015,0.006,0.011,0.005,0.007,0.002,0.0,0.0,-0.0,-0.0
0.897,-0.897,-0.901,-0.895,8.046,0.0,1.413,2.682,1.001,0.007,0.0,0.558,0.003,0.0,0.015,0.023,1.957,1.333,0.004,0.003,0.239,0.236,0.236,0.376,-0.007,-0.369,-0.376,-0.379,0.234,0.0,-0.0,0.0,0.002,0.005,0.002,0.003,0.014,0.001,0.016,-0.005,0.002,0.005,1.509,0.0,0.011,0.0,-0.016,0.008,0.001,-0.018,0.002,-0.011,0.004,0.002,0.43,0.001,-0.01,-0.025,0.028,0.003,0.002,0.026,0.046,0.017,0.021,0.009,0.003,0.003,0.002,0.02,0.004,0.0,-0.0,-0.0,0.0
0.897,-0.897,-0.901,-0.893,8.044,-0.0,1.416,2.684,1.001,-0.008,-0.0,0.557,0.005,0.0,0.027,0.078,1.954,1.332,0.007,0.004,0.238,0.236,0.236,0.376,0.005,-0.37,-0.376,-0.385,0.228,0.0,-0.0,0.0,0.006,0.014,0.002,0.005,0.014,0.002,0.022,-0.001,0.004,0.011,1.509,0.0,0.019,0.0,-0.021,0.013,0.004,-0.028,0.005,-0.009,0.006,0.003,0.43,0.002,-0.018,-0.029,0.031,-0.011,0.002,0.036,0.051,-0.02,0.015,-0.018,0.005,0.007,0.005,0.007,0.002,0.0,0.0,-0.0,-0.0
0.897,-0.897,-0.904,-0.892,8.052,0.0,1.412,2.681,1.001,-0.006,-0.0,0.55,0.003,0.0,-0.001,-0.018,1.958,1.334,0.003,0.002,0.237,0.235,0.234,0.376,-0.005,-0.36,-0.376,-0.382,0.232,0.0,0.0,0.0,0.008,0.005,0.004,0.003,0.015,0.003,0.017,-0.003,0.004,0.004,1.508,0.0,0.009,0.0,-0.017,0.006,0.001,-0.015,0.004,-0.01,0.005,0.002,0.43,0.001,-0.008,-0.024,0.03,-0.015,0.002,0.027,0.046,0.006,0.022,0.01,0.006,0.007,0.005,0.021,0.005,0.0,0.0,-0.0,-0.0
0.894,-0.894,-0.899,-0.89,7.994,0.0,1.466,2.678,1.0,-0.009,0.0,0.542,0.005,0.0,-0.001,0.048,1.965,1.336,0.004,0.004,0.237,0.233,0.233,0.383,-0.003,-0.378,-0.383,-0.388,0.23,0.0,0.0,0.0,0.006,0.009,0.002,0.004,0.018,0.002,0.021,-0.008,0.002,0.007,1.51,0.0,0.016,0.0,-0.02,0.007,0.003,-0.023,0.004,-0.013,0.006,0.002,0.43,0.001,-0.015,-0.034,0.034,0.01,0.002,0.037,0.054,0.001,0.021,0.007,0.003,0.005,0.003,0.019,0.004,0.0,-0.0,-0.0,0.0
0.905,-0.904,-0.933,-0.887,8.184,-0.0,1.35,2.68,1.001,0.013,0.0,0.485,0.08,0.002,-0.252,0.416,1.962,1.344,0.045,0.039,0.24,0.22,0.22,0.367,-0.01,-0.3,-0.366,-0.403,0.184,0.0,0.0,0.001,0.05,0.101,0.016,0.035,0.06,0.014,0.059,0.089,0.026,0.092,1.49,0.0,0.047,0.01,-0.05,0.168,0.022,-0.043,0.029,-0.004,0.032,0.017,0.428,0.015,0.015,-0.097,0.129,0.071,0.027,0.067,0.204,0.035,0.134,-0.231,0.033,0.05,0.029,-0.088,0.18,0.001,0.0,0.0,-0.0
0.95,-0.949,-0.955,-0.943,9.016,0.0,0.714,2.818,1.001,0.017,0.0,0.298,0.023,0.0,-0.014,-0.068,1.84,1.4,0.014,0.012,0.188,0.173,0.173,0.267,0.006,-0.254,-0.267,-0.283,0.163,0.0,0.0,0.0,0.028,0.035,0.003,0.019,0.022,0.003,0.043,0.018,0.004,0.028,1.389,0.0,0.015,0.001,-0.037,0.05,0.002,-0.023,0.018,-0.001,0.022,0.008,0.352,0.007,-0.005,-0.079,0.048,-0.039,0.01,0.023,0.086,-0.024,0.042,-0.092,0.009,0.016,0.008,-0.023,0.018,0.0,-0.0,-0.0,0.0
0.931,-0.931,-0.955,-0.907,8.675,0.001,0.925,2.763,1.0,-0.053,0.001,0.392,0.064,0.003,-0.165,0.024,1.882,1.366,0.05,0.04,0.23,0.198,0.197,0.304,-0.019,-0.256,-0.302,-0.358,0.159,0.0,-0.0,0.001,0.028,0.038,0.015,0.017,0.042,0.013,0.041,0.006,0.023,0.033,1.43,0.0,0.08,0.001,0.019,0.061,0.064,-0.164,0.028,0.094,0.036,0.022,0.386,0.019,-0.062,-0.033,0.146,-0.085,0.03,0.177,0.216,0.043,0.129,0.057,0.031,0.044,0.026,0.123,0.167,0.001,0.0,-0.0,0.0
0.901,-0.901,-0.905,-0.898,8.125,0.0,1.408,2.692,1.0,-0.013,-0.0,0.475,0.027,0.0,0.099,0.13,1.957,1.351,0.021,0.017,0.231,0.218,0.218,0.375,-0.011,-0.361,-0.375,-0.381,0.201,0.0,-0.0,0.0,0.026,0.031,0.003,0.007,0.026,0.003,0.027,0.009,0.005,0.026,1.494,0.0,0.034,0.001,-0.018,0.038,0.012,-0.062,0.017,0.021,0.021,0.008,0.42,0.007,-0.027,-0.053,0.057,-0.034,0.011,0.086,0.091,0.024,0.047,-0.017,0.006,0.006,0.005,0.036,0.022,0.0,0.0,-0.0,-0.0
0.895,-0.895,-0.899,-0.883,8.003,0.0,1.425,2.682,1.0,-0.067,0.0,0.581,0.037,0.001,-0.004,-0.015,1.958,1.326,0.031,0.023,0.257,0.241,0.241,0.378,0.006,-0.361,-0.377,-0.394,0.222,0.0,-0.0,0.001,0.037,0.019,0.005,0.008,0.016,0.004,0.028,0.022,0.007,0.013,1.513,0.0,0.035,0.0,-0.002,0.008,0.012,-0.091,0.023,0.058,0.028,0.012,0.436,0.01,-0.015,-0.034,0.042,-0.038,0.022,0.056,0.071,-0.041,0.028,-0.005,0.01,0.015,0.008,0.021,0.008,0.0,-0.0,0.0,0.0
0.896,-0.896,-0.902,-0.892,8.035,0.0,1.324,2.68,1.001,-0.056,-0.0,0.668,0.072,0.002,0.142,0.055,1.941,1.302,0.045,0.041,0.281,0.259,0.258,0.364,-0.005,-0.339,-0.364,-0.386,0.232,0.0,0.0,0.001,0.028,0.021,0.003,0.008,0.025,0.003,0.028,-0.013,0.004,0.017,1.518,0.0,0.094,0.0,-0.001,0.026,0.089,-0.145,0.023,0.052,0.028,0.018,0.44,0.017,-0.083,-0.035,0.092,-0.144,0.034,0.007,0.129,-0.026,0.03,-0.062,0.016,0.025,0.015,-0.021,0.009,0.0,-0.0,-0.0,0.0
0.913,-0.913,-0.922,-0.901,8.329,0.001,0.78,2.722,1.002,-0.029,0.001,0.938,0.08,0.006,0.1,-0.045,1.842,1.257,0.08,0.065,0.318,0.306,0.306,0.279,0.014,-0.252,-0.278,-0.333,0.285,0.0,-0.0,0.0,0.018,0.052,0.007,0.005,0.038,0.006,0.022,0.071,0.01,0.041,1.497,0.0,0.121,0.003,-0.018,0.059,0.146,-0.201,0.011,-0.001,0.012,0.009,0.423,0.007,-0.091,-0.039,0.131,0.011,0.009,0.065,0.178,-0.097,0.063,-0.134,0.027,0.025,0.021,-0.035,0.04,0.001,-0.0,0.0,0.0
0.895,-0.895,-0.915,-0.877,8.019,0.001,1.354,2.676,1.0,0.031,0.001,0.639,0.092,0.007,0.024,0.125,1.95,1.31,0.085,0.071,0.303,0.253,0.249,0.368,0.0,-0.257,-0.364,-0.439,0.177,0.0,-0.0,0.001,0.045,0.056,0.012,0.043,0.105,0.01,0.066,0.314,0.015,0.046,1.508,0.002,0.215,0.003,-0.056,0.055,0.461,0.042,0.029,0.005,0.035,0.042,0.429,0.037,0.197,-0.122,0.261,0.153,0.076,0.259,0.394,0.115,0.15,0.078,0.056,0.071,0.047,0.14,0.226,0.003,0.0,-0.0,-0.0
0.876,-0.876,-0.882,-0.863,7.681,-0.0,1.925,2.641,1.0,0.004,-0.0,0.382,0.016,0.0,0.02,0.16,2.023,1.373,0.016,0.011,0.2,0.196,0.196,0.439,0.029,-0.427,-0.439,-0.458,0.184,0.0,0.0,0.0,0.008,0.036,0.005,0.005,0.02,0.004,0.021,0.021,0.004,0.025,1.511,0.0,0.026,0.001,-0.019,0.034,0.007,-0.038,0.007,0.0,0.01,0.004,0.422,0.003,-0.021,-0.037,0.041,-0.008,0.004,0.105,0.072,-0.05,0.039,-0.029,0.009,0.014,0.008,0.014,0.015,0.0,0.0,0.0,-0.0
0.878,-0.878,-0.882,-0.876,7.714,-0.0,1.897,2.644,1.0,-0.002,-0.0,0.383,0.004,0.0,-0.01,-0.049,2.022,1.374,0.005,0.004,0.198,0.196,0.196,0.436,0.004,-0.431,-0.436,-0.441,0.194,0.0,-0.0,0.0,0.005,0.011,0.002,0.003,0.014,0.002,0.018,-0.001,0.002,0.008,1.509,0.0,0.015,0.0,-0.018,0.013,0.002,-0.022,0.004,-0.005,0.005,0.001,0.421,0.001,-0.014,-0.025,0.028,-0.002,0.001,0.021,0.045,-0.004,0.014,-0.017,0.003,0.002,0.002,0.01,0.002,0.0,-0.0,-0.0,0.0
0.879,-0.879,-0.887,-0.868,7.73,0.0,1.859,2.649,1.0,0.023,0.0,0.389,0.085,0.004,-0.018,-0.224,2.015,1.372,0.064,0.059,0.209,0.197,0.197,0.431,-0.034,-0.397,-0.431,-0.464,0.179,0.0,-0.0,0.001,0.019,0.088,0.006,0.017,0.032,0.006,0.041,0.008,0.011,0.079,1.507,0.0,0.087,0.008,-0.029,0.147,0.076,-0.178,0.02,-0.005,0.029,0.007,0.422,0.005,-0.06,-0.11,0.085,0.081,0.004,0.1,0.166,0.082,0.091,-0.154,0.017,0.011,0.012,-0.023,0.082,0.0,-0.0,0.0,0.0
0.958,-0.957,-0.984,-0.901,9.171,0.001,0.503,2.864,1.006,0.033,0.001,0.408,0.044,0.001,0.093,-0.062,1.761,1.372,0.038,0.032,0.214,0.202,0.202,0.224,0.091,-0.074,-0.199,-0.397,0.194,0.001,-0.0,0.0,0.032,0.117,0.027,0.034,0.11,0.022,0.059,-0.044,0.039,0.093,1.358,0.0,0.116,0.014,-0.055,0.123,0.134,-0.18,0.019,-0.03,0.021,0.006,0.33,0.005,-0.11,-0.095,0.32,-0.031,0.008,-0.161,0.482,-0.276,0.339,-0.521,0.103,0.151,0.085,-0.318,1.15,0.011,-0.0,0.0,0.001
0.988,-0.988,-0.993,-0.98,9.76,-0.0,0.004,2.942,1.008,-0.026,0.001,0.387,0.031,0.001,-0.038,-0.273,1.562,1.372,0.027,0.021,0.206,0.197,0.197,0.02,-0.015,0.027,0.006,-0.043,0.183,0.0,0.0,0.0,0.028,0.081,0.004,0.006,0.015,0.003,0.025,0.009,0.005,0.067,1.2,0.0,0.042,0.007,-0.02,0.096,0.018,-0.077,0.014,0.001,0.016,0.007,0.131,0.006,-0.032,-0.047,0.054,-0.1,0.009,0.06,0.118,-0.051,0.096,-0.235,0.019,0.02,0.014,-0.05,0.091,0.0,-0.0,-0.0,0.0
0.97,-0.97,-0.997,-0.933,9.414,0.001,0.343,2.882,1.008,-0.046,0.001,0.393,0.037,0.001,-0.029,-0.411,1.723,1.371,0.033,0.028,0.212,0.198,0.198,0.185,-0.011,0.025,-0.149,-0.297,0.179,0.0,0.001,0.001,0.035,0.077,0.021,0.011,0.084,0.019,0.033,0.147,0.036,0.065,1.322,0.0,0.095,0.006,0.008,0.105,0.091,0.034,0.027,0.059,0.032,0.012,0.314,0.011,0.089,-0.059,0.343,0.029,0.021,0.428,0.43,0.237,0.322,0.181,0.109,0.18,0.098,0.312,1.034,0.012,-0.0,-0.0,-0.0
