ag_x,ag_y,ag_z,g_x,g_y,g_z
-0.907,0.233,-0.354,-0.014,-0.002,-0.033
-0.917,0.229,-0.35,-0.015,0.02,-0.027
-0.904,0.227,-0.357,-0.023,0.009,-0.03
-0.912,0.228,-0.356,-0.008,0.018,-0.023
-0.908,0.225,-0.359,-0.004,0.019,-0.009
-0.907,0.23,-0.36,-0.006,0.026,-0.003
-0.905,0.23,-0.365,-0.018,0.018,-0.012
-0.907,0.235,-0.355,0.001,0.039,-0.018
-0.902,0.23,-0.366,-0.02,0.009,-0.033
-0.911,0.228,-0.352,-0.012,0.038,-0.016
-0.904,0.228,-0.367,0.005,0.021,-0.013
-0.905,0.23,-0.363,-0.015,0.027,-0.024
-0.904,0.227,-0.37,-0.024,0.028,-0.037
-0.909,0.226,-0.361,-0.029,0.039,-0.035
-0.897,0.226,-0.375,-0.02,0.034,-0.033
-0.903,0.225,-0.374,-0.003,0.016,-0.013
-0.903,0.225,-0.373,-0.001,0.014,-0.014
-0.904,0.222,-0.371,-0.015,0.02,-0.026
-0.906,0.219,-0.375,-0.011,0.022,-0.019
-0.902,0.224,-0.372,-0.011,0.023,-0.009
-0.901,0.226,-0.384,-0.005,0.038,-0.014
-0.898,0.223,-0.379,-0.017,0.016,-0.018
-0.904,0.224,-0.379,-0.02,0.017,-0.02
-0.898,0.222,-0.38,-0.017,0.012,-0.018
-0.902,0.222,-0.378,-0.018,0.0,-0.015
-0.901,0.223,-0.376,-0.014,0.007,-0.015
-0.913,0.222,-0.363,-0.011,0.017,-0.015
-0.896,0.221,-0.378,-0.014,0.017,-0.023
-0.907,0.224,-0.371,-0.029,0.019,-0.023
-0.9,0.223,-0.378,-0.019,0.033,-0.021
-0.902,0.223,-0.378,-0.02,0.013,-0.017
-0.899,0.226,-0.38,-0.015,0.015,-0.017
-0.898,0.224,-0.381,-0.018,0.014,-0.02
-0.905,0.223,-0.371,-0.016,0.013,-0.022
-0.895,0.224,-0.384,-0.011,0.014,-0.019
-0.902,0.222,-0.378,-0.017,0.009,-0.015
-0.902,0.223,-0.379,-0.018,0.015,-0.013
-0.9,0.227,-0.377,-0.016,0.006,-0.012
-0.901,0.229,-0.38,-0.012,0.011,-0.01
-0.899,0.229,-0.377,-0.006,0.021,-0.014
-0.901,0.226,-0.375,-0.014,0.019,-0.025
-0.893,0.227,-0.393,-0.008,0.031,-0.024
-0.897,0.223,-0.387,-0.021,-0.006,-0.021
-0.9,0.22,-0.376,-0.025,0.007,-0.024
-0.899,0.221,-0.38,-0.026,0.0,-0.039
-0.902,0.226,-0.378,-0.021,0.009,-0.019
-0.904,0.228,-0.375,-0.001,0.023,0.0
-0.9,0.224,-0.376,-0.007,0.017,-0.011
-0.903,0.226,-0.382,-0.011,0.033,-0.018
-0.896,0.222,-0.383,-0.016,0.018,-0.019
-0.9,0.226,-0.383,-0.016,0.021,-0.014
-0.9,0.222,-0.383,0.005,0.043,-0.012
-0.898,0.223,-0.386,-0.019,0.023,-0.013
-0.896,0.226,-0.385,-0.018,0.012,-0.015
-0.897,0.23,-0.385,-0.017,0.013,-0.013
-0.903,0.227,-0.378,-0.007,0.029,-0.012
-0.888,0.225,-0.395,-0.015,0.011,-0.022
-0.898,0.227,-0.387,-0.017,0.014,-0.022
-0.895,0.224,-0.388,-0.013,0.015,-0.021
-0.901,0.227,-0.385,-0.012,0.014,-0.013
-0.891,0.227,-0.391,-0.007,0.021,-0.017
-0.896,0.222,-0.39,-0.015,0.003,-0.017
-0.904,0.225,-0.378,-0.017,0.022,-0.017
-0.89,0.225,-0.395,-0.012,0.014,-0.023
-0.896,0.229,-0.387,-0.001,-0.009,-0.011
-0.892,0.229,-0.385,0.015,0.003,0.008
-0.899,0.223,-0.384,-0.011,-0.016,-0.017
-0.898,0.222,-0.385,-0.028,0.023,-0.027
-0.897,0.226,-0.381,-0.04,0.021,-0.024
-0.896,0.232,-0.382,-0.022,0.015,-0.02
-0.891,0.228,-0.391,-0.012,0.001,-0.027
-0.897,0.226,-0.383,-0.015,0.025,-0.016
-0.898,0.225,-0.386,-0.015,0.023,-0.022
-0.894,0.227,-0.387,-0.016,0.011,-0.021
-0.903,0.224,-0.377,-0.013,0.009,-0.016
-0.892,0.224,-0.393,-0.012,0.018,-0.01
-0.901,0.227,-0.379,-0.019,0.015,-0.019
-0.899,0.226,-0.387,-0.018,0.032,-0.015
-0.897,0.227,-0.379,-0.018,0.009,-0.012
-0.899,0.23,-0.385,-0.011,0.017,-0.017
-0.895,0.227,-0.387,-0.021,0.023,-0.018
-0.896,0.229,-0.387,-0.019,0.014,-0.031
-0.897,0.226,-0.387,-0.006,0.018,-0.027
-0.897,0.227,-0.387,0.0,0.015,-0.014
-0.9,0.224,-0.384,-0.003,0.011,-0.024
-0.892,0.22,-0.396,-0.011,0.02,-0.028
-0.898,0.222,-0.387,-0.021,0.013,-0.023
-0.896,0.223,-0.392,-0.019,0.015,-0.018
-0.894,0.229,-0.392,-0.047,0.002,-0.022
-0.906,0.221,-0.377,-0.018,0.035,-0.008
-0.887,0.225,-0.399,-0.004,0.003,-0.012
-0.901,0.224,-0.387,-0.018,0.035,-0.014
-0.889,0.227,-0.397,-0.022,0.014,-0.016
-0.894,0.225,-0.389,-0.007,0.005,-0.013
-0.894,0.225,-0.389,-0.003,0.009,-0.014
-0.897,0.225,-0.389,-0.012,-0.008,-0.019
-0.9,0.228,-0.385,-0.004,0.016,-0.01
-0.895,0.225,-0.386,0.011,0.002,0.001
-0.893,0.226,-0.395,-0.001,0.015,-0.001
-0.9,0.224,-0.379,-0.007,0.026,-0.017
-0.892,0.228,-0.395,-0.026,0.029,-0.021
-0.891,0.229,-0.394,-0.02,0.018,-0.02
-0.892,0.229,-0.392,-0.01,0.017,-0.02
-0.895,0.224,-0.395,-0.014,0.006,-0.019
-0.897,0.225,-0.388,-0.02,0.01,-0.019
-0.897,0.224,-0.391,-0.027,0.009,-0.017
-0.895,0.23,-0.388,-0.037,0.036,0.0
-0.887,0.238,-0.402,0.002,0.021,-0.018
-0.884,0.227,-0.396,-0.015,-0.022,-0.03
-0.898,0.227,-0.387,-0.023,0.0,-0.032
-0.894,0.223,-0.389,-0.026,0.007,-0.032
-0.898,0.228,-0.386,-0.015,0.009,-0.022
-0.899,0.222,-0.386,-0.003,0.006,-0.018
-0.898,0.225,-0.387,-0.014,0.012,-0.013
-0.9,0.225,-0.382,-0.016,0.01,-0.023
-0.891,0.228,-0.39,-0.002,0.01,-0.027
-0.894,0.224,-0.39,-0.011,0.011,-0.03
-0.897,0.223,-0.386,-0.022,0.013,-0.03
