t (ms),a_x,a_y,a_z,g_x,g_y,g_z,ag_x,ag_y,ag_z,SVM_a,SVM_g,CM_a,CM_g,jerk_x,jerk_y,jerk_z,accl_x,accl_y,accl_z,th_x,th_y,th_z,ag_x_mean,ag_x_max,ag_x_min,ag_y_mean,ag_y_max,ag_y_min,ag_z_mean,ag_z_max,ag_z_min,g_x_mean,g_x_max,g_x_min,g_y_mean,g_y_max,g_y_min,g_z_mean,g_z_max,g_z_min,SMA_a,SMA_g,RMS_ag_x,RMS_ag_y,RMS_ag_z,RMS_g_x,RMS_g_y,RMS_g_z,MAD_ag_x,MAD_ag_y,MAD_ag_z,MAD_g_x,MAD_g_y,MAD_g_z,VAR_ag_x,VAR_ag_y,VAR_ag_z,VAR_g_x,VAR_g_y,VAR_g_z,STD_ag_x,STD_ag_y,STD_ag_z,STD_g_x,STD_g_y,STD_g_z,IQR_ag_x,IQR_ag_y,IQR_ag_z,IQR_g_x,IQR_g_y,IQR_g_z,FFT_ag_x,FFT_ag_y,FFT_ag_z,FFT_g_x,FFT_g_y,FFT_g_z,E_ag_x,E_ag_y,E_ag_z,E_g_x,E_g_y,E_g_z
21022,-6.29,1.717,-7.29,-0.012,0.034,-0.003,-0.641,0.175,-0.743,0.997,0.036,0.437,0.011,-0.0,0.0,-0.0,-0.0,0.0,-0.0,2.269,1.394,2.412,-0.62,-0.603,-0.644,0.202,0.219,0.175,-0.758,-0.735,-0.77,-0.031,0.033,-0.099,0.052,0.102,0.024,0.013,0.042,-0.023,1.579,0.113,0.62,0.203,0.758,0.052,0.057,0.025,0.014,0.012,0.007,0.035,0.021,0.019,0.0,0.0,0.0,0.002,0.001,0.0,0.015,0.014,0.01,0.041,0.025,0.022,0.029,0.022,0.004,0.052,0.031,0.037,-6.198,2.021,-7.575,-0.308,0.516,0.13,3.844,0.41,5.739,0.027,0.033,0.006
21125,-6.311,1.822,-7.42,-0.06,0.068,-0.023,-0.644,0.186,-0.757,1.011,0.094,0.449,0.045,0.0,0.0,0.0,-0.0,0.0,0.0,2.261,1.386,2.417,-0.62,-0.603,-0.644,0.202,0.219,0.175,-0.758,-0.735,-0.77,-0.031,0.033,-0.099,0.052,0.102,0.024,0.013,0.042,-0.023,1.579,0.113,0.62,0.203,0.758,0.052,0.057,0.025,0.014,0.012,0.007,0.035,0.021,0.019,0.0,0.0,0.0,0.002,0.001,0.0,0.015,0.014,0.01,0.041,0.025,0.022,0.029,0.022,0.004,0.052,0.031,0.037,-0.066,-0.054,0.032,-0.1,0.015,-0.132,3.844,0.41,5.739,0.027,0.033,0.006
21228,-6.266,1.865,-7.209,-0.094,0.087,0.017,-0.639,0.19,-0.735,0.992,0.129,0.447,0.052,0.0,0.0,-0.0,-0.0,0.0,0.0,2.27,1.378,2.405,-0.62,-0.603,-0.644,0.202,0.219,0.175,-0.758,-0.735,-0.77,-0.031,0.033,-0.099,0.052,0.102,0.024,0.013,0.042,-0.023,1.579,0.113,0.62,0.203,0.758,0.052,0.057,0.025,0.014,0.012,0.007,0.035,0.021,0.019,0.0,0.0,0.0,0.002,0.001,0.0,0.015,0.014,0.01,0.041,0.025,0.022,0.029,0.022,0.004,0.052,0.031,0.037,-0.002,-0.024,-0.003,0.096,-0.072,-0.003,3.844,0.41,5.739,0.027,0.033,0.006
21331,-6.151,1.937,-7.439,-0.099,0.102,-0.002,-0.627,0.198,-0.759,1.004,0.142,0.455,0.027,0.0,0.0,-0.0,0.0,-0.0,0.0,2.245,1.372,2.428,-0.62,-0.603,-0.644,0.202,0.219,0.175,-0.758,-0.735,-0.77,-0.031,0.033,-0.099,0.052,0.102,0.024,0.013,0.042,-0.023,1.579,0.113,0.62,0.203,0.758,0.052,0.057,0.025,0.014,0.012,0.007,0.035,0.021,0.019,0.0,0.0,0.0,0.002,0.001,0.0,0.015,0.014,0.01,0.041,0.025,0.022,0.029,0.022,0.004,0.052,0.031,0.037,-0.022,-0.013,0.01,0.055,-0.008,-0.01,3.844,0.41,5.739,0.027,0.033,0.006
21433,-5.986,1.992,-7.472,-0.025,0.056,0.034,-0.61,0.203,-0.762,0.997,0.07,0.455,0.036,0.0,0.0,-0.0,0.0,-0.0,0.0,2.229,1.366,2.441,-0.62,-0.603,-0.644,0.202,0.219,0.175,-0.758,-0.735,-0.77,-0.031,0.033,-0.099,0.052,0.102,0.024,0.013,0.042,-0.023,1.579,0.113,0.62,0.203,0.758,0.052,0.057,0.025,0.014,0.012,0.007,0.035,0.021,0.019,0.0,0.0,0.0,0.002,0.001,0.0,0.015,0.014,0.01,0.041,0.025,0.022,0.029,0.022,0.004,0.052,0.031,0.037,-0.017,-0.029,0.018,0.026,-0.001,0.036,3.844,0.41,5.739,0.027,0.033,0.006
21536,-5.942,2.042,-7.511,-0.001,0.04,0.042,-0.606,0.208,-0.766,0.999,0.058,0.459,0.012,0.0,0.0,0.0,0.0,-0.0,-0.0,2.223,1.361,2.445,-0.62,-0.603,-0.644,0.202,0.219,0.175,-0.758,-0.735,-0.77,-0.031,0.033,-0.099,0.052,0.102,0.024,0.013,0.042,-0.023,1.579,0.113,0.62,0.203,0.758,0.052,0.057,0.025,0.014,0.012,0.007,0.035,0.021,0.019,0.0,0.0,0.0,0.002,0.001,0.0,0.015,0.014,0.01,0.041,0.025,0.022,0.029,0.022,0.004,0.052,0.031,0.037,-0.0,-0.031,0.031,0.034,-0.044,0.058,3.844,0.41,5.739,0.027,0.033,0.006
21638,-5.947,2.131,-7.475,0.013,0.024,0.033,-0.606,0.217,-0.762,0.997,0.043,0.464,0.022,-0.0,0.0,0.0,0.0,-0.0,-0.0,2.224,1.351,2.44,-0.62,-0.603,-0.644,0.202,0.219,0.175,-0.758,-0.735,-0.77,-0.031,0.033,-0.099,0.052,0.102,0.024,0.013,0.042,-0.023,1.579,0.113,0.62,0.203,0.758,0.052,0.057,0.025,0.014,0.012,0.007,0.035,0.021,0.019,0.0,0.0,0.0,0.002,0.001,0.0,0.015,0.014,0.01,0.041,0.025,0.022,0.029,0.022,0.004,0.052,0.031,0.037,-0.017,-0.029,0.018,0.026,-0.001,0.036,3.844,0.41,5.739,0.027,0.033,0.006
21741,-6.007,2.143,-7.451,0.033,0.029,0.035,-0.613,0.219,-0.76,1.001,0.056,0.467,0.032,0.0,-0.0,-0.0,-0.0,0.0,-0.0,2.23,1.35,2.433,-0.62,-0.603,-0.644,0.202,0.219,0.175,-0.758,-0.735,-0.77,-0.031,0.033,-0.099,0.052,0.102,0.024,0.013,0.042,-0.023,1.579,0.113,0.62,0.203,0.758,0.052,0.057,0.025,0.014,0.012,0.007,0.035,0.021,0.019,0.0,0.0,0.0,0.002,0.001,0.0,0.015,0.014,0.01,0.041,0.025,0.022,0.029,0.022,0.004,0.052,0.031,0.037,-0.022,-0.013,0.01,0.055,-0.008,-0.01,3.844,0.41,5.739,0.027,0.033,0.006
21843,-5.918,2.059,-7.556,-0.019,0.035,0.013,-0.603,0.21,-0.77,1.0,0.042,0.46,0.021,0.0,-0.0,-0.0,-0.0,0.0,-0.0,2.218,1.359,2.449,-0.62,-0.603,-0.644,0.202,0.219,0.175,-0.758,-0.735,-0.77,-0.031,0.033,-0.099,0.052,0.102,0.024,0.013,0.042,-0.023,1.579,0.113,0.62,0.203,0.758,0.052,0.057,0.025,0.014,0.012,0.007,0.035,0.021,0.019,0.0,0.0,0.0,0.002,0.001,0.0,0.015,0.014,0.01,0.041,0.025,0.022,0.029,0.022,0.004,0.052,0.031,0.037,-0.002,-0.024,-0.003,0.096,-0.072,-0.003,3.844,0.41,5.739,0.027,0.033,0.006
21945,-5.969,2.109,-7.46,-0.044,0.041,-0.016,-0.609,0.215,-0.761,0.998,0.062,0.464,0.031,0.0,0.0,0.0,-0.0,-0.0,-0.0,2.227,1.354,2.438,-0.62,-0.603,-0.644,0.202,0.219,0.175,-0.758,-0.735,-0.77,-0.031,0.033,-0.099,0.052,0.102,0.024,0.013,0.042,-0.023,1.579,0.113,0.62,0.203,0.758,0.052,0.057,0.025,0.014,0.012,0.007,0.035,0.021,0.019,0.0,0.0,0.0,0.002,0.001,0.0,0.015,0.014,0.01,0.041,0.025,0.022,0.029,0.022,0.004,0.052,0.031,0.037,-0.066,-0.054,0.032,-0.1,0.015,-0.132,3.844,0.41,5.739,0.027,0.033,0.006
