t (ms),a_x,a_y,a_z,g_x,g_y,g_z
1167405,-6.325,1.156,-7.199,0.025,-0.015,-0.053
1167508,-6.194,1.417,-7.305,0.046,-0.028,-0.009
1167611,-6.306,1.219,-7.209,0.054,-0.080,-0.048
1167714,-6.493,1.116,-7.068,-0.028,-0.059,-0.060
1167817,-6.565,1.209,-6.981,0.001,-0.037,-0.023
1167920,-6.519,1.132,-7.017,-0.017,-0.021,-0.041
1168023,-6.529,1.130,-7.046,-0.019,0.004,-0.037
1168126,-6.539,1.152,-7.039,-0.019,0.011,-0.028
1168229,-6.560,1.176,-7.025,-0.016,0.000,-0.023
1168332,-6.546,1.168,-7.001,-0.006,0.011,-0.027
1168435,-6.543,1.164,-7.058,-0.007,0.020,-0.029
1168538,-6.534,1.178,-7.049,-0.011,0.026,-0.020
1168641,-6.527,1.168,-7.053,-0.007,0.011,-0.022
1168744,-6.534,1.168,-7.029,-0.005,0.008,-0.023
1168848,-6.541,1.176,-7.029,-0.005,0.012,-0.023
1168951,-6.543,1.176,-7.013,-0.005,0.008,-0.020
1169054,-6.558,1.168,-7.017,-0.002,0.011,-0.022
1169157,-6.539,1.204,-7.029,-0.003,0.005,-0.023
1169260,-6.563,1.180,-7.005,-0.001,0.001,-0.023
1169363,-6.529,1.188,-7.037,-0.007,-0.009,-0.026
1169467,-6.586,1.183,-6.960,-0.002,-0.001,-0.024
1169570,-6.582,1.183,-6.977,-0.007,0.004,-0.024
1169673,-6.586,1.192,-6.981,-0.006,-0.005,-0.024
1169776,-6.594,1.190,-6.984,-0.004,-0.004,-0.027
1169880,-6.632,1.176,-6.938,-0.006,0.006,-0.025
1169983,-6.620,1.171,-6.946,-0.003,0.004,-0.024
1170087,-6.661,1.161,-6.910,-0.005,0.006,-0.021
1170190,-6.625,1.188,-7.001,-0.005,0.011,-0.022
1170294,-6.622,1.195,-6.946,-0.004,-0.003,-0.027
1170398,-6.625,1.176,-6.910,-0.004,-0.002,-0.027
1170501,-6.665,1.156,-6.898,-0.003,0.012,-0.025
1170605,-6.646,1.183,-6.931,-0.001,0.016,-0.021
