accl_x,ag_x_max,ag_x_mean,RMS_ag_x,ag_x_min,FFT_g_x,FFT_ag_y,FFT_g_z,E_ag_x,E_ag_z,th_x,SVM_a,FFT_ag_x,IQR_g_z,accl_z,th_z,FFT_g_y,accl_y,th_y,RMS_ag_y,ag_y_mean,ag_y_max,ag_y_min,CM_a,SMA_a,STD_g_y,VAR_g_y,ag_z_min,RMS_ag_z,g_x_max,ag_z_max,ag_z_mean,CM_g,MAD_g_y,VAR_g_x,VAR_ag_y,IQR_g_x,IQR_ag_x,IQR_g_y,g_z_max,MAD_g_z,VAR_ag_x,MAD_ag_y,g_y_max,g_z_mean,STD_ag_y,g_x_min,STD_g_z,STD_g_x,IQR_ag_y,VAR_g_z,g_x_mean,MAD_g_x,MAD_ag_x,E_ag_y,E_g_x,STD_ag_x,RMS_g_x,SVM_g,RMS_g_z,g_z_min,g_y_min,E_g_z,FFT_ag_z,RMS_g_y,SMA_g,IQR_ag_z,g_y_mean,STD_ag_z,MAD_ag_z,E_g_y,jerk_z,VAR_ag_z,jerk_x,jerk_y
0.0,-0.893,-0.901,0.901,-0.909,-0.027,0.011,0.003,8.109,1.38,2.686,1.003,0.022,0.008,-0.0,1.953,0.17,0.0,1.332,0.238,0.238,0.243,0.233,0.43,1.509,0.028,0.001,-0.386,0.371,-0.009,-0.357,-0.371,0.018,0.025,0.0,0.0,0.008,0.011,0.044,-0.011,0.004,0.0,0.003,0.034,-0.021,0.003,-0.028,0.005,0.006,0.005,0.0,-0.014,0.005,0.005,0.565,0.002,0.006,0.015,0.04,0.022,-0.029,-0.06,0.005,-0.023,0.03,0.059,0.018,-0.008,0.01,0.009,0.009,-0.0,0.0,0.0,0.0
0.0,-0.902,-0.908,0.908,-0.917,-0.024,0.015,0.012,8.239,1.285,2.704,1.003,0.016,0.015,-0.0,1.937,0.004,0.0,1.339,0.231,0.231,0.238,0.225,0.422,1.497,0.009,0.0,-0.365,0.359,-0.004,-0.35,-0.358,0.016,0.008,0.0,0.0,0.014,0.004,0.014,-0.003,0.009,0.0,0.003,0.026,-0.023,0.004,-0.027,0.011,0.008,0.005,0.0,-0.016,0.007,0.003,0.532,0.003,0.004,0.018,0.036,0.025,-0.039,-0.002,0.006,-0.027,0.017,0.054,0.008,0.014,0.005,0.004,0.003,0.0,0.0,-0.0,0.0
-0.0,-0.897,-0.904,0.905,-0.911,0.044,0.007,0.034,8.181,1.337,2.696,1.002,0.0,0.019,-0.0,1.946,-0.024,-0.0,1.342,0.228,0.228,0.235,0.225,0.423,1.498,0.011,0.0,-0.375,0.366,0.005,-0.352,-0.366,0.018,0.009,0.0,0.0,0.018,0.004,0.02,-0.013,0.009,0.0,0.002,0.039,-0.024,0.003,-0.029,0.009,0.011,0.004,0.0,-0.012,0.01,0.003,0.52,0.003,0.004,0.016,0.041,0.025,-0.037,0.009,0.006,0.008,0.029,0.063,0.011,0.027,0.007,0.006,0.008,-0.0,0.0,0.0,0.0
-0.0,-0.898,-0.903,0.903,-0.913,0.014,-0.006,-0.003,8.152,1.412,2.69,1.002,-0.019,0.004,-0.0,1.957,0.009,0.0,1.346,0.223,0.223,0.226,0.219,0.423,1.501,0.01,0.0,-0.384,0.376,-0.005,-0.363,-0.376,0.014,0.007,0.0,0.0,0.006,0.003,0.008,-0.009,0.003,0.0,0.001,0.038,-0.017,0.002,-0.02,0.004,0.004,0.002,0.0,-0.014,0.004,0.003,0.496,0.002,0.004,0.015,0.028,0.017,-0.026,0.0,0.003,0.029,0.02,0.048,0.006,0.017,0.006,0.004,0.004,-0.0,0.0,-0.0,-0.0
-0.0,-0.895,-0.901,0.901,-0.907,-0.01,-0.005,-0.001,8.111,1.427,2.688,1.002,-0.004,0.005,-0.0,1.958,0.012,0.0,1.346,0.223,0.223,0.226,0.221,0.424,1.502,0.006,0.0,-0.384,0.378,-0.011,-0.371,-0.378,0.016,0.004,0.0,0.0,0.003,0.004,0.003,-0.013,0.003,0.0,0.001,0.033,-0.019,0.001,-0.029,0.003,0.005,0.001,0.0,-0.018,0.003,0.003,0.499,0.003,0.004,0.018,0.03,0.019,-0.023,0.009,0.004,0.006,0.017,0.053,0.002,0.016,0.004,0.003,0.003,-0.0,0.0,0.0,0.0
0.0,-0.893,-0.9,0.9,-0.904,0.025,0.015,0.049,8.093,1.443,2.687,1.002,-0.013,0.012,0.0,1.957,0.012,-0.0,1.342,0.226,0.226,0.229,0.22,0.426,1.505,0.011,0.0,-0.393,0.38,-0.001,-0.375,-0.38,0.013,0.009,0.0,0.0,0.012,0.002,0.014,0.0,0.008,0.0,0.003,0.031,-0.019,0.003,-0.026,0.01,0.008,0.004,0.0,-0.015,0.007,0.002,0.509,0.003,0.003,0.017,0.03,0.021,-0.039,-0.006,0.005,0.021,0.016,0.047,0.004,0.012,0.006,0.004,0.003,-0.0,0.0,0.0,0.0
-0.0,-0.888,-0.898,0.898,-0.903,0.005,0.001,-0.01,8.066,1.472,2.683,1.003,0.001,0.005,-0.0,1.964,-0.011,0.0,1.344,0.225,0.225,0.23,0.222,0.426,1.507,0.01,0.0,-0.395,0.384,0.005,-0.376,-0.384,0.015,0.008,0.0,0.0,0.009,0.004,0.014,-0.011,0.003,0.0,0.002,0.043,-0.015,0.002,-0.019,0.003,0.007,0.003,0.0,-0.012,0.006,0.003,0.507,0.002,0.004,0.014,0.03,0.015,-0.022,0.011,0.002,0.005,0.024,0.05,0.003,0.022,0.005,0.003,0.006,-0.0,0.0,0.0,-0.0
0.0,-0.89,-0.896,0.896,-0.904,0.006,0.002,0.004,8.032,1.498,2.677,1.002,-0.002,0.006,0.0,1.967,-0.021,0.0,1.344,0.226,0.226,0.229,0.222,0.428,1.509,0.012,0.0,-0.395,0.387,0.015,-0.378,-0.387,0.014,0.01,0.0,0.0,0.006,0.006,0.012,0.008,0.006,0.0,0.002,0.022,-0.015,0.002,-0.017,0.008,0.009,0.003,0.0,-0.009,0.007,0.003,0.51,0.002,0.004,0.013,0.027,0.017,-0.023,-0.016,0.003,0.004,0.014,0.042,0.005,0.008,0.004,0.003,0.002,0.0,0.0,-0.0,-0.0
-0.0,-0.891,-0.897,0.897,-0.903,-0.038,-0.002,-0.006,8.041,1.478,2.681,1.001,-0.004,0.007,-0.0,1.964,0.007,0.0,1.343,0.226,0.226,0.232,0.222,0.427,1.507,0.007,0.0,-0.393,0.384,-0.012,-0.377,-0.384,0.018,0.006,0.0,0.0,0.008,0.003,0.01,-0.01,0.004,0.0,0.002,0.025,-0.02,0.003,-0.04,0.005,0.008,0.003,0.0,-0.019,0.006,0.003,0.511,0.004,0.004,0.021,0.032,0.021,-0.027,0.001,0.004,0.007,0.018,0.055,0.006,0.016,0.005,0.004,0.003,0.0,0.0,0.0,0.0
0.0,-0.892,-0.897,0.897,-0.9,-0.028,-0.006,0.019,8.046,1.495,2.678,1.003,-0.002,0.011,0.0,1.967,0.009,-0.0,1.342,0.226,0.226,0.23,0.22,0.428,1.509,0.006,0.0,-0.396,0.387,0.0,-0.379,-0.387,0.016,0.005,0.0,0.0,0.012,0.003,0.006,-0.012,0.006,0.0,0.002,0.032,-0.021,0.003,-0.021,0.006,0.007,0.003,0.0,-0.013,0.007,0.002,0.51,0.002,0.002,0.015,0.034,0.022,-0.031,0.009,0.005,0.003,0.018,0.051,0.002,0.017,0.004,0.002,0.003,0.0,0.0,0.0,0.0
