g_x_mean,accl_y,g_y_mean,jerk_z,accl_x,ag_z_min,ag_y_min,g_z_mean,SMA_g,IQR_g_z,VAR_g_x,accl_z,MAD_g_x,ag_x_mean,ag_x_max,VAR_g_y,RMS_g_z,ag_y_max,IQR_g_y,ag_y_mean,STD_ag_x,RMS_ag_z,g_z_min,STD_g_y,ag_z_max,RMS_ag_y,ag_z_mean,STD_g_x,ag_x_min,th_z,VAR_ag_z,VAR_ag_x,g_y_min,STD_g_z,g_x_max,RMS_ag_x,MAD_g_y,MAD_g_z,IQR_g_x,STD_ag_z,IQR_ag_z,SVM_g,MAD_ag_z,RMS_g_y,RMS_g_x,VAR_g_z,g_z_max,th_y,MAD_ag_x,g_y_max,th_x,FFT_ag_z,FFT_g_y,FFT_g_z,FFT_ag_x,E_ag_y,FFT_g_x,STD_ag_y,IQR_ag_x,CM_a,g_x_min,MAD_ag_y,SVM_a,IQR_ag_y,E_ag_x,E_ag_z,SMA_a,E_g_y,FFT_ag_y,jerk_y,VAR_ag_y,E_g_x,CM_g,jerk_x,E_g_z
-0.066,0.0,-0.015,0.0,-0.0,-0.318,0.29,-0.002,0.1,0.021,0.001,0.0,0.027,-0.907,-0.903,0.001,0.014,0.324,0.02,0.307,0.004,0.302,-0.023,0.023,-0.28,0.307,-0.302,0.036,-0.917,1.878,0.0,0.0,-0.056,0.014,-0.025,0.907,0.016,0.012,0.022,0.011,0.018,0.065,0.009,0.027,0.076,0.0,0.016,1.26,0.002,0.036,2.7,0.009,-0.112,0.013,0.003,0.942,-0.198,0.009,0.002,0.436,-0.143,0.008,1.002,0.012,8.221,0.911,1.515,0.007,-0.018,0.0,0.0,0.057,0.024,-0.0,0.002
-0.044,0.0,-0.017,0.0,0.0,-0.275,0.324,-0.014,0.092,0.033,0.002,-0.0,0.045,-0.91,-0.904,0.0,0.025,0.351,0.027,0.333,0.004,0.257,-0.045,0.016,-0.229,0.333,-0.257,0.049,-0.917,1.832,0.0,0.0,-0.041,0.021,0.018,0.91,0.014,0.018,0.086,0.015,0.026,0.056,0.013,0.023,0.066,0.0,0.018,1.238,0.003,0.008,2.708,-0.017,0.034,0.067,0.013,1.109,0.23,0.008,0.006,0.427,-0.114,0.007,1.002,0.012,8.288,0.662,1.5,0.005,0.034,0.0,0.0,0.043,0.018,-0.0,0.006
0.082,0.0,0.043,0.0,0.001,-0.29,0.293,-0.039,0.17,0.013,0.009,-0.0,0.073,-0.915,-0.911,0.001,0.04,0.342,0.042,0.324,0.002,0.25,-0.056,0.035,-0.232,0.324,-0.25,0.095,-0.918,1.82,0.0,0.0,0.002,0.011,0.293,0.915,0.027,0.009,0.087,0.016,0.02,0.08,0.013,0.055,0.125,0.0,-0.02,1.239,0.002,0.12,2.72,-0.012,0.004,-0.016,-0.0,1.051,0.063,0.015,0.003,0.42,-0.031,0.012,1.003,0.015,8.372,0.627,1.489,0.031,-0.001,0.0,0.0,0.157,0.04,-0.0,0.016
0.097,-0.0,0.061,-0.0,-0.0,-0.39,0.186,-0.064,0.256,0.06,0.01,-0.0,0.088,-0.907,-0.893,0.001,0.085,0.287,0.045,0.226,0.005,0.359,-0.157,0.028,-0.308,0.228,-0.358,0.098,-0.912,1.942,0.001,0.0,0.004,0.056,0.24,0.907,0.024,0.045,0.166,0.025,0.032,0.175,0.021,0.067,0.138,0.003,0.042,1.354,0.003,0.094,2.705,0.079,0.07,-0.031,0.006,0.521,0.042,0.033,0.004,0.416,-0.064,0.029,1.002,0.046,8.223,1.287,1.491,0.046,0.15,-0.0,0.001,0.191,0.093,0.0,0.073
-0.035,-0.0,0.009,0.0,0.0,-0.377,0.212,0.012,0.07,0.025,0.001,0.0,0.026,-0.903,-0.896,0.0,0.025,0.252,0.02,0.227,0.003,0.366,-0.027,0.011,-0.359,0.228,-0.366,0.036,-0.907,1.945,0.0,0.0,-0.007,0.022,0.003,0.903,0.01,0.019,0.035,0.005,0.004,0.039,0.004,0.015,0.05,0.0,0.043,1.342,0.003,0.023,2.698,-0.013,0.023,-0.057,0.004,0.519,-0.173,0.012,0.005,0.421,-0.127,0.009,1.0,0.01,8.156,1.341,1.497,0.002,0.005,0.0,0.0,0.025,0.014,-0.0,0.006
-0.01,-0.0,0.019,-0.0,0.0,-0.381,0.237,-0.022,0.05,0.006,0.0,-0.0,0.004,-0.896,-0.89,0.0,0.022,0.245,0.008,0.241,0.003,0.372,-0.03,0.008,-0.366,0.241,-0.372,0.005,-0.9,1.952,0.0,0.0,0.009,0.005,-0.002,0.896,0.006,0.004,0.006,0.005,0.01,0.032,0.005,0.02,0.011,0.0,-0.014,1.328,0.002,0.032,2.683,-0.017,0.033,0.004,0.011,0.581,0.022,0.002,0.005,0.431,-0.02,0.002,1.0,0.002,8.032,1.386,1.51,0.004,0.009,-0.0,0.0,0.001,0.016,0.0,0.005
-0.014,-0.0,0.014,0.0,-0.0,-0.379,0.235,-0.02,0.049,0.01,0.0,-0.0,0.005,-0.897,-0.895,0.0,0.022,0.24,0.015,0.238,0.002,0.376,-0.032,0.009,-0.367,0.238,-0.376,0.006,-0.902,1.957,0.0,0.0,-0.002,0.007,-0.003,0.897,0.008,0.006,0.01,0.003,0.003,0.031,0.002,0.017,0.016,0.0,-0.009,1.332,0.001,0.027,2.681,-0.004,-0.019,0.025,0.003,0.565,0.006,0.002,0.002,0.43,-0.022,0.002,1.0,0.005,8.041,1.41,1.51,0.003,0.002,-0.0,0.0,0.002,0.016,-0.0,0.005
-0.028,0.0,0.019,0.0,0.0,-0.39,0.228,-0.014,0.067,0.01,0.0,0.0,0.019,-0.896,-0.885,0.001,0.019,0.252,0.021,0.241,0.007,0.375,-0.034,0.024,-0.36,0.241,-0.375,0.022,-0.907,1.956,0.0,0.0,-0.011,0.012,-0.005,0.896,0.018,0.009,0.034,0.009,0.011,0.036,0.007,0.03,0.036,0.0,0.014,1.33,0.006,0.066,2.68,-0.022,-0.103,-0.019,0.017,0.581,0.062,0.007,0.008,0.431,-0.075,0.006,1.0,0.008,8.027,1.408,1.512,0.009,0.028,0.0,0.0,0.013,0.017,-0.0,0.004
-0.063,0.001,-0.14,0.0,-0.0,-0.385,0.223,-0.055,0.258,0.023,0.0,-0.0,0.016,-0.925,-0.887,0.003,0.057,0.25,0.05,0.235,0.022,0.305,-0.076,0.051,-0.22,0.235,-0.3,0.018,-0.956,1.868,0.003,0.0,-0.235,0.015,-0.032,0.926,0.04,0.014,0.025,0.057,0.102,0.15,0.052,0.149,0.066,0.0,-0.03,1.336,0.019,-0.049,2.756,-0.127,0.274,0.034,0.056,0.552,-0.005,0.01,0.036,0.4,-0.095,0.009,1.003,0.018,8.569,0.933,1.46,0.223,0.029,-0.0,0.0,0.043,0.076,-0.0,0.032
-0.023,0.001,-0.046,0.0,0.0,-0.22,0.218,-0.023,0.104,0.021,0.0,0.0,0.016,-0.962,-0.952,0.003,0.027,0.234,0.094,0.225,0.005,0.176,-0.048,0.058,-0.155,0.225,-0.175,0.022,-0.967,1.735,0.0,0.0,-0.155,0.014,0.026,0.962,0.053,0.012,0.021,0.022,0.024,0.044,0.019,0.074,0.031,0.0,-0.003,1.344,0.004,0.023,2.864,-0.094,-0.171,0.002,0.022,0.508,-0.064,0.005,0.006,0.328,-0.06,0.004,1.004,0.006,9.259,0.311,1.363,0.055,0.024,0.0,0.0,0.01,0.017,0.0,0.007
0.017,0.001,0.153,-0.0,-0.0,-0.295,0.222,0.003,0.184,0.008,0.001,0.0,0.028,-0.953,-0.928,0.007,0.009,0.244,0.115,0.23,0.012,0.218,-0.009,0.084,-0.158,0.23,-0.213,0.032,-0.966,1.769,0.002,0.0,0.026,0.008,0.074,0.953,0.075,0.006,0.043,0.047,0.087,0.151,0.042,0.174,0.037,0.0,0.024,1.34,0.011,0.282,2.832,0.039,-0.374,0.002,-0.001,0.528,-0.205,0.006,0.021,0.354,-0.019,0.004,1.003,0.006,9.082,0.477,1.396,0.304,-0.024,-0.0,0.0,0.013,0.013,0.0,0.001
0.007,-0.0,0.085,-0.0,0.0,-0.379,0.222,-0.014,0.127,0.032,0.001,-0.0,0.021,-0.906,-0.897,0.002,0.028,0.243,0.057,0.233,0.007,0.354,-0.064,0.043,-0.31,0.233,-0.353,0.027,-0.921,1.936,0.001,0.0,0.01,0.025,0.045,0.906,0.037,0.021,0.033,0.024,0.036,0.112,0.021,0.096,0.027,0.001,0.008,1.334,0.006,0.136,2.702,0.083,-0.007,0.139,-0.021,0.542,-0.087,0.007,0.009,0.423,-0.037,0.006,1.0,0.013,8.213,1.254,1.492,0.091,0.018,0.0,0.0,0.007,0.018,0.0,0.008
-0.011,-0.0,0.007,-0.0,0.0,-0.382,0.229,-0.012,0.038,0.012,0.0,-0.0,0.007,-0.898,-0.894,0.0,0.014,0.238,0.015,0.235,0.003,0.374,-0.02,0.011,-0.364,0.235,-0.374,0.009,-0.903,1.954,0.0,0.0,-0.015,0.007,0.01,0.898,0.01,0.006,0.009,0.006,0.011,0.022,0.005,0.013,0.014,0.0,0.002,1.334,0.003,0.019,2.684,-0.022,0.014,0.018,0.009,0.551,0.008,0.003,0.004,0.429,-0.021,0.002,1.0,0.003,8.064,1.396,1.506,0.002,-0.007,-0.0,0.0,0.002,0.012,0.0,0.002
-0.01,0.0,0.02,0.0,0.0,-0.379,0.234,-0.016,0.046,0.002,0.0,-0.0,0.003,-0.897,-0.895,0.0,0.016,0.239,0.008,0.236,0.002,0.376,-0.025,0.005,-0.369,0.236,-0.376,0.004,-0.901,1.957,0.0,0.0,0.009,0.004,-0.005,0.897,0.005,0.002,0.003,0.003,0.003,0.028,0.002,0.021,0.011,0.0,-0.011,1.333,0.001,0.026,2.682,0.017,0.023,0.003,-0.007,0.558,0.015,0.002,0.002,0.43,-0.018,0.001,1.001,0.002,8.046,1.413,1.509,0.004,0.007,-0.0,0.0,0.001,0.014,-0.0,0.003
-0.018,-0.0,0.007,-0.0,-0.0,-0.385,0.228,-0.021,0.051,0.006,0.0,-0.0,0.004,-0.897,-0.893,0.0,0.022,0.238,0.013,0.236,0.002,0.376,-0.029,0.014,-0.37,0.236,-0.376,0.007,-0.901,1.954,0.0,0.0,-0.018,0.006,-0.001,0.897,0.011,0.005,0.005,0.005,0.007,0.031,0.005,0.015,0.019,0.0,-0.009,1.332,0.002,0.036,2.684,-0.02,0.078,-0.011,0.005,0.557,0.027,0.003,0.004,0.43,-0.028,0.002,1.001,0.002,8.044,1.416,1.509,0.002,-0.008,-0.0,0.0,0.004,0.014,0.0,0.005
-0.008,-0.0,0.021,-0.0,0.0,-0.382,0.232,-0.017,0.046,0.008,0.0,0.0,0.002,-0.897,-0.892,0.0,0.017,0.237,0.006,0.234,0.004,0.376,-0.024,0.005,-0.36,0.235,-0.376,0.003,-0.904,1.958,0.0,0.0,0.01,0.005,-0.003,0.897,0.004,0.004,0.003,0.006,0.007,0.03,0.005,0.022,0.009,0.0,-0.01,1.334,0.003,0.027,2.681,0.006,-0.018,-0.015,-0.005,0.55,-0.001,0.002,0.004,0.43,-0.015,0.001,1.001,0.002,8.052,1.412,1.508,0.005,-0.006,-0.0,0.0,0.001,0.015,0.0,0.003
-0.015,0.0,0.019,0.0,0.0,-0.388,0.23,-0.02,0.054,0.006,0.0,0.0,0.004,-0.894,-0.89,0.0,0.021,0.237,0.007,0.233,0.002,0.383,-0.034,0.009,-0.378,0.233,-0.383,0.004,-0.899,1.965,0.0,0.0,0.007,0.006,-0.008,0.894,0.007,0.004,0.005,0.003,0.005,0.034,0.003,0.021,0.016,0.0,-0.013,1.336,0.002,0.037,2.678,0.001,0.048,0.01,-0.003,0.542,-0.001,0.002,0.002,0.43,-0.023,0.001,1.0,0.002,7.994,1.466,1.51,0.004,-0.009,-0.0,0.0,0.003,0.018,-0.0,0.004
0.015,0.0,-0.088,-0.0,-0.0,-0.403,0.184,-0.05,0.204,0.05,0.002,0.0,0.039,-0.904,-0.887,0.01,0.059,0.24,0.168,0.22,0.016,0.367,-0.097,0.101,-0.3,0.22,-0.366,0.045,-0.933,1.962,0.001,0.0,-0.231,0.032,0.089,0.905,0.092,0.029,0.08,0.033,0.05,0.129,0.029,0.134,0.047,0.001,-0.004,1.344,0.014,0.067,2.68,0.035,0.416,0.071,-0.01,0.485,-0.252,0.017,0.026,0.428,-0.043,0.015,1.001,0.027,8.184,1.35,1.49,0.18,0.013,0.0,0.0,0.022,0.06,0.0,0.035
-0.005,0.0,-0.023,0.0,0.0,-0.283,0.163,-0.037,0.086,0.028,0.0,0.0,0.012,-0.949,-0.943,0.001,0.043,0.188,0.05,0.173,0.003,0.267,-0.079,0.035,-0.254,0.173,-0.267,0.014,-0.955,1.84,0.0,0.0,-0.092,0.022,0.018,0.95,0.028,0.018,0.023,0.009,0.016,0.048,0.008,0.042,0.015,0.0,-0.001,1.4,0.003,0.023,2.818,-0.024,-0.068,-0.039,0.006,0.298,-0.014,0.008,0.004,0.352,-0.023,0.007,1.001,0.01,9.016,0.714,1.389,0.018,0.017,-0.0,0.0,0.002,0.022,-0.0,0.019
-0.062,0.001,0.123,0.0,0.001,-0.358,0.159,0.019,0.216,0.028,0.003,-0.0,0.04,-0.931,-0.907,0.001,0.041,0.23,0.061,0.197,0.015,0.304,-0.033,0.038,-0.256,0.198,-0.302,0.05,-0.955,1.882,0.001,0.0,0.057,0.036,0.006,0.931,0.033,0.028,0.064,0.031,0.044,0.146,0.026,0.129,0.08,0.001,0.094,1.366,0.013,0.177,2.763,0.043,0.024,-0.085,-0.019,0.392,-0.165,0.022,0.023,0.386,-0.164,0.019,1.0,0.03,8.675,0.925,1.43,0.167,-0.053,-0.0,0.0,0.064,0.042,0.0,0.017
-0.027,-0.0,0.036,-0.0,0.0,-0.381,0.201,-0.018,0.091,0.026,0.0,-0.0,0.017,-0.901,-0.898,0.001,0.027,0.231,0.038,0.218,0.003,0.375,-0.053,0.031,-0.361,0.218,-0.375,0.021,-0.905,1.957,0.0,0.0,-0.017,0.021,0.009,0.901,0.026,0.017,0.027,0.006,0.006,0.057,0.005,0.047,0.034,0.0,0.021,1.351,0.003,0.086,2.692,0.024,0.13,-0.034,-0.011,0.475,0.099,0.008,0.005,0.42,-0.062,0.007,1.0,0.011,8.125,1.408,1.494,0.022,-0.013,-0.0,0.0,0.012,0.026,0.0,0.007
-0.015,0.0,0.021,0.0,0.0,-0.394,0.222,-0.002,0.071,0.037,0.001,-0.0,0.023,-0.895,-0.883,0.0,0.028,0.257,0.008,0.241,0.005,0.378,-0.034,0.019,-0.361,0.241,-0.377,0.031,-0.899,1.958,0.0,0.0,-0.005,0.028,0.022,0.895,0.013,0.023,0.037,0.01,0.015,0.042,0.008,0.028,0.035,0.001,0.058,1.326,0.004,0.056,2.682,-0.041,-0.015,-0.038,0.006,0.581,-0.004,0.012,0.007,0.436,-0.091,0.01,1.0,0.022,8.003,1.425,1.513,0.008,-0.067,0.0,0.0,0.012,0.016,-0.0,0.008
-0.083,-0.0,-0.021,0.0,0.0,-0.386,0.232,-0.001,0.129,0.028,0.002,0.0,0.041,-0.896,-0.892,0.0,0.028,0.281,0.026,0.258,0.003,0.364,-0.035,0.021,-0.339,0.259,-0.364,0.045,-0.902,1.941,0.0,0.0,-0.062,0.028,-0.013,0.896,0.017,0.023,0.072,0.016,0.025,0.092,0.015,0.03,0.094,0.001,0.052,1.302,0.003,0.007,2.68,-0.026,0.055,-0.144,-0.005,0.668,0.142,0.018,0.004,0.44,-0.145,0.017,1.001,0.034,8.035,1.324,1.518,0.009,-0.056,-0.0,0.0,0.089,0.025,-0.0,0.008
-0.091,0.001,-0.035,0.0,0.001,-0.333,0.285,-0.018,0.178,0.018,0.006,-0.0,0.065,-0.913,-0.901,0.003,0.022,0.318,0.059,0.306,0.007,0.279,-0.039,0.052,-0.252,0.306,-0.278,0.08,-0.922,1.842,0.001,0.0,-0.134,0.012,0.071,0.913,0.041,0.011,0.08,0.027,0.025,0.131,0.021,0.063,0.121,0.0,-0.001,1.257,0.006,0.065,2.722,-0.097,-0.045,0.011,0.014,0.938,0.1,0.009,0.01,0.423,-0.201,0.007,1.002,0.009,8.329,0.78,1.497,0.04,-0.029,0.0,0.0,0.146,0.038,-0.0,0.005
0.197,0.001,0.14,-0.0,0.001,-0.439,0.177,-0.056,0.394,0.045,0.007,-0.0,0.071,-0.895,-0.877,0.003,0.066,0.303,0.055,0.249,0.012,0.368,-0.122,0.056,-0.257,0.253,-0.364,0.085,-0.915,1.95,0.003,0.0,0.078,0.035,0.314,0.895,0.046,0.029,0.092,0.056,0.071,0.261,0.047,0.15,0.215,0.001,0.005,1.31,0.01,0.259,2.676,0.115,0.125,0.153,0.0,0.639,0.024,0.042,0.015,0.429,0.042,0.037,1.0,0.076,8.019,1.354,1.508,0.226,0.031,-0.0,0.002,0.461,0.105,0.0,0.043
-0.021,-0.0,0.014,-0.0,-0.0,-0.458,0.184,-0.019,0.072,0.008,0.0,0.0,0.011,-0.876,-0.863,0.001,0.021,0.2,0.034,0.196,0.005,0.439,-0.037,0.036,-0.427,0.196,-0.439,0.016,-0.882,2.023,0.0,0.0,-0.029,0.01,0.021,0.876,0.025,0.007,0.016,0.009,0.014,0.041,0.008,0.039,0.026,0.0,0.0,1.373,0.004,0.105,2.641,-0.05,0.16,-0.008,0.029,0.382,0.02,0.004,0.004,0.422,-0.038,0.003,1.0,0.004,7.681,1.925,1.511,0.015,0.004,0.0,0.0,0.007,0.02,0.0,0.005
-0.014,-0.0,0.01,0.0,-0.0,-0.441,0.194,-0.018,0.045,0.005,0.0,-0.0,0.004,-0.878,-0.876,0.0,0.018,0.198,0.013,0.196,0.002,0.436,-0.025,0.011,-0.431,0.196,-0.436,0.005,-0.882,2.022,0.0,0.0,-0.017,0.005,-0.001,0.878,0.008,0.004,0.004,0.003,0.002,0.028,0.002,0.014,0.015,0.0,-0.005,1.374,0.002,0.021,2.644,-0.004,-0.049,-0.002,0.004,0.383,-0.01,0.001,0.002,0.421,-0.022,0.001,1.0,0.001,7.714,1.897,1.509,0.002,-0.002,-0.0,0.0,0.002,0.014,-0.0,0.003
-0.06,0.0,-0.023,0.0,0.0,-0.464,0.179,-0.029,0.166,0.019,0.004,-0.0,0.059,-0.879,-0.868,0.008,0.041,0.209,0.147,0.197,0.006,0.431,-0.11,0.088,-0.397,0.197,-0.431,0.064,-0.887,2.015,0.0,0.0,-0.154,0.029,0.008,0.879,0.079,0.02,0.085,0.017,0.011,0.085,0.012,0.091,0.087,0.001,-0.005,1.372,0.006,0.1,2.649,0.082,-0.224,0.081,-0.034,0.389,-0.018,0.007,0.011,0.422,-0.178,0.005,1.0,0.004,7.73,1.859,1.507,0.082,0.023,0.0,0.0,0.076,0.032,-0.0,0.017
-0.11,0.001,-0.318,0.001,0.001,-0.397,0.194,-0.055,0.482,0.032,0.001,-0.0,0.032,-0.957,-0.901,0.014,0.059,0.214,0.123,0.202,0.027,0.224,-0.095,0.117,-0.074,0.202,-0.199,0.038,-0.984,1.761,0.011,0.001,-0.521,0.021,-0.044,0.958,0.093,0.019,0.044,0.103,0.151,0.32,0.085,0.339,0.116,0.0,-0.03,1.372,0.022,-0.161,2.864,-0.276,-0.062,-0.031,0.091,0.408,0.093,0.006,0.039,0.33,-0.18,0.005,1.006,0.008,9.171,0.503,1.358,1.15,0.033,0.0,0.0,0.134,0.11,-0.0,0.034
-0.032,0.001,-0.05,0.0,-0.0,-0.043,0.183,-0.02,0.118,0.028,0.001,0.0,0.021,-0.988,-0.98,0.007,0.025,0.206,0.096,0.197,0.004,0.02,-0.047,0.081,0.027,0.197,0.006,0.027,-0.993,1.562,0.0,0.0,-0.235,0.016,0.009,0.988,0.067,0.014,0.031,0.019,0.02,0.054,0.014,0.096,0.042,0.0,0.001,1.372,0.003,0.06,2.942,-0.051,-0.273,-0.1,-0.015,0.387,-0.038,0.007,0.005,0.131,-0.077,0.006,1.008,0.009,9.76,0.004,1.2,0.091,-0.026,-0.0,0.0,0.018,0.015,-0.0,0.006
0.089,0.001,0.312,-0.0,0.001,-0.297,0.179,0.008,0.43,0.035,0.001,0.001,0.028,-0.97,-0.933,0.006,0.033,0.212,0.105,0.198,0.021,0.185,-0.059,0.077,0.025,0.198,-0.149,0.033,-0.997,1.723,0.012,0.0,0.181,0.032,0.147,0.97,0.065,0.027,0.037,0.109,0.18,0.343,0.098,0.322,0.095,0.001,0.059,1.371,0.019,0.428,2.882,0.237,-0.411,0.029,-0.011,0.393,-0.029,0.012,0.036,0.314,0.034,0.011,1.008,0.021,9.414,0.343,1.322,1.034,-0.046,-0.0,0.0,0.091,0.084,-0.0,0.011
-0.006,0.0,0.106,-0.0,0.0,-0.416,0.193,-0.01,0.173,0.027,0.001,-0.0,0.034,-0.898,-0.883,0.012,0.03,0.215,0.201,0.205,0.014,0.39,-0.05,0.112,-0.318,0.205,-0.389,0.038,-0.934,1.981,0.001,0.0,-0.03,0.028,0.041,0.898,0.1,0.021,0.069,0.03,0.015,0.088,0.023,0.154,0.038,0.001,0.057,1.362,0.011,0.287,2.676,0.157,0.36,0.062,-0.075,0.42,0.038,0.007,0.009,0.418,-0.06,0.006,0.999,0.011,8.061,1.522,1.491,0.238,0.015,0.0,0.0,0.015,0.034,0.0,0.009
-0.014,0.0,0.019,-0.0,0.0,-0.411,0.212,-0.005,0.044,0.016,0.0,0.0,0.006,-0.889,-0.883,0.0,0.011,0.22,0.01,0.216,0.005,0.403,-0.017,0.016,-0.382,0.216,-0.403,0.008,-0.902,1.988,0.0,0.0,0.003,0.009,0.008,0.889,0.011,0.009,0.007,0.008,0.005,0.024,0.005,0.025,0.016,0.0,0.01,1.353,0.003,0.061,2.665,0.036,0.048,0.021,-0.024,0.466,0.019,0.003,0.004,0.426,-0.023,0.003,1.0,0.006,7.898,1.626,1.508,0.006,-0.007,0.0,0.0,0.003,0.012,0.0,0.001
-0.01,0.0,0.017,-0.0,0.0,-0.417,0.219,-0.016,0.043,0.004,0.0,-0.0,0.003,-0.885,-0.88,0.0,0.016,0.224,0.005,0.222,0.002,0.409,-0.026,0.012,-0.405,0.222,-0.409,0.004,-0.887,1.991,0.0,0.0,-0.003,0.005,-0.003,0.885,0.008,0.004,0.006,0.004,0.003,0.028,0.003,0.021,0.01,0.0,-0.009,1.346,0.002,0.04,2.658,-0.007,0.031,0.018,0.003,0.492,-0.014,0.002,0.002,0.432,-0.014,0.002,1.0,0.003,7.829,1.674,1.516,0.004,0.001,0.0,0.0,0.001,0.015,0.0,0.003
-0.012,0.0,0.02,-0.0,0.0,-0.421,0.219,-0.017,0.048,0.008,0.0,0.0,0.003,-0.883,-0.877,0.0,0.018,0.226,0.007,0.222,0.003,0.414,-0.028,0.005,-0.407,0.222,-0.414,0.004,-0.888,1.998,0.0,0.0,0.011,0.007,-0.003,0.883,0.004,0.006,0.003,0.004,0.005,0.03,0.003,0.02,0.012,0.0,-0.005,1.348,0.002,0.028,2.652,0.01,-0.021,0.035,-0.01,0.491,0.005,0.002,0.002,0.434,-0.017,0.002,1.0,0.003,7.793,1.716,1.519,0.004,-0.011,-0.0,0.0,0.002,0.016,0.0,0.003
-0.012,-0.0,0.015,-0.0,0.0,-0.426,0.217,-0.008,0.04,0.01,0.0,0.0,0.008,-0.88,-0.876,0.0,0.01,0.229,0.007,0.224,0.002,0.419,-0.015,0.007,-0.412,0.224,-0.419,0.015,-0.884,2.002,0.0,0.0,0.006,0.006,0.028,0.88,0.006,0.005,0.004,0.004,0.004,0.026,0.003,0.016,0.019,0.0,0.0,1.344,0.002,0.03,2.646,-0.011,-0.014,-0.019,-0.002,0.502,0.018,0.004,0.004,0.435,-0.034,0.004,1.0,0.009,7.742,1.754,1.523,0.003,-0.025,-0.0,0.0,0.003,0.011,0.0,0.001
-0.016,-0.0,0.008,0.0,0.0,-0.418,0.23,-0.016,0.054,0.023,0.0,0.0,0.016,-0.879,-0.876,0.0,0.026,0.25,0.006,0.236,0.003,0.414,-0.043,0.013,-0.405,0.236,-0.414,0.021,-0.885,1.998,0.0,0.0,-0.019,0.02,0.005,0.879,0.009,0.016,0.017,0.004,0.005,0.033,0.003,0.015,0.026,0.0,0.018,1.333,0.002,0.026,2.644,0.011,-0.056,0.036,0.006,0.558,-0.079,0.005,0.004,0.44,-0.072,0.004,1.0,0.004,7.723,1.712,1.529,0.002,0.014,0.0,0.0,0.007,0.012,-0.0,0.007
0.002,-0.0,0.03,0.0,0.0,-0.437,0.215,-0.022,0.067,0.023,0.0,0.0,0.015,-0.878,-0.872,0.0,0.027,0.237,0.029,0.229,0.005,0.42,-0.049,0.018,-0.404,0.229,-0.42,0.017,-0.886,2.002,0.0,0.0,0.002,0.016,0.027,0.878,0.016,0.014,0.024,0.011,0.018,0.048,0.009,0.035,0.017,0.0,0.002,1.337,0.004,0.057,2.641,-0.008,-0.107,0.025,-0.007,0.526,-0.017,0.008,0.008,0.439,-0.026,0.006,1.0,0.009,7.716,1.765,1.528,0.012,-0.031,-0.0,0.0,0.003,0.02,-0.0,0.007
-0.02,0.0,0.009,0.0,-0.0,-0.448,0.217,-0.013,0.047,0.008,0.0,-0.0,0.006,-0.871,-0.862,0.0,0.014,0.229,0.029,0.223,0.004,0.435,-0.02,0.015,-0.427,0.223,-0.435,0.008,-0.875,2.019,0.0,0.0,-0.007,0.005,-0.001,0.872,0.014,0.004,0.007,0.006,0.006,0.032,0.005,0.018,0.022,0.0,-0.007,1.346,0.003,0.033,2.633,0.008,0.063,0.015,-0.009,0.497,0.027,0.003,0.002,0.438,-0.03,0.002,0.999,0.002,7.595,1.892,1.529,0.003,-0.006,0.0,0.0,0.005,0.012,-0.0,0.002
-0.015,0.0,0.008,0.0,0.0,-0.431,0.23,-0.009,0.032,0.004,0.0,0.0,0.002,-0.874,-0.87,0.0,0.01,0.236,0.002,0.232,0.003,0.425,-0.013,0.005,-0.417,0.232,-0.425,0.003,-0.879,2.01,0.0,0.0,0.002,0.003,-0.008,0.875,0.004,0.002,0.003,0.004,0.004,0.02,0.003,0.009,0.015,0.0,-0.004,1.336,0.002,0.021,2.635,0.002,0.003,-0.004,-0.003,0.54,0.01,0.002,0.004,0.442,-0.019,0.002,1.0,0.004,7.648,1.809,1.532,0.001,-0.005,0.0,0.0,0.002,0.01,-0.0,0.001
-0.013,0.0,0.016,-0.0,0.0,-0.429,0.237,-0.004,0.036,0.009,0.0,0.0,0.004,-0.873,-0.869,0.0,0.008,0.251,0.004,0.241,0.002,0.423,-0.011,0.006,-0.419,0.241,-0.423,0.005,-0.876,2.008,0.0,0.0,0.007,0.007,-0.004,0.873,0.004,0.006,0.007,0.003,0.006,0.022,0.003,0.017,0.014,0.0,0.008,1.328,0.002,0.031,2.634,-0.01,-0.012,0.021,0.0,0.58,0.022,0.004,0.002,0.446,-0.02,0.003,1.0,0.004,7.621,1.791,1.537,0.003,0.006,0.0,0.0,0.002,0.012,0.0,0.001
-0.009,-0.0,0.024,0.0,0.0,-0.438,0.239,-0.022,0.056,0.008,0.0,-0.0,0.002,-0.868,-0.865,0.0,0.024,0.254,0.013,0.246,0.002,0.43,-0.031,0.01,-0.424,0.246,-0.43,0.003,-0.872,2.013,0.0,0.0,0.012,0.009,-0.005,0.869,0.008,0.007,0.004,0.006,0.012,0.037,0.005,0.026,0.009,0.0,0.002,1.322,0.002,0.044,2.624,0.004,-0.061,0.042,0.004,0.606,-0.007,0.005,0.003,0.452,-0.014,0.004,1.0,0.008,7.543,1.848,1.545,0.007,0.008,0.0,0.0,0.001,0.016,0.0,0.006
