g_x_mean,accl_y,g_y_mean,jerk_z,accl_x,ag_z_min,ag_y_min,g_z_mean,SMA_g,IQR_g_z,VAR_g_x,accl_z,MAD_g_x,ag_x_mean,ag_x_max,VAR_g_y,RMS_g_z,ag_y_max,IQR_g_y,ag_y_mean,STD_ag_x,RMS_ag_z,g_z_min,STD_g_y,ag_z_max,RMS_ag_y,ag_z_mean,STD_g_x,ag_x_min,th_z,VAR_ag_z,VAR_ag_x,g_y_min,STD_g_z,g_x_max,RMS_ag_x,MAD_g_y,MAD_g_z,IQR_g_x,STD_ag_z,IQR_ag_z,SVM_g,MAD_ag_z,RMS_g_y,RMS_g_x,VAR_g_z,g_z_max,th_y,MAD_ag_x,g_y_max,th_x,FFT_ag_z,FFT_g_y,FFT_g_z,FFT_ag_x,E_ag_y,FFT_g_x,STD_ag_y,IQR_ag_x,CM_a,g_x_min,MAD_ag_y,SVM_a,IQR_ag_y,E_ag_x,E_ag_z,SMA_a,E_g_y,FFT_ag_y,jerk_y,VAR_ag_y,E_g_x,CM_g,jerk_x,E_g_z
-0.014,0.0,-0.008,-0.0,0.0,-0.386,0.233,-0.021,0.059,0.008,0.0,-0.0,0.005,-0.901,-0.893,0.001,0.022,0.243,0.044,0.238,0.006,0.371,-0.029,0.028,-0.357,0.238,-0.371,0.006,-0.909,1.953,0.0,0.0,-0.06,0.005,-0.009,0.901,0.025,0.004,0.008,0.01,0.018,0.04,0.009,0.03,0.015,0.0,-0.011,1.332,0.005,0.034,2.686,-0.023,0.17,0.003,0.022,0.565,-0.027,0.003,0.011,0.43,-0.028,0.003,1.003,0.005,8.109,1.38,1.509,0.009,0.011,0.0,0.0,0.002,0.018,0.0,0.005
-0.016,0.0,0.014,0.0,0.0,-0.365,0.225,-0.023,0.054,0.015,0.0,-0.0,0.007,-0.908,-0.902,0.0,0.025,0.238,0.014,0.231,0.004,0.359,-0.039,0.009,-0.35,0.231,-0.358,0.008,-0.917,1.937,0.0,0.0,-0.002,0.011,-0.004,0.908,0.008,0.009,0.014,0.005,0.008,0.036,0.004,0.017,0.018,0.0,-0.003,1.339,0.003,0.026,2.704,-0.027,0.004,0.012,0.016,0.532,-0.024,0.004,0.004,0.422,-0.027,0.003,1.003,0.005,8.239,1.285,1.497,0.003,0.015,0.0,0.0,0.003,0.016,-0.0,0.006
-0.012,-0.0,0.027,-0.0,-0.0,-0.375,0.225,-0.024,0.063,0.019,0.0,-0.0,0.01,-0.904,-0.897,0.0,0.025,0.235,0.02,0.228,0.004,0.366,-0.037,0.011,-0.352,0.228,-0.366,0.011,-0.911,1.946,0.0,0.0,0.009,0.009,0.005,0.905,0.009,0.009,0.018,0.007,0.011,0.041,0.006,0.029,0.016,0.0,-0.013,1.342,0.003,0.039,2.696,0.008,-0.024,0.034,0.0,0.52,0.044,0.003,0.004,0.423,-0.029,0.002,1.002,0.004,8.181,1.337,1.498,0.008,0.007,0.0,0.0,0.003,0.018,0.0,0.006
-0.014,0.0,0.017,-0.0,-0.0,-0.384,0.219,-0.017,0.048,0.004,0.0,-0.0,0.004,-0.903,-0.898,0.0,0.017,0.226,0.008,0.223,0.004,0.376,-0.026,0.01,-0.363,0.223,-0.376,0.004,-0.913,1.957,0.0,0.0,0.0,0.004,-0.005,0.903,0.007,0.003,0.006,0.006,0.006,0.028,0.004,0.02,0.015,0.0,-0.009,1.346,0.003,0.038,2.69,0.029,0.009,-0.003,-0.019,0.496,0.014,0.002,0.003,0.423,-0.02,0.001,1.002,0.002,8.152,1.412,1.501,0.004,-0.006,-0.0,0.0,0.002,0.014,-0.0,0.003
-0.018,0.0,0.016,-0.0,-0.0,-0.384,0.221,-0.019,0.053,0.005,0.0,-0.0,0.003,-0.901,-0.895,0.0,0.019,0.226,0.003,0.223,0.004,0.378,-0.023,0.006,-0.371,0.223,-0.378,0.005,-0.907,1.958,0.0,0.0,0.009,0.003,-0.011,0.901,0.004,0.003,0.003,0.004,0.002,0.03,0.003,0.017,0.018,0.0,-0.013,1.346,0.003,0.033,2.688,0.006,0.012,-0.001,-0.004,0.499,-0.01,0.001,0.004,0.424,-0.029,0.001,1.002,0.001,8.111,1.427,1.502,0.003,-0.005,0.0,0.0,0.003,0.016,0.0,0.004
-0.015,-0.0,0.012,-0.0,0.0,-0.393,0.22,-0.019,0.047,0.012,0.0,0.0,0.007,-0.9,-0.893,0.0,0.021,0.229,0.014,0.226,0.003,0.38,-0.039,0.011,-0.375,0.226,-0.38,0.008,-0.904,1.957,0.0,0.0,-0.006,0.01,-0.001,0.9,0.009,0.008,0.012,0.006,0.004,0.03,0.004,0.016,0.017,0.0,0.0,1.342,0.002,0.031,2.687,0.021,0.012,0.049,-0.013,0.509,0.025,0.003,0.002,0.426,-0.026,0.003,1.002,0.004,8.093,1.443,1.505,0.003,0.015,0.0,0.0,0.003,0.013,0.0,0.005
-0.012,0.0,0.022,-0.0,-0.0,-0.395,0.222,-0.015,0.05,0.005,0.0,-0.0,0.006,-0.898,-0.888,0.0,0.015,0.23,0.014,0.225,0.004,0.384,-0.022,0.01,-0.376,0.225,-0.384,0.007,-0.903,1.964,0.0,0.0,0.011,0.003,0.005,0.898,0.008,0.003,0.009,0.005,0.003,0.03,0.003,0.024,0.014,0.0,-0.011,1.344,0.003,0.043,2.683,0.005,-0.011,-0.01,0.001,0.507,0.005,0.002,0.004,0.426,-0.019,0.002,1.003,0.003,8.066,1.472,1.507,0.006,0.001,-0.0,0.0,0.002,0.015,0.0,0.002
-0.009,0.0,0.008,0.0,0.0,-0.395,0.222,-0.015,0.042,0.006,0.0,0.0,0.007,-0.896,-0.89,0.0,0.017,0.229,0.012,0.226,0.004,0.387,-0.023,0.012,-0.378,0.226,-0.387,0.009,-0.904,1.967,0.0,0.0,-0.016,0.008,0.015,0.896,0.01,0.006,0.006,0.004,0.005,0.027,0.003,0.014,0.013,0.0,0.008,1.344,0.003,0.022,2.677,0.004,-0.021,0.004,-0.002,0.51,0.006,0.002,0.006,0.428,-0.017,0.002,1.002,0.003,8.032,1.498,1.509,0.002,0.002,-0.0,0.0,0.002,0.014,-0.0,0.003
-0.019,0.0,0.016,0.0,-0.0,-0.393,0.222,-0.02,0.055,0.007,0.0,-0.0,0.006,-0.897,-0.891,0.0,0.021,0.232,0.01,0.226,0.004,0.384,-0.027,0.007,-0.377,0.226,-0.384,0.008,-0.903,1.964,0.0,0.0,0.001,0.005,-0.012,0.897,0.006,0.004,0.008,0.005,0.006,0.032,0.004,0.018,0.021,0.0,-0.01,1.343,0.003,0.025,2.681,0.007,0.007,-0.006,-0.004,0.511,-0.038,0.003,0.003,0.427,-0.04,0.002,1.001,0.003,8.041,1.478,1.507,0.003,-0.002,0.0,0.0,0.004,0.018,0.0,0.004
-0.013,-0.0,0.017,0.0,0.0,-0.396,0.22,-0.021,0.051,0.011,0.0,0.0,0.007,-0.897,-0.892,0.0,0.022,0.23,0.006,0.226,0.002,0.387,-0.031,0.006,-0.379,0.226,-0.387,0.007,-0.9,1.967,0.0,0.0,0.009,0.006,0.0,0.897,0.005,0.006,0.012,0.004,0.002,0.034,0.002,0.018,0.015,0.0,-0.012,1.342,0.002,0.032,2.678,0.003,0.009,0.019,-0.002,0.51,-0.028,0.003,0.003,0.428,-0.021,0.002,1.003,0.003,8.046,1.495,1.509,0.003,-0.006,0.0,0.0,0.002,0.016,0.0,0.005
