t (ms),a_x,a_y,a_z,g_x,g_y,g_z
789148,-6.206,1.360,-7.204,0.011,0.520,0.023
789251,-5.839,1.204,-7.922,0.018,0.576,0.039
789354,-5.397,1.633,-7.968,0.051,0.324,-0.008
789457,-5.224,1.195,-7.841,0.056,0.296,-0.003
789560,-4.803,1.245,-8.322,0.053,0.326,0.026
789663,-4.554,1.358,-8.511,-0.008,0.103,-0.076
789766,-4.793,1.039,-8.193,-0.024,0.055,-0.032
789869,-4.662,1.391,-8.418,-0.015,-0.006,-0.042
789972,-4.748,1.106,-8.236,0.095,0.018,-0.009
790075,-4.635,1.082,-8.313,-0.038,0.001,-0.061
790178,-4.714,1.178,-8.262,-0.020,0.033,-0.019
790281,-4.642,1.171,-8.384,0.012,0.019,-0.020
790385,-4.678,1.125,-8.310,0.001,0.003,-0.035
790488,-4.647,1.183,-8.389,-0.001,-0.007,-0.030
790591,-4.695,1.053,-8.308,0.005,-0.044,-0.009
790695,-4.755,1.132,-8.396,-0.043,-0.085,-0.021
790798,-4.827,1.415,-8.523,-0.039,-0.285,0.039
790902,-5.210,1.439,-8.083,-0.037,-0.571,-0.139
791005,-5.995,0.752,-7.199,-0.068,-0.616,-0.205
791108,-6.294,1.065,-7.247,-0.042,-0.483,-0.082
791212,-6.718,1.125,-6.603,0.072,-0.304,-0.104
791316,-6.601,1.063,-6.472,-0.029,0.047,0.004
791419,-6.637,0.989,-6.845,-0.039,0.236,0.016
791523,-6.421,1.264,-7.072,0.071,0.426,-0.027
791627,-5.964,0.826,-7.276,0.113,0.646,-0.019
791731,-5.432,0.651,-8.373,-0.091,0.445,0.027
791834,-5.248,1.535,-8.018,-0.062,0.218,0.034
791938,-5.066,1.413,-8.073,0.139,0.185,-0.026
792041,-4.839,0.886,-8.279,0.054,0.108,-0.014
792145,-4.903,0.943,-8.143,-0.053,0.100,-0.013
792249,-4.820,1.140,-8.377,-0.151,0.097,-0.006
792353,-4.616,1.228,-8.198,0.141,0.017,0.003
792457,-4.796,0.850,-8.334,0.026,-0.029,-0.001
792561,-4.793,1.087,-8.217,-0.007,0.009,-0.002
792664,-4.820,1.082,-8.250,0.013,0.033,-0.010
