SVM_a,SVM_g,CM_a,CM_g,jerk_x,jerk_y,jerk_z,accl_x,accl_y,accl_z,th_x,th_y,th_z,ag_x_mean,ag_x_max,ag_x_min,ag_y_mean,ag_y_max,ag_y_min,ag_z_mean,ag_z_max,ag_z_min,g_x_mean,g_x_max,g_x_min,g_y_mean,g_y_max,g_y_min,g_z_mean,g_z_max,g_z_min,SMA_a,SMA_g,RMS_ag_x,RMS_ag_y,RMS_ag_z,RMS_g_x,RMS_g_y,RMS_g_z,MAD_ag_x,MAD_ag_y,MAD_ag_z,MAD_g_x,MAD_g_y,MAD_g_z,VAR_ag_x,VAR_ag_y,VAR_ag_z,VAR_g_x,VAR_g_y,VAR_g_z,STD_ag_x,STD_ag_y,STD_ag_z,STD_g_x,STD_g_y,STD_g_z,IQR_ag_x,IQR_ag_y,IQR_ag_z,IQR_g_x,IQR_g_y,IQR_g_z,FFT_ag_x,FFT_ag_y,FFT_ag_z,FFT_g_x,FFT_g_y,FFT_g_z,E_ag_x,E_ag_y,E_ag_z,E_g_x,E_g_y,E_g_z
1.003,0.04,0.43,0.018,0.0,0.0,-0.0,0.0,0.0,-0.0,2.686,1.332,1.953,-0.901,-0.893,-0.909,0.238,0.243,0.233,-0.371,-0.357,-0.386,-0.014,-0.009,-0.028,-0.008,0.034,-0.06,-0.021,-0.011,-0.029,1.509,0.059,0.901,0.238,0.371,0.015,0.03,0.022,0.005,0.003,0.009,0.005,0.025,0.004,0.0,0.0,0.0,0.0,0.001,0.0,0.006,0.003,0.01,0.006,0.028,0.005,0.011,0.005,0.018,0.008,0.044,0.008,0.022,0.011,-0.023,-0.027,0.17,0.003,8.109,0.565,1.38,0.002,0.009,0.005
1.003,0.036,0.422,0.016,-0.0,0.0,0.0,0.0,0.0,-0.0,2.704,1.339,1.937,-0.908,-0.902,-0.917,0.231,0.238,0.225,-0.358,-0.35,-0.365,-0.016,-0.004,-0.027,0.014,0.026,-0.002,-0.023,-0.003,-0.039,1.497,0.054,0.908,0.231,0.359,0.018,0.017,0.025,0.003,0.003,0.004,0.007,0.008,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.004,0.005,0.008,0.009,0.011,0.004,0.005,0.008,0.014,0.014,0.015,0.016,0.015,-0.027,-0.024,0.004,0.012,8.239,0.532,1.285,0.003,0.003,0.006
1.002,0.041,0.423,0.018,0.0,0.0,-0.0,-0.0,-0.0,-0.0,2.696,1.342,1.946,-0.904,-0.897,-0.911,0.228,0.235,0.225,-0.366,-0.352,-0.375,-0.012,0.005,-0.029,0.027,0.039,0.009,-0.024,-0.013,-0.037,1.498,0.063,0.905,0.228,0.366,0.016,0.029,0.025,0.003,0.002,0.006,0.01,0.009,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.003,0.007,0.011,0.011,0.009,0.004,0.004,0.011,0.018,0.02,0.019,0.0,0.007,0.008,0.044,-0.024,0.034,8.181,0.52,1.337,0.003,0.008,0.006
1.002,0.028,0.423,0.014,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,2.69,1.346,1.957,-0.903,-0.898,-0.913,0.223,0.226,0.219,-0.376,-0.363,-0.384,-0.014,-0.005,-0.02,0.017,0.038,0.0,-0.017,-0.009,-0.026,1.501,0.048,0.903,0.223,0.376,0.015,0.02,0.017,0.003,0.001,0.004,0.004,0.007,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.002,0.006,0.004,0.01,0.004,0.003,0.002,0.006,0.006,0.008,0.004,-0.019,-0.006,0.029,0.014,0.009,-0.003,8.152,0.496,1.412,0.002,0.004,0.003
1.002,0.03,0.424,0.016,0.0,0.0,-0.0,-0.0,0.0,-0.0,2.688,1.346,1.958,-0.901,-0.895,-0.907,0.223,0.226,0.221,-0.378,-0.371,-0.384,-0.018,-0.011,-0.029,0.016,0.033,0.009,-0.019,-0.013,-0.023,1.502,0.053,0.901,0.223,0.378,0.018,0.017,0.019,0.003,0.001,0.003,0.003,0.004,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.001,0.004,0.005,0.006,0.003,0.004,0.001,0.002,0.003,0.003,0.005,-0.004,-0.005,0.006,-0.01,0.012,-0.001,8.111,0.499,1.427,0.003,0.003,0.004
1.002,0.03,0.426,0.013,0.0,0.0,-0.0,0.0,-0.0,0.0,2.687,1.342,1.957,-0.9,-0.893,-0.904,0.226,0.229,0.22,-0.38,-0.375,-0.393,-0.015,-0.001,-0.026,0.012,0.031,-0.006,-0.019,0.0,-0.039,1.505,0.047,0.9,0.226,0.38,0.017,0.016,0.021,0.002,0.003,0.004,0.007,0.009,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.003,0.006,0.008,0.011,0.01,0.002,0.004,0.004,0.012,0.014,0.012,-0.013,0.015,0.021,0.025,0.012,0.049,8.093,0.509,1.443,0.003,0.003,0.005
1.003,0.03,0.426,0.015,0.0,-0.0,-0.0,-0.0,0.0,-0.0,2.683,1.344,1.964,-0.898,-0.888,-0.903,0.225,0.23,0.222,-0.384,-0.376,-0.395,-0.012,0.005,-0.019,0.022,0.043,0.011,-0.015,-0.011,-0.022,1.507,0.05,0.898,0.225,0.384,0.014,0.024,0.015,0.003,0.002,0.003,0.006,0.008,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.002,0.005,0.007,0.01,0.003,0.004,0.003,0.003,0.009,0.014,0.005,0.001,0.001,0.005,0.005,-0.011,-0.01,8.066,0.507,1.472,0.002,0.006,0.002
1.002,0.027,0.428,0.014,-0.0,-0.0,0.0,0.0,0.0,0.0,2.677,1.344,1.967,-0.896,-0.89,-0.904,0.226,0.229,0.222,-0.387,-0.378,-0.395,-0.009,0.015,-0.017,0.008,0.022,-0.016,-0.015,0.008,-0.023,1.509,0.042,0.896,0.226,0.387,0.013,0.014,0.017,0.003,0.002,0.003,0.007,0.01,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.002,0.004,0.009,0.012,0.008,0.006,0.003,0.005,0.006,0.012,0.006,-0.002,0.002,0.004,0.006,-0.021,0.004,8.032,0.51,1.498,0.002,0.002,0.003
1.001,0.032,0.427,0.018,0.0,0.0,0.0,-0.0,0.0,-0.0,2.681,1.343,1.964,-0.897,-0.891,-0.903,0.226,0.232,0.222,-0.384,-0.377,-0.393,-0.019,-0.012,-0.04,0.016,0.025,0.001,-0.02,-0.01,-0.027,1.507,0.055,0.897,0.226,0.384,0.021,0.018,0.021,0.003,0.002,0.004,0.006,0.006,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.003,0.005,0.008,0.007,0.005,0.003,0.003,0.006,0.008,0.01,0.007,-0.004,-0.002,0.007,-0.038,0.007,-0.006,8.041,0.511,1.478,0.004,0.003,0.004
1.003,0.034,0.428,0.016,0.0,0.0,0.0,0.0,-0.0,0.0,2.678,1.342,1.967,-0.897,-0.892,-0.9,0.226,0.23,0.22,-0.387,-0.379,-0.396,-0.013,0.0,-0.021,0.017,0.032,0.009,-0.021,-0.012,-0.031,1.509,0.051,0.897,0.226,0.387,0.015,0.018,0.022,0.002,0.002,0.002,0.007,0.005,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.003,0.004,0.007,0.006,0.006,0.003,0.003,0.002,0.012,0.006,0.011,-0.002,-0.006,0.003,-0.028,0.009,0.019,8.046,0.51,1.495,0.002,0.003,0.005
