a_x,a_y,a_z,g_x,g_y,g_z
-8.698,2.478,-3.9,0.016,-0.023,0.014
-8.753,2.392,-3.816,-0.032,-0.032,-0.002
-8.693,2.5,-3.867,-0.035,-0.02,-0.001
-8.76,2.476,-3.733,-0.019,-0.026,0.005
-8.717,2.504,-3.826,-0.006,-0.019,0.005
-8.799,2.502,-3.661,0.003,-0.007,0.009
-8.83,2.528,-3.594,-0.005,0.035,0.002
-8.732,2.614,-3.749,-0.016,0.044,-0.025
-8.715,2.55,-3.706,0.009,0.02,-0.01
-8.669,2.512,-3.826,-0.007,0.03,0.002
-8.674,2.5,-3.847,-0.064,0.017,-0.022
-8.744,2.535,-3.771,-0.079,0.025,-0.031
-8.636,2.523,-3.85,-0.055,0.018,0.026
-8.681,2.715,-3.778,-0.055,-0.011,0.034
-8.696,3.026,-3.567,-0.045,0.026,-0.032
-8.672,2.77,-3.716,0.022,0.02,-0.05
-8.677,2.543,-3.788,0.02,0.01,-0.006
-8.717,2.67,-3.725,-0.033,0.037,-0.044
-8.66,2.576,-3.85,0.051,0.032,-0.073
-8.696,2.377,-3.9,0.0,0.013,-0.017
-8.696,2.543,-3.833,-0.026,0.015,-0.006
-8.712,2.583,-3.747,-0.015,0.017,-0.004
-8.686,2.61,-3.807,-0.004,0.027,-0.004
-8.643,2.567,-3.843,-0.003,0.0,-0.002
-8.679,2.588,-3.78,-0.009,0.004,0.01
-8.691,2.605,-3.821,-0.026,0.003,-0.008
-8.672,2.686,-3.761,-0.024,0.003,-0.005
-8.696,2.679,-3.737,-0.012,0.002,-0.008
-8.703,2.65,-3.74,-0.021,0.013,-0.009
-8.696,2.679,-3.737,-0.021,0.017,-0.019
-8.665,2.682,-3.797,-0.011,0.039,-0.02
-8.667,2.698,-3.792,-0.024,0.014,-0.021
-8.681,2.689,-3.78,-0.01,0.029,-0.02
-8.648,2.631,-3.814,-0.003,0.017,-0.016
-8.645,2.607,-3.876,-0.02,0.01,-0.017
-8.693,2.581,-3.778,-0.06,0.025,0.0
-8.655,2.861,-3.742,-0.057,0.019,-0.004
-8.677,2.837,-3.711,0.0,0.008,-0.027
-8.61,2.701,-3.845,-0.007,0.017,-0.038
-8.669,2.646,-3.792,-0.02,0.007,-0.032
-8.703,2.641,-3.773,0.005,0.01,-0.012
-8.693,2.605,-3.766,0.005,0.008,0.005
-8.684,2.662,-3.795,-0.026,0.023,-0.007
-8.583,2.775,-3.867,-0.003,0.011,-0.009
-8.665,2.705,-3.771,0.006,-0.028,0.012
-8.665,2.806,-3.687,0.01,0.019,-0.011
-8.54,2.947,-3.773,0.071,-0.001,-0.06
-8.772,2.538,-3.804,0.038,0.067,-0.091
-8.586,2.523,-3.903,-0.017,0.062,-0.048
-8.686,2.579,-3.855,-0.035,0.055,-0.001
-8.65,2.557,-3.924,0.026,0.012,-0.056
-8.586,2.392,-4.065,0.068,0.101,-0.023
-8.449,2.564,-4.195,0.04,0.033,-0.026
-8.538,2.418,-4.111,0.034,-0.037,-0.053
-8.799,2.44,-3.859,0.018,-0.074,-0.066
-8.703,2.277,-3.934,0.004,-0.008,-0.031
-8.586,2.282,-4.025,0.071,0.035,-0.02
-8.686,2.174,-4.13,0.006,0.042,-0.02
-8.679,2.346,-3.97,-0.099,-0.015,-0.028
-8.741,2.284,-3.912,-0.074,-0.008,-0.002
-8.665,2.365,-3.967,-0.07,-0.006,0.008
-8.648,2.504,-3.915,-0.027,-0.021,-0.005
-8.756,2.454,-3.792,-0.017,-0.028,-0.008
-8.686,2.488,-3.833,-0.013,-0.013,-0.017
-8.684,2.437,-3.859,-0.037,0.002,-0.028
-8.708,2.444,-3.84,-0.033,-0.007,-0.021
-8.777,2.428,-3.757,-0.021,-0.026,-0.023
-8.727,2.413,-3.814,-0.022,-0.019,-0.028
-8.794,2.406,-3.67,-0.03,-0.027,-0.043
