t (ms),a_x,a_y,a_z,g_x,g_y,g_z
547571,-8.080,0.936,-5.188,-0.006,0.010,-0.023
547674,-8.073,0.948,-5.224,-0.002,0.014,-0.025
547777,-8.090,0.948,-5.195,0.001,0.016,-0.023
547880,-8.097,0.972,-5.169,-0.001,0.013,-0.022
547983,-8.100,0.970,-5.191,-0.002,0.010,-0.023
548086,-8.092,0.967,-5.183,-0.007,0.013,-0.026
548189,-8.090,0.948,-5.188,-0.004,0.013,-0.028
548292,-8.092,0.970,-5.181,-0.003,0.015,-0.023
548395,-8.107,0.943,-5.155,-0.001,0.017,-0.022
548498,-8.068,0.960,-5.243,-0.006,0.021,-0.023
548601,-8.083,0.972,-5.193,-0.004,0.016,-0.022
548704,-8.068,0.982,-5.195,0.001,0.013,-0.023
548807,-8.064,0.979,-5.217,0.001,0.010,-0.024
548910,-8.083,0.982,-5.191,-0.001,0.012,-0.025
549013,-8.073,0.974,-5.210,-0.004,0.014,-0.026
549116,-8.085,0.979,-5.222,-0.004,0.013,-0.025
549219,-8.078,0.974,-5.210,-0.002,0.013,-0.023
549322,-8.080,0.977,-5.203,-0.002,0.015,-0.023
549425,-8.076,0.979,-5.207,-0.001,0.016,-0.024
549528,-8.066,0.996,-5.248,-0.003,0.019,-0.024
549631,-8.073,0.982,-5.217,-0.007,0.015,-0.026
549734,-8.047,1.003,-5.229,-0.001,0.014,-0.025
549837,-8.059,0.965,-5.234,-0.001,0.013,-0.026
549940,-8.068,1.001,-5.248,-0.007,0.015,-0.025
550043,-8.059,1.001,-5.236,-0.003,0.014,-0.024
550146,-8.061,0.996,-5.234,-0.004,0.013,-0.024
550249,-8.037,0.989,-5.236,-0.001,0.014,-0.023
550352,-8.056,1.003,-5.239,-0.002,0.014,-0.024
550455,-8.064,0.982,-5.246,0.002,0.018,-0.018
550558,-8.037,1.018,-5.289,-0.002,0.018,-0.023
550661,-8.045,1.015,-5.239,0.002,0.013,-0.023
550764,-8.040,1.037,-5.258,0.001,0.014,-0.025
550867,-8.042,0.991,-5.255,-0.006,0.013,-0.029
550970,-8.035,1.025,-5.262,-0.010,0.013,-0.029
551073,-8.021,1.001,-5.262,-0.007,0.015,-0.027
551176,-8.025,0.991,-5.286,-0.006,0.018,-0.022
551279,-8.042,1.003,-5.250,-0.009,0.014,-0.024
551382,-8.021,1.053,-5.260,-0.007,0.022,-0.026
551485,-8.049,1.037,-5.253,-0.011,0.031,-0.023
551588,-7.977,1.041,-5.308,-0.010,0.015,-0.030
551691,-7.989,1.034,-5.315,-0.007,0.020,-0.022
551794,-8.001,1.053,-5.291,-0.006,0.013,-0.023
551897,-8.030,1.049,-5.279,-0.010,0.013,-0.029
552001,-7.999,1.046,-5.298,-0.008,0.017,-0.025
552104,-7.994,1.044,-5.298,-0.005,0.014,-0.024
552207,-8.009,1.053,-5.306,-0.007,0.013,-0.026
552310,-8.006,1.039,-5.272,-0.000,0.013,-0.026
552413,-7.970,1.056,-5.344,-0.003,0.019,-0.023
552517,-7.992,1.058,-5.303,-0.002,0.010,-0.022
552621,-7.987,1.063,-5.306,0.004,0.010,-0.023
552724,-8.001,1.037,-5.322,0.001,0.011,-0.025
552827,-7.989,1.063,-5.313,0.009,0.008,-0.022
552931,-7.985,1.063,-5.306,0.001,0.011,-0.026
553034,-8.004,1.051,-5.289,-0.009,0.011,-0.027
553138,-8.009,1.049,-5.325,-0.004,0.020,-0.023
553242,-7.994,1.058,-5.308,-0.005,0.016,-0.023
