Feature_Index,ReliefF_Weight
1,0.053689
7,0.047155
3,0.031243
66,0.030508
32,0.028324
29,0.022359
54,0.022159
42,0.021242
68,0.019749
69,0.019376
9,0.019265
33,0.017264
30,0.016911
48,0.016692
60,0.016031
4,0.015898
50,0.015497
56,0.015184
74,0.014843
38,0.014659
44,0.014416
36,0.013894
13,0.013171
10,0.012712
57,0.012702
72,0.012617
45,0.012052
63,0.011647
39,0.011308
31,0.011290
21,0.010921
20,0.010845
70,0.010684
28,0.010379
11,0.009864
51,0.009831
62,0.009823
22,0.009800
52,0.009461
64,0.009384
12,0.009131
34,0.009078
35,0.008620
75,0.008487
15,0.008050
40,0.007940
26,0.007873
17,0.007628
65,0.007260
27,0.007247
14,0.007199
18,0.007151
58,0.006635
71,0.006560
2,0.005992
59,0.005891
46,0.005757
61,0.005645
19,0.005329
16,0.005252
41,0.005151
53,0.005120
43,0.004689
55,0.004666
73,0.004647
37,0.004611
49,0.004424
47,0.004296
8,0.004200
67,0.003994
23,0.003841
24,0.003372
25,0.003067
6,0.001229
5,0.000822
