t (ms),a_x,a_y,a_z,g_x,g_y,g_z
30470,-5.808,2.179,-7.551,-0.012,0.012,-0.015
30573,-5.806,2.186,-7.606,-0.015,0.016,-0.016
30675,-5.784,2.215,-7.578,-0.012,0.015,-0.016
30778,-5.796,2.181,-7.58,-0.012,0.014,-0.016
30881,-5.782,2.2,-7.594,-0.012,0.015,-0.017
30984,-5.806,2.191,-7.599,-0.014,0.015,-0.013
31087,-5.78,2.205,-7.594,-0.01,0.013,-0.014
31190,-5.78,2.195,-7.587,-0.012,0.013,-0.015
31293,-5.765,2.195,-7.623,-0.015,0.021,-0.014
31396,-5.787,2.205,-7.587,-0.013,0.014,-0.01
31499,-5.789,2.21,-7.597,-0.011,0.015,-0.013
31602,-5.78,2.203,-7.606,-0.013,0.014,-0.02
31705,-5.763,2.217,-7.602,-0.015,0.014,-0.02
31808,-5.782,2.191,-7.604,-0.013,0.013,-0.018
31911,-5.753,2.2,-7.597,-0.014,0.014,-0.017
32014,-5.775,2.207,-7.606,-0.013,0.015,-0.018
32116,-5.76,2.217,-7.609,-0.015,0.011,-0.019
32219,-5.768,2.229,-7.609,-0.009,0.018,-0.014
32321,-5.748,2.198,-7.623,-0.015,0.012,-0.019
32424,-5.756,2.212,-7.614,-0.013,0.014,-0.018
32527,-5.756,2.21,-7.614,-0.015,0.013,-0.018
32630,-5.76,2.2,-7.621,-0.014,0.012,-0.017
32733,-5.746,2.215,-7.609,-0.014,0.013,-0.018
32836,-5.77,2.203,-7.621,-0.015,0.016,-0.016
32939,-5.775,2.205,-7.616,-0.012,0.016,-0.016
33042,-5.756,2.2,-7.611,-0.015,0.015,-0.018
33145,-5.76,2.224,-7.616,-0.015,0.018,-0.018
33248,-5.782,2.217,-7.59,-0.011,0.02,-0.017
33351,-5.72,2.193,-7.647,-0.015,0.02,-0.02
33454,-5.758,2.193,-7.623,-0.013,0.015,-0.018
33557,-5.739,2.207,-7.621,-0.012,0.012,-0.017
33660,-5.748,2.203,-7.621,-0.013,0.012,-0.017
33763,-5.732,2.191,-7.657,-0.013,0.014,-0.019
33866,-5.746,2.212,-7.621,-0.011,0.014,-0.017
33969,-5.751,2.198,-7.606,-0.011,0.013,-0.016
34072,-5.753,2.195,-7.628,-0.012,0.013,-0.016
34174,-5.748,2.215,-7.63,-0.011,0.015,-0.015
34277,-5.746,2.2,-7.606,-0.015,0.016,-0.016
34379,-5.705,2.198,-7.657,-0.017,0.023,-0.02
34482,-5.727,2.205,-7.647,-0.013,0.012,-0.017
34584,-5.727,2.21,-7.626,-0.013,0.007,-0.019
34687,-5.739,2.195,-7.626,-0.013,0.011,-0.019
34789,-5.732,2.191,-7.63,-0.011,0.011,-0.017
34892,-5.741,2.205,-7.616,-0.008,0.009,-0.016
34995,-5.748,2.2,-7.638,-0.008,0.011,-0.014
35097,-5.758,2.184,-7.638,-0.012,0.012,-0.014
35200,-5.734,2.2,-7.609,-0.015,0.015,-0.019
35302,-5.763,2.186,-7.633,-0.016,0.013,-0.019
35404,-5.732,2.222,-7.623,-0.003,0.02,-0.014
35506,-5.751,2.14,-7.654,-0.026,0.017,-0.026
35609,-5.701,2.191,-7.669,-0.019,0.021,-0.017
35711,-5.722,2.219,-7.642,-0.001,0.011,-0.013
35814,-5.717,2.191,-7.645,-0.011,0.013,-0.014
35916,-5.715,2.2,-7.633,-0.019,0.012,-0.022
36019,-5.72,2.184,-7.661,-0.016,0.018,-0.02
36121,-5.722,2.207,-7.642,-0.004,0.012,-0.009
36224,-5.708,2.186,-7.659,-0.011,0.013,-0.016
36326,-5.708,2.195,-7.664,-0.018,0.018,-0.022
36429,-5.729,2.205,-7.649,-0.013,0.021,-0.016
36531,-5.672,2.176,-7.671,-0.016,0.014,-0.022
36634,-5.701,2.191,-7.661,-0.012,0.014,-0.018
36737,-5.703,2.207,-7.647,-0.013,0.014,-0.018
36840,-5.689,2.2,-7.657,-0.013,0.012,-0.017
36943,-5.71,2.179,-7.664,-0.018,0.014,-0.019
37045,-5.725,2.176,-7.654,-0.018,0.015,-0.019
37148,-5.713,2.193,-7.645,-0.016,0.009,-0.019
37251,-5.722,2.179,-7.642,-0.018,0.01,-0.022
37354,-5.72,2.193,-7.673,-0.016,0.012,-0.02
37457,-5.689,2.184,-7.707,-0.014,0.022,-0.02
37560,-5.701,2.198,-7.673,-0.013,0.014,-0.017
37663,-5.705,2.193,-7.647,-0.015,0.019,-0.021
37766,-5.674,2.195,-7.683,-0.01,0.014,-0.019
37869,-5.698,2.169,-7.666,-0.022,0.011,-0.019
37972,-5.72,2.172,-7.647,-0.019,0.01,-0.017
38075,-5.703,2.193,-7.671,-0.011,0.01,-0.014
38177,-5.713,2.195,-7.676,-0.013,0.009,-0.014
38280,-5.701,2.21,-7.659,-0.015,0.019,-0.015
38382,-5.713,2.198,-7.647,-0.015,0.011,-0.016
38485,-5.691,2.198,-7.669,-0.013,0.012,-0.017
38587,-5.72,2.205,-7.666,-0.014,0.014,-0.018
38690,-5.71,2.203,-7.661,-0.015,0.013,-0.017
38792,-5.705,2.193,-7.661,-0.016,0.013,-0.019
38895,-5.708,2.2,-7.659,-0.014,0.012,-0.017
38997,-5.705,2.203,-7.654,-0.013,0.014,-0.016
39100,-5.713,2.179,-7.645,-0.017,0.01,-0.017
39202,-5.686,2.212,-7.693,-0.011,0.016,-0.015
39305,-5.696,2.2,-7.654,-0.012,0.008,-0.017
39408,-5.715,2.203,-7.64,-0.012,0.007,-0.019
39511,-5.734,2.191,-7.647,-0.012,0.013,-0.018
39614,-5.703,2.203,-7.654,-0.011,0.018,-0.013
39717,-5.701,2.207,-7.666,-0.012,0.014,-0.016
39819,-5.708,2.2,-7.664,-0.014,0.01,-0.021
39922,-5.713,2.193,-7.647,-0.014,0.012,-0.018
40025,-5.713,2.188,-7.64,-0.01,0.013,-0.017
40128,-5.693,2.191,-7.659,0.002,0.011,-0.009
40230,-5.691,2.162,-7.652,0.006,-0.004,-0.004
40333,-5.739,2.193,-7.635,0.008,0.007,-0.013
40435,-5.77,2.188,-7.616,-0.001,0.012,-0.013
40538,-5.686,2.148,-7.671,-0.004,0.005,-0.005
40641,-5.72,2.167,-7.678,-0.006,0.009,-0.015
40744,-5.753,2.176,-7.621,-0.014,0.007,-0.025
40846,-5.722,2.157,-7.659,-0.016,0.005,-0.021
40949,-5.729,2.162,-7.652,-0.02,0.006,-0.021
41051,-5.794,2.136,-7.575,-0.018,0.015,-0.024
41154,-5.717,2.162,-7.669,-0.016,0.014,-0.022
41256,-5.765,2.145,-7.628,-0.014,0.011,-0.017
41359,-5.748,2.162,-7.64,-0.012,0.014,-0.014
41462,-5.717,2.169,-7.649,-0.015,0.012,-0.017
41565,-5.76,2.162,-7.645,-0.017,0.014,-0.018
41667,-5.772,2.152,-7.635,-0.015,0.015,-0.018
41770,-5.748,2.152,-7.638,-0.013,0.014,-0.016
41872,-5.751,2.169,-7.633,-0.014,0.012,-0.017
41975,-5.763,2.16,-7.626,-0.016,0.012,-0.018
42078,-5.751,2.169,-7.649,-0.015,0.021,-0.018
42181,-5.741,2.157,-7.645,-0.014,0.007,-0.019
42284,-5.734,2.155,-7.628,-0.011,0.009,-0.019
42387,-5.772,2.152,-7.642,-0.014,0.018,-0.017
42489,-5.751,2.176,-7.638,-0.015,0.017,-0.017
42592,-5.741,2.16,-7.657,-0.014,0.012,-0.017
42694,-5.744,2.172,-7.626,-0.016,0.017,-0.02
42797,-5.729,2.184,-7.647,-0.014,0.023,-0.016
42899,-5.737,2.157,-7.654,-0.007,0.017,-0.015
43002,-5.72,2.128,-7.664,-0.013,-0.001,-0.004
43105,-5.732,2.2,-7.628,-0.019,0.009,-0.007
43208,-5.734,2.152,-7.661,-0.019,-0.006,-0.013
43311,-5.751,2.195,-7.64,-0.014,-0.019,-0.016
43414,-5.827,2.241,-7.554,-0.024,-0.032,-0.013
43517,-5.863,2.191,-7.506,-0.022,-0.034,0.002
43620,-5.844,2.236,-7.525,-0.021,-0.001,-0.015
43723,-5.839,2.227,-7.587,-0.071,-0.004,-0.038
43826,-5.945,2.306,-7.386,-0.021,-0.021,-0.018
43929,-5.897,2.217,-7.523,0.023,0,-0.009
44032,-5.863,2.241,-7.513,-0.003,0.018,-0.034
44135,-5.878,2.191,-7.465,0.005,0.003,-0.04
44238,-5.959,2.167,-7.508,0.006,0.019,-0.044
44341,-5.981,2.126,-7.527,-0.001,-0.009,-0.027
44444,-5.976,2.16,-7.446,-0.016,-0.04,-0.02
44547,-6.069,2.143,-7.403,-0.015,-0.039,-0.03
44650,-6.1,2.14,-7.367,-0.011,-0.04,-0.023
44753,-6.096,2.169,-7.345,-0.02,-0.029,-0.032
44856,-6.072,2.102,-7.326,-0.019,-0.001,-0.017
44959,-6.057,2.128,-7.391,-0.017,0.01,-0.005
45062,-6.134,2.105,-7.398,-0.014,-0.005,-0.012
45165,-6.122,2.162,-7.36,-0.012,-0.035,-0.001
45268,-6.129,2.193,-7.286,-0.01,-0.038,-0.009
45371,-6.232,2.164,-7.187,-0.01,-0.015,-0.023
45474,-6.268,2.179,-7.235,0.005,0.003,-0.015
45577,-6.23,2.16,-7.247,-0.012,0.01,-0.019
45680,-6.208,2.205,-7.214,-0.02,0.018,-0.03
45782,-6.175,2.136,-7.266,-0.037,0.017,-0.043
45885,-6.244,2.155,-7.266,-0.046,0.017,-0.052
45988,-6.251,2.116,-7.216,-0.031,0.021,-0.034
46091,-6.251,2.116,-7.214,-0.021,0.026,-0.022
46194,-6.218,2.164,-7.269,-0.023,0.029,-0.027
46297,-6.189,2.167,-7.257,-0.018,0.025,-0.02
46400,-6.194,2.174,-7.262,-0.022,0.024,-0.017
46503,-6.203,2.152,-7.286,-0.017,0.032,-0.015
46606,-6.199,2.143,-7.274,-0.02,0.017,-0.017
46709,-6.153,2.157,-7.288,-0.03,0.011,-0.012
46812,-6.249,2.155,-7.266,-0.017,0.017,-0.007
46915,-6.146,2.193,-7.348,-0.025,0.025,-0.017
47018,-6.153,2.176,-7.312,-0.016,0.019,-0.002
47121,-6.105,2.224,-7.36,-0.013,0.019,-0.014
47224,-6.153,2.205,-7.307,-0.014,0.017,-0.017
47327,-6.098,2.215,-7.343,-0.018,0.001,-0.023
47430,-6.155,2.205,-7.293,-0.013,0.004,-0.018
47533,-6.182,2.239,-7.264,-0.016,0.008,-0.021
47636,-6.165,2.239,-7.29,-0.019,0.013,-0.023
47739,-6.163,2.227,-7.247,-0.018,0.021,-0.022
47842,-6.189,2.193,-7.307,-0.012,0.031,-0.012
47944,-6.129,2.195,-7.331,-0.011,0.015,-0.011
48046,-6.141,2.224,-7.341,-0.011,0.016,-0.022
48149,-6.163,2.217,-7.271,-0.005,0.006,-0.019
48251,-6.165,2.195,-7.264,-0.01,0.016,-0.013
48354,-6.132,2.212,-7.343,-0.012,0.018,-0.015
48457,-6.134,2.222,-7.3,-0.019,0.016,-0.02
48560,-6.155,2.21,-7.295,-0.026,0.021,-0.023
48663,-6.127,2.239,-7.305,-0.029,0.027,-0.024
48766,-6.141,2.215,-7.314,-0.023,0.027,-0.022
48868,-6.098,2.181,-7.329,-0.022,0.022,-0.021
48971,-6.108,2.224,-7.329,-0.014,0.023,-0.019
49074,-6.129,2.227,-7.343,-0.013,0.024,-0.012
49177,-6.038,2.255,-7.374,-0.013,0.021,-0.016
49280,-6.057,2.219,-7.379,-0.014,0.013,-0.021
