t (ms),a_x,a_y,a_z,g_x,g_y,g_z
54942,-8.763,2.356,-3.783,-0.01,0.009,-0.029
55045,-8.83,2.32,-3.701,-0.017,-0.024,-0.029
55147,-8.818,2.33,-3.697,-0.009,-0.033,-0.023
55250,-8.847,2.301,-3.632,-0.011,-0.06,-0.017
55353,-8.914,2.306,-3.522,-0.009,-0.041,-0.019
55456,-8.899,2.32,-3.505,-0.009,0.002,-0.02
55559,-8.894,2.303,-3.529,-0.01,0.034,-0.021
55662,-8.825,2.289,-3.572,-0.028,0,-0.027
55765,-8.878,2.277,-3.575,-0.025,0.024,-0.024
55868,-8.842,2.303,-3.565,-0.027,0.001,-0.03
55971,-8.923,2.33,-3.484,-0.024,0.005,-0.039
56074,-8.89,2.284,-3.474,-0.014,-0.002,-0.033
56177,-8.988,2.248,-3.431,-0.015,0.02,-0.027
56279,-8.863,2.224,-3.498,-0.023,0.009,-0.03
56382,-8.942,2.239,-3.488,-0.008,0.018,-0.023
56485,-8.902,2.203,-3.517,-0.004,0.019,-0.009
56588,-8.899,2.253,-3.529,-0.006,0.026,-0.003
56690,-8.878,2.258,-3.582,-0.018,0.018,-0.012
56793,-8.899,2.301,-3.479,0.001,0.039,-0.018
56896,-8.849,2.251,-3.591,-0.02,0.009,-0.033
56999,-8.935,2.234,-3.452,-0.012,0.038,-0.016
57101,-8.866,2.234,-3.598,0.005,0.021,-0.013
57204,-8.873,2.251,-3.56,-0.015,0.027,-0.024
57307,-8.861,2.231,-3.63,-0.024,0.028,-0.037
57410,-8.911,2.212,-3.536,-0.029,0.039,-0.035
57512,-8.801,2.219,-3.682,-0.02,0.034,-0.033
57615,-8.854,2.21,-3.663,-0.003,0.016,-0.013
57718,-8.856,2.203,-3.654,-0.001,0.014,-0.014
57821,-8.863,2.174,-3.639,-0.015,0.02,-0.026
57924,-8.882,2.148,-3.68,-0.011,0.022,-0.019
58027,-8.849,2.2,-3.644,-0.011,0.023,-0.009
58129,-8.837,2.219,-3.764,-0.005,0.038,-0.014
58232,-8.811,2.188,-3.721,-0.017,0.016,-0.018
58335,-8.868,2.2,-3.718,-0.02,0.017,-0.02
58438,-8.808,2.181,-3.73,-0.017,0.012,-0.018
58540,-8.844,2.179,-3.704,-0.018,0,-0.015
58643,-8.839,2.191,-3.687,-0.014,0.007,-0.015
58745,-8.952,2.181,-3.555,-0.011,0.017,-0.015
58848,-8.782,2.172,-3.704,-0.014,0.017,-0.023
58950,-8.892,2.2,-3.634,-0.029,0.019,-0.023
59053,-8.83,2.191,-3.706,-0.019,0.033,-0.021
59156,-8.849,2.191,-3.706,-0.02,0.013,-0.017
59259,-8.82,2.217,-3.723,-0.015,0.015,-0.017
59362,-8.806,2.193,-3.74,-0.018,0.014,-0.02
59465,-8.878,2.188,-3.642,-0.016,0.013,-0.022
59568,-8.78,2.2,-3.768,-0.011,0.014,-0.019
59670,-8.842,2.176,-3.711,-0.017,0.009,-0.015
59773,-8.842,2.191,-3.718,-0.018,0.015,-0.013
59876,-8.827,2.227,-3.699,-0.016,0.006,-0.012
59979,-8.832,2.241,-3.723,-0.012,0.011,-0.01
60082,-8.813,2.248,-3.701,-0.006,0.021,-0.014
60185,-8.837,2.212,-3.68,-0.014,0.019,-0.025
60288,-8.756,2.227,-3.852,-0.008,0.031,-0.024
60391,-8.792,2.184,-3.792,-0.021,-0.006,-0.021
60494,-8.827,2.16,-3.689,-0.025,0.007,-0.024
60597,-8.82,2.172,-3.725,-0.026,0,-0.039
60700,-8.842,2.215,-3.709,-0.021,0.009,-0.019
60803,-8.861,2.236,-3.677,-0.001,0.023,0
60906,-8.823,2.193,-3.692,-0.007,0.017,-0.011
61009,-8.856,2.212,-3.742,-0.011,0.033,-0.018
61112,-8.789,2.179,-3.759,-0.016,0.018,-0.019
61215,-8.83,2.215,-3.757,-0.016,0.021,-0.014
61318,-8.83,2.176,-3.752,0.005,0.043,-0.012
61421,-8.803,2.191,-3.79,-0.019,0.023,-0.013
61524,-8.784,2.219,-3.771,-0.018,0.012,-0.015
61627,-8.801,2.251,-3.773,-0.017,0.013,-0.013
61730,-8.856,2.227,-3.706,-0.007,0.029,-0.012
61833,-8.712,2.21,-3.874,-0.015,0.011,-0.022
61936,-8.806,2.222,-3.795,-0.017,0.014,-0.022
62039,-8.78,2.193,-3.802,-0.013,0.015,-0.021
62142,-8.837,2.222,-3.778,-0.012,0.014,-0.013
62245,-8.734,2.227,-3.836,-0.007,0.021,-0.017
62348,-8.784,2.176,-3.824,-0.015,0.003,-0.017
62450,-8.863,2.21,-3.704,-0.017,0.022,-0.017
62553,-8.729,2.203,-3.869,-0.012,0.014,-0.023
62656,-8.784,2.241,-3.795,-0.001,-0.009,-0.011
62759,-8.751,2.243,-3.78,0.015,0.003,0.008
62862,-8.82,2.191,-3.766,-0.011,-0.016,-0.017
62965,-8.808,2.181,-3.78,-0.028,0.023,-0.027
63068,-8.799,2.212,-3.74,-0.04,0.021,-0.024
63171,-8.787,2.277,-3.745,-0.022,0.015,-0.02
63274,-8.739,2.234,-3.838,-0.012,0.001,-0.027
63376,-8.799,2.212,-3.757,-0.015,0.025,-0.016
63478,-8.811,2.21,-3.785,-0.015,0.023,-0.022
63581,-8.763,2.231,-3.797,-0.016,0.011,-0.021
63684,-8.856,2.195,-3.694,-0.013,0.009,-0.016
63787,-8.751,2.198,-3.85,-0.012,0.018,-0.01
63890,-8.839,2.227,-3.713,-0.019,0.015,-0.019
63993,-8.818,2.212,-3.797,-0.018,0.032,-0.015
64095,-8.794,2.222,-3.718,-0.018,0.009,-0.012
64198,-8.818,2.255,-3.78,-0.011,0.017,-0.017
64300,-8.777,2.224,-3.792,-0.021,0.023,-0.018
64403,-8.784,2.248,-3.795,-0.019,0.014,-0.031
64506,-8.799,2.217,-3.795,-0.006,0.018,-0.027
64609,-8.796,2.229,-3.792,0,0.015,-0.014
64712,-8.83,2.2,-3.768,-0.003,0.011,-0.024
64815,-8.748,2.162,-3.883,-0.011,0.02,-0.028
64918,-8.803,2.174,-3.8,-0.021,0.013,-0.023
65021,-8.782,2.188,-3.843,-0.019,0.015,-0.018
65124,-8.763,2.241,-3.84,-0.047,0.002,-0.022
65227,-8.882,2.167,-3.699,-0.018,0.035,-0.008
65329,-8.701,2.21,-3.912,-0.004,0.003,-0.012
65432,-8.835,2.195,-3.795,-0.018,0.035,-0.014
65534,-8.722,2.224,-3.895,-0.022,0.014,-0.016
65637,-8.772,2.205,-3.816,-0.007,0.005,-0.013
65740,-8.77,2.21,-3.812,-0.003,0.009,-0.014
65843,-8.792,2.205,-3.816,-0.012,-0.008,-0.019
65945,-8.825,2.234,-3.776,-0.004,0.016,-0.01
66048,-8.78,2.21,-3.788,0.011,0.002,0.001
66151,-8.756,2.219,-3.876,-0.001,0.015,-0.001
66254,-8.827,2.195,-3.713,-0.007,0.026,-0.017
66357,-8.746,2.239,-3.871,-0.026,0.029,-0.021
66460,-8.736,2.241,-3.864,-0.02,0.018,-0.02
66563,-8.748,2.248,-3.84,-0.01,0.017,-0.02
66666,-8.775,2.2,-3.876,-0.014,0.006,-0.019
66769,-8.801,2.21,-3.807,-0.02,0.01,-0.019
66872,-8.796,2.2,-3.833,-0.027,0.009,-0.017
66974,-8.775,2.26,-3.802,-0.037,0.036,0
67076,-8.703,2.334,-3.941,0.002,0.021,-0.018
67178,-8.672,2.224,-3.883,-0.015,-0.022,-0.03
67281,-8.811,2.231,-3.795,-0.023,0,-0.032
67384,-8.772,2.184,-3.814,-0.026,0.007,-0.032
67487,-8.803,2.234,-3.785,-0.015,0.009,-0.022
67590,-8.818,2.181,-3.79,-0.003,0.006,-0.018
67693,-8.803,2.203,-3.797,-0.014,0.012,-0.013
67796,-8.827,2.207,-3.745,-0.016,0.01,-0.023
67899,-8.739,2.234,-3.824,-0.002,0.01,-0.027
68001,-8.768,2.195,-3.828,-0.011,0.011,-0.03
68104,-8.801,2.186,-3.783,-0.022,0.013,-0.03
68207,-8.808,2.148,-3.771,-0.019,0.001,-0.029
68310,-8.839,2.155,-3.754,-0.011,0.007,-0.024
68413,-8.808,2.131,-3.788,-0.012,0.005,-0.019
68516,-8.825,2.133,-3.74,-0.015,-0.001,-0.019
68618,-8.823,2.167,-3.773,-0.002,0.024,-0.01
68721,-8.823,2.14,-3.773,-0.001,0.009,-0.013
68823,-8.823,2.145,-3.766,-0.019,0.023,-0.018
68926,-8.794,2.176,-3.778,-0.031,0.013,-0.029
69029,-8.849,2.162,-3.728,-0.009,0.023,-0.026
69132,-8.813,2.136,-3.761,-0.002,0.019,-0.015
69234,-8.873,2.114,-3.754,0.006,0.05,-0.002
69336,-8.729,2.128,-3.905,-0.012,0.017,-0.015
69439,-8.782,2.136,-3.852,-0.02,0.006,-0.017
69542,-8.801,2.133,-3.809,-0.013,0.017,-0.01
69645,-8.789,2.176,-3.809,-0.012,0.017,-0.007
69748,-8.775,2.186,-3.847,-0.007,0.019,-0.013
69851,-8.76,2.167,-3.871,-0.012,0.009,-0.015
69954,-8.799,2.16,-3.845,-0.009,0.021,-0.015
70057,-8.803,2.124,-3.809,-0.014,0.011,-0.017
70160,-8.825,2.145,-3.807,-0.011,0.031,-0.007
70263,-8.732,2.162,-3.857,-0.012,0.024,-0.004
70366,-8.765,2.186,-3.876,-0.017,0.025,-0.008
70468,-8.729,2.191,-3.898,-0.014,0.024,-0.01
70571,-8.748,2.219,-3.903,-0.014,0.027,-0.003
70674,-8.703,2.212,-3.946,-0.018,0.008,-0.017
70777,-8.748,2.224,-3.859,-0.019,0.003,-0.017
70879,-8.756,2.203,-3.859,-0.016,0.01,-0.018
70981,-8.782,2.217,-3.857,-0.015,0.012,-0.018
71084,-8.768,2.219,-3.867,-0.014,0.018,-0.022
71187,-8.794,2.198,-3.84,-0.014,0.022,-0.023
71290,-8.727,2.205,-3.919,-0.012,0.027,-0.019
71392,-8.729,2.198,-3.934,-0.015,0.023,-0.013
71495,-8.729,2.224,-3.929,-0.016,0.024,-0.012
71597,-8.701,2.229,-3.934,-0.014,0.011,-0.011
71699,-8.763,2.222,-3.907,-0.012,0.01,-0.014
71802,-8.722,2.229,-3.924,-0.013,0.016,-0.015
71905,-8.763,2.227,-3.864,-0.018,0.015,-0.023
72007,-8.665,2.239,-3.991,-0.016,0.017,-0.023
72110,-8.736,2.207,-3.919,-0.018,0.013,-0.021
72213,-8.724,2.198,-3.953,-0.013,0.014,-0.017
72315,-8.734,2.222,-3.91,-0.012,0.002,-0.015
72418,-8.763,2.229,-3.881,-0.01,0.003,-0.019
72520,-8.739,2.193,-3.888,-0.015,0.011,-0.019
72622,-8.748,2.198,-3.915,-0.019,0.016,-0.024
72725,-8.753,2.207,-3.857,-0.007,0.034,-0.017
72827,-8.689,2.21,-3.962,-0.01,0.007,-0.022
72930,-8.736,2.193,-3.958,-0.01,0.017,-0.019
73033,-8.72,2.176,-3.95,-0.011,0.021,-0.019
73136,-8.753,2.186,-3.922,-0.017,0.015,-0.02
73239,-8.729,2.198,-3.95,-0.009,0.026,-0.016
73342,-8.724,2.205,-3.97,-0.009,0.021,-0.016
73445,-8.746,2.2,-3.919,-0.012,0.026,-0.021
73548,-8.657,2.167,-4.058,-0.016,0.024,-0.019
73650,-8.698,2.164,-4.01,-0.02,0.028,-0.016
73753,-8.72,2.184,-3.982,-0.016,0.026,-0.012
73856,-8.691,2.222,-4.005,-0.018,0.02,-0.01
73959,-8.691,2.243,-3.991,-0.006,0.038,-0.019
74061,-8.691,2.219,-4.063,-0.003,0.039,-0.022
74164,-8.705,2.205,-4.073,0.007,0.062,-0.023
74267,-8.655,2.124,-4.07,-0.011,0.02,-0.022
74370,-8.655,2.172,-4.159,-0.017,0.017,-0.019
74473,-8.574,2.157,-4.161,-0.018,0,-0.03
74576,-8.669,2.16,-4.132,-0.015,-0.012,-0.021
74679,-8.665,2.167,-4.058,-0.018,-0.023,-0.016
74782,-8.758,2.167,-3.991,-0.014,-0.009,-0.015
74885,-8.61,2.14,-4.108,-0.012,-0.002,-0.009
74988,-8.712,2.172,-4.008,-0.016,-0.01,-0.005
75091,-8.715,2.188,-3.994,-0.018,0.001,-0.005
75194,-8.727,2.227,-3.946,-0.022,-0.006,-0.015
75297,-8.758,2.229,-3.903,-0.012,-0.01,-0.019
75400,-8.686,2.203,-3.943,0,-0.001,0
75503,-8.72,2.224,-3.936,-0.001,0.026,-0.003
75606,-8.717,2.203,-3.977,-0.015,0.028,-0.013
75708,-8.76,2.215,-3.883,-0.023,0.02,-0.012
75811,-8.71,2.258,-3.965,-0.027,0.023,-0.017
75914,-8.708,2.217,-4.015,-0.025,0.022,-0.02
76017,-8.698,2.246,-4.005,-0.026,0.023,-0.013
76120,-8.689,2.272,-4.013,-0.02,0.026,-0.013
76222,-8.655,2.274,-4.032,-0.015,0.007,-0.023
76324,-8.691,2.246,-3.984,-0.015,0.007,-0.02
76426,-8.689,2.239,-4.017,-0.015,0.008,-0.019
76528,-8.722,2.263,-3.96,-0.016,0.003,-0.023
76630,-8.739,2.246,-3.958,-0.01,0.007,-0.02
76733,-8.703,2.236,-3.955,-0.01,0.013,-0.014
76836,-8.72,2.227,-3.972,-0.008,0.04,-0.01
76939,-8.65,2.212,-4.051,-0.018,0.021,-0.018
77042,-8.686,2.258,-4.02,-0.019,0.017,-0.012
77144,-8.645,2.251,-4.029,-0.017,0.017,-0.01
77247,-8.686,2.27,-4.001,-0.022,-0.001,-0.017
77350,-8.71,2.267,-3.986,-0.018,0.016,-0.016
77453,-8.698,2.267,-3.979,-0.018,0.001,-0.015
77556,-8.732,2.27,-3.948,-0.008,0.024,-0.009
77659,-8.641,2.272,-4.001,-0.01,0.013,-0.015
77762,-8.686,2.291,-3.994,-0.017,0.012,-0.018
77865,-8.665,2.277,-4.01,-0.013,0.014,-0.019
77968,-8.689,2.272,-4.008,-0.014,0.009,-0.018
78070,-8.684,2.265,-3.989,-0.014,0.012,-0.018
78173,-8.686,2.267,-3.979,-0.017,0.008,-0.022
78276,-8.71,2.279,-3.984,-0.002,0.019,-0.014
78379,-8.677,2.229,-3.989,-0.006,-0.004,-0.014
78481,-8.705,2.263,-4.008,-0.013,0.01,-0.02
78584,-8.684,2.239,-3.977,-0.019,0.011,-0.022
78687,-8.705,2.274,-3.967,-0.019,0.009,-0.022
78790,-8.691,2.258,-3.986,-0.008,0.014,-0.016
78893,-8.729,2.267,-3.915,-0.005,0.017,-0.014
78996,-8.657,2.26,-4.017,-0.006,0.013,-0.021
79099,-8.701,2.246,-3.977,-0.016,0.011,-0.022
79202,-8.696,2.231,-4.001,-0.019,0.019,-0.021
79305,-8.681,2.246,-4.001,-0.02,0.012,-0.019
79408,-8.705,2.239,-3.965,-0.013,0.013,-0.018
79511,-8.693,2.26,-3.97,-0.009,0.011,-0.017
79614,-8.729,2.248,-3.943,-0.003,0.035,-0.016
79717,-8.638,2.229,-4.051,-0.014,0.009,-0.026
79820,-8.722,2.229,-3.972,-0.013,0.012,-0.021
79923,-8.66,2.227,-4.013,-0.01,0.013,-0.017
80026,-8.693,2.229,-4.013,-0.016,0.016,-0.017
80128,-8.672,2.222,-4.034,-0.021,0.022,-0.023
80230,-8.684,2.229,-4.022,-0.027,0.017,-0.026
80333,-8.765,2.195,-3.941,-0.016,0.035,-0.02
80436,-8.626,2.241,-4.07,-0.014,0.016,-0.013
80539,-8.686,2.251,-4.034,-0.014,0.013,-0.011
80642,-8.65,2.255,-4.065,-0.013,0.02,-0.011
80745,-8.677,2.255,-4.029,-0.018,0.013,-0.016
80848,-8.655,2.255,-4.034,-0.012,0.013,-0.019
80951,-8.667,2.26,-4.053,-0.011,0.012,-0.016
81054,-8.705,2.241,-3.986,-0.012,0.015,-0.022
81157,-8.614,2.241,-4.111,-0.011,0.02,-0.023
81259,-8.662,2.231,-4.065,-0.017,0.014,-0.02
81362,-8.677,2.219,-4.068,-0.013,0.015,-0.018
81465,-8.662,2.241,-4.041,-0.015,0.007,-0.013
81568,-8.684,2.239,-4.022,-0.013,0.01,-0.017
81671,-8.66,2.246,-4.061,-0.01,0.014,-0.015
81774,-8.681,2.227,-4.039,-0.011,0.015,-0.022
81877,-8.624,2.229,-4.142,-0.006,0.035,-0.018
81980,-8.662,2.212,-4.08,-0.016,0.012,-0.023
82083,-8.66,2.21,-4.082,-0.011,0.017,-0.02
82186,-8.662,2.219,-4.061,-0.01,0.006,-0.015
82289,-8.677,2.21,-4.058,-0.013,0.013,-0.015
82392,-8.643,2.215,-4.094,-0.018,0.014,-0.018
82495,-8.66,2.224,-4.085,-0.023,0.017,-0.022
82598,-8.672,2.224,-4.075,-0.014,0.03,-0.012
82700,-8.626,2.217,-4.099,-0.015,0.006,-0.013
82803,-8.66,2.231,-4.087,-0.012,0.011,-0.014
82905,-8.626,2.215,-4.08,-0.016,0.006,-0.015
83008,-8.662,2.248,-4.073,-0.014,0.007,-0.016
83111,-8.641,2.234,-4.075,-0.01,0.011,-0.015
83214,-8.665,2.248,-4.075,-0.012,0.01,-0.016
83316,-8.686,2.219,-4.029,-0.013,0.014,-0.02
83419,-8.626,2.217,-4.118,-0.018,0.023,-0.019
83522,-8.65,2.236,-4.099,-0.018,0.017,-0.016
83625,-8.662,2.239,-4.085,-0.007,0.017,-0.008
83728,-8.633,2.239,-4.106,-0.011,0.006,-0.009
83831,-8.669,2.251,-4.092,-0.015,0.013,-0.015
83933,-8.657,2.246,-4.075,-0.018,0.017,-0.019
84036,-8.645,2.258,-4.082,-0.021,0.015,-0.02
84138,-8.669,2.255,-4.051,-0.01,0.029,-0.016
84241,-8.571,2.241,-4.154,-0.015,0.006,-0.019
84343,-8.617,2.248,-4.123,-0.01,0.007,-0.015
84446,-8.629,2.248,-4.096,-0.009,0.003,-0.014
84548,-8.665,2.241,-4.053,-0.013,-0.004,-0.015
84651,-8.667,2.26,-4.058,-0.011,0.004,-0.016
84753,-8.657,2.246,-4.041,-0.013,0.008,-0.018
84856,-8.677,2.263,-4.046,-0.014,0.012,-0.018
84959,-8.672,2.241,-4.089,-0.01,0.032,-0.013
85062,-8.631,2.227,-4.073,-0.019,0.008,-0.019
85164,-8.672,2.207,-4.065,-0.022,0.01,-0.02
85266,-8.633,2.236,-4.113,-0.028,0.008,-0.014
85369,-8.672,2.26,-4.065,-0.028,0.006,-0.014
85472,-8.655,2.27,-4.046,-0.017,0.003,-0.008
85575,-8.667,2.284,-4.025,-0.017,0.002,-0.007
85678,-8.691,2.296,-3.972,-0.015,0.012,-0.014
85780,-8.614,2.308,-4.061,-0.011,0.013,-0.017
85883,-8.669,2.298,-4.022,-0.016,0.01,-0.016
85985,-8.667,2.296,-4.015,-0.014,0.012,-0.019
86088,-8.679,2.294,-4.01,-0.015,0.003,-0.02
86190,-8.674,2.286,-4.017,-0.015,0.006,-0.022
86293,-8.674,2.26,-4.005,-0.011,0.002,-0.015
86395,-8.672,2.279,-4.013,-0.017,0.005,-0.015
86498,-8.689,2.286,-4.02,-0.014,0.015,-0.013
86601,-8.638,2.272,-4.015,-0.018,-0.015,-0.018
86704,-8.674,2.284,-3.97,-0.011,-0.016,-0.011
86807,-8.65,2.26,-3.991,-0.019,-0.016,-0.003
86910,-8.727,2.325,-3.915,-0.031,-0.025,-0.013
87013,-8.727,2.31,-3.847,-0.036,-0.023,-0.025
87116,-8.741,2.361,-3.809,-0.034,-0.022,-0.019
87219,-8.77,2.368,-3.723,-0.027,-0.019,-0.021
87322,-8.724,2.358,-3.819,-0.022,-0.013,-0.023
87425,-8.811,2.337,-3.735,-0.015,-0.023,-0.023
87528,-8.839,2.339,-3.735,-0.003,-0.015,-0.011
87631,-8.873,2.239,-3.692,-0.007,-0.018,-0.006
87734,-8.76,2.263,-3.62,-0.032,0.005,0.011
87837,-8.684,2.409,-3.615,-0.05,-0.009,-0.011
87940,-8.83,2.397,-3.529,-0.067,-0.042,-0.048
