t (ms),a_x,a_y,a_z,g_x,g_y,g_z
44266,-2.981,0.601,-9.246,-0.039,0.040,-0.006
44369,-3.038,0.680,-9.196,-0.015,0.025,0.010
44473,-3.065,0.654,-9.155,-0.029,0.029,0.001
44576,-2.986,0.644,-9.273,-0.026,0.034,-0.007
44680,-2.986,0.682,-9.206,-0.040,0.031,-0.011
44783,-2.942,0.740,-9.263,-0.023,0.017,-0.017
44886,-2.957,0.766,-9.251,-0.004,0.020,-0.017
44989,-2.945,0.747,-9.215,-0.013,0.021,-0.016
45093,-2.940,0.733,-9.220,-0.020,0.018,-0.017
45196,-2.942,0.718,-9.230,-0.026,0.019,-0.023
45300,-2.966,0.737,-9.196,-0.032,0.028,-0.020
45403,-2.904,0.646,-9.316,-0.077,0.048,0.002
45506,-2.883,0.821,-9.227,-0.026,0.018,-0.004
45609,-2.919,0.816,-9.232,-0.010,0.018,-0.014
45713,-2.875,0.812,-9.234,-0.013,0.015,-0.017
45816,-2.878,0.864,-9.256,-0.013,0.016,-0.017
45919,-2.873,0.816,-9.251,-0.016,0.015,-0.023
46022,-2.868,0.816,-9.246,-0.019,0.015,-0.025
46126,-2.907,0.824,-9.234,-0.022,0.022,-0.018
46229,-2.847,0.797,-9.244,-0.025,0.016,-0.012
46333,-2.866,0.824,-9.232,-0.020,0.019,-0.017
46436,-2.885,0.845,-9.251,-0.016,0.017,-0.020
46539,-2.847,0.848,-9.234,-0.014,0.013,-0.019
46642,-2.875,0.816,-9.249,-0.015,0.014,-0.021
46746,-2.859,0.838,-9.256,-0.015,0.014,-0.023
46849,-2.854,0.831,-9.249,-0.017,0.015,-0.023
46952,-2.871,0.816,-9.227,-0.017,0.014,-0.023
47055,-2.825,0.788,-9.280,-0.022,0.013,-0.023
47158,-2.847,0.821,-9.251,-0.021,0.010,-0.020
47262,-2.856,0.819,-9.215,-0.014,0.008,-0.018
47365,-2.859,0.814,-9.246,-0.015,0.009,-0.020
47468,-2.871,0.845,-9.232,-0.015,0.010,-0.022
47572,-2.863,0.824,-9.239,-0.020,0.014,-0.024
47676,-2.880,0.821,-9.258,-0.021,0.013,-0.024
47779,-2.861,0.814,-9.242,-0.017,0.013,-0.022
47882,-2.861,0.828,-9.246,-0.014,0.011,-0.022
47985,-2.866,0.855,-9.246,-0.019,0.019,-0.019
48088,-2.863,0.852,-9.230,-0.018,0.010,-0.020
48191,-2.863,0.840,-9.266,-0.015,0.021,-0.022
48294,-2.856,0.831,-9.246,-0.013,0.022,-0.026
48397,-2.842,0.836,-9.249,-0.016,0.010,-0.021
48500,-2.854,0.814,-9.254,-0.017,0.009,-0.020
48603,-2.866,0.831,-9.237,-0.019,0.016,-0.022
48706,-2.856,0.826,-9.258,-0.016,0.016,-0.023
48809,-2.847,0.821,-9.254,-0.015,0.012,-0.022
48912,-2.868,0.821,-9.251,-0.021,0.015,-0.019
49015,-2.854,0.828,-9.275,-0.025,0.025,-0.018
49118,-2.849,0.831,-9.266,-0.016,0.011,-0.018
49221,-2.832,0.828,-9.249,-0.018,0.012,-0.020
49324,-2.847,0.840,-9.237,-0.020,0.013,-0.022
49427,-2.811,0.833,-9.256,-0.021,0.007,-0.025
49530,-2.859,0.855,-9.266,-0.023,0.004,-0.026
49633,-2.875,0.833,-9.239,-0.019,0.007,-0.024
49737,-2.883,0.833,-9.246,-0.017,0.013,-0.023
49840,-2.871,0.826,-9.225,-0.016,0.021,-0.021
49943,-2.856,0.848,-9.266,-0.015,0.018,-0.019
50046,-2.861,0.867,-9.254,-0.019,0.020,-0.019
50149,-2.837,0.840,-9.254,-0.018,0.012,-0.021
50252,-2.844,0.852,-9.256,-0.017,0.018,-0.021
50355,-2.868,0.852,-9.230,-0.017,0.014,-0.018
50458,-2.835,0.831,-9.244,-0.015,0.009,-0.020
50561,-2.885,0.828,-9.249,-0.008,0.016,-0.021
