t (ms),a_x,a_y,a_z,g_x,g_y,g_z
323134,-5.095,1.920,-7.915,-0.008,0.029,-0.009
323238,-5.061,1.923,-7.968,-0.005,0.011,-0.012
323341,-5.069,1.920,-7.925,0.004,0.009,-0.018
323445,-5.107,1.923,-7.913,0.001,0.015,-0.019
323548,-5.073,1.903,-7.918,0.000,0.011,-0.016
323652,-5.071,1.899,-7.901,0.003,0.013,-0.016
323755,-5.076,1.901,-7.915,-0.002,0.013,-0.017
323859,-5.090,1.901,-7.901,0.002,0.018,-0.018
323962,-5.049,1.877,-7.966,0.001,0.017,-0.019
324066,-5.088,1.887,-7.908,0.005,0.014,-0.020
324169,-5.085,1.891,-7.920,0.018,0.008,-0.020
324273,-5.059,1.858,-7.942,0.007,0.015,-0.014
324376,-5.042,1.882,-7.951,-0.001,0.010,-0.019
324480,-5.473,1.662,-7.690,-0.061,-0.084,-0.044
324583,-4.863,1.915,-8.030,-0.072,0.039,0.066
324687,-5.061,2.203,-7.819,-0.114,0.052,0.070
324790,-5.025,2.234,-7.973,-0.067,0.058,-0.001
324894,-4.939,2.313,-7.865,-0.012,0.023,0.010
324997,-4.872,2.274,-8.009,0.025,0.053,-0.038
325101,-4.855,2.081,-8.030,-0.020,0.024,-0.085
325204,-5.006,2.327,-7.772,-0.004,0.086,-0.112
325308,-4.805,2.131,-8.066,0.059,0.055,-0.051
325411,-4.843,2.011,-8.061,0.105,0.009,-0.003
325515,-4.882,1.958,-8.155,0.085,0.005,-0.030
325618,-4.793,1.717,-8.066,-0.064,0.011,-0.000
325722,-5.088,2.234,-7.796,0.009,0.025,-0.015
325825,-4.788,1.875,-8.198,0.063,0.061,-0.075
325929,-4.851,1.776,-8.112,0.050,0.004,-0.017
326032,-4.891,1.781,-7.839,0.079,-0.005,0.034
326136,-4.887,1.580,-8.241,-0.014,0.052,-0.075
326239,-4.951,1.676,-7.982,-0.014,0.000,-0.025
326343,-4.731,1.836,-8.159,0.002,0.014,0.013
326446,-4.944,1.611,-8.135,0.032,-0.089,0.001
326550,-4.963,1.724,-8.042,-0.048,-0.116,-0.042
326653,-5.071,1.736,-8.083,-0.016,-0.296,-0.051
326757,-5.701,1.755,-7.580,-0.109,-0.426,-0.078
326860,-5.784,1.810,-7.501,-0.056,-0.371,-0.094
326964,-6.139,1.815,-7.061,-0.010,-0.362,-0.084
327067,-6.445,1.887,-6.788,-0.054,-0.284,-0.055
327171,-6.460,1.654,-6.431,0.005,-0.024,-0.026
327274,-6.589,1.635,-6.613,0.044,0.222,0.006
327377,-6.361,1.602,-7.089,0.111,0.329,-0.029
327480,-5.950,1.592,-7.369,0.062,0.262,0.016
327583,-5.883,1.872,-7.470,0.068,0.174,0.034
327686,-5.701,1.841,-7.587,0.060,0.137,-0.034
327789,-5.377,1.657,-7.731,0.102,0.195,-0.034
327892,-5.499,1.243,-7.817,0.003,0.176,-0.096
327995,-5.174,1.314,-7.882,-0.095,0.185,-0.015
328098,-5.164,1.707,-7.970,-0.054,0.137,-0.045
328201,-5.188,1.451,-7.997,-0.022,0.076,-0.002
328304,-5.179,1.597,-7.982,-0.006,0.012,0.002
328407,-4.999,1.520,-7.915,0.037,-0.050,-0.016
328510,-5.126,1.748,-8.025,-0.006,0.167,0.012
328613,-5.016,1.513,-7.922,0.007,0.010,-0.035
328716,-4.927,1.654,-8.128,-0.019,0.063,-0.001
328819,-5.069,1.393,-8.121,0.134,0.033,0.002
328922,-4.724,1.274,-8.174,-0.073,0.079,-0.034
329026,-4.843,1.839,-8.097,-0.032,0.004,-0.067
329129,-4.944,1.563,-8.231,-0.038,-0.115,-0.068
329232,-5.236,1.547,-7.834,0.060,-0.290,-0.030
329335,-5.528,1.480,-7.779,-0.000,-0.211,-0.068
329439,-5.612,1.439,-7.798,0.031,-0.247,-0.111
329542,-6.213,1.422,-7.913,0.029,-0.488,-0.125
329645,-6.232,1.125,-6.574,-0.261,-0.497,-0.088
329748,-6.256,1.475,-7.013,-0.161,-0.100,-0.095
329852,-6.656,1.350,-6.730,-0.091,-0.029,0.000
329955,-6.680,1.448,-6.536,-0.011,0.134,0.065
330058,-6.414,1.472,-6.941,0.192,0.465,0.046
330161,-5.744,1.441,-7.106,0.090,0.517,0.111
330264,-5.425,1.693,-7.915,-0.017,0.499,0.170
330367,-5.329,2.054,-7.961,0.069,0.209,0.109
330470,-5.152,1.765,-7.827,0.099,0.169,-0.023
330573,-5.507,1.429,-7.728,0.048,0.029,-0.047
330676,-4.642,1.772,-8.504,-0.115,0.174,-0.048
330779,-4.899,1.300,-8.011,-0.083,-0.017,-0.002
330883,-5.109,1.463,-7.975,0.022,0.017,-0.013
330986,-5.112,1.618,-8.059,-0.002,-0.050,0.012
331089,-4.930,1.750,-7.980,0.058,-0.031,-0.041
331192,-4.851,1.257,-8.040,0.050,0.130,0.015
331295,-4.915,1.207,-8.274,-0.014,0.002,-0.100
331398,-4.963,1.377,-8.076,-0.068,0.046,-0.020
331501,-4.870,1.458,-8.198,-0.076,-0.004,-0.053
331604,-4.985,1.358,-8.006,0.015,0.052,-0.021
331707,-4.796,1.322,-8.346,-0.006,0.002,-0.107
331810,-5.006,1.312,-8.030,-0.046,-0.079,-0.068
331914,-5.049,1.578,-8.104,-0.033,-0.136,-0.048
332017,-5.171,1.386,-8.011,0.009,-0.195,-0.103
332120,-5.454,1.257,-7.894,0.035,-0.231,-0.052
332223,-5.842,1.776,-7.618,-0.018,-0.353,-0.050
332326,-6.017,1.223,-7.374,0.080,-0.480,-0.134
332429,-6.345,1.099,-6.857,-0.118,-0.355,-0.101
332532,-6.206,1.152,-6.706,-0.005,0.167,0.017
332635,-6.235,1.243,-7.372,0.047,0.442,0.056
332738,-5.715,1.425,-7.724,0.118,0.204,-0.020
332841,-5.672,1.068,-7.755,0.067,0.194,0.049
332944,-5.490,1.465,-7.884,0.114,0.157,0.033
333048,-5.495,0.637,-7.875,0.115,0.048,-0.019
333151,-5.614,1.010,-7.800,0.020,0.058,0.071
333254,-5.416,1.051,-7.956,-0.005,0.103,0.016
333357,-5.351,0.965,-7.973,-0.015,0.034,-0.074
333460,-5.476,0.905,-7.903,0.033,-0.083,-0.088
333563,-5.205,1.116,-7.733,-0.024,0.044,-0.040
333666,-5.284,1.111,-8.205,0.070,0.155,-0.025
333769,-5.306,0.764,-7.784,-0.036,-0.003,-0.022
333872,-5.183,1.104,-8.054,-0.081,0.054,0.011
333975,-5.346,1.006,-7.942,-0.028,-0.006,-0.031
334078,-5.200,1.144,-7.961,-0.030,0.052,-0.050
334181,-4.982,0.977,-8.183,0.026,0.053,-0.035
334284,-5.171,1.053,-7.906,0.062,0.052,-0.089
334388,-5.018,0.740,-8.329,-0.051,-0.069,-0.027
334491,-5.425,0.979,-7.963,0.013,-0.252,-0.009
334594,-5.559,0.862,-7.812,0.000,-0.213,-0.031
334697,-5.715,0.888,-7.712,0.011,-0.234,-0.033
334801,-5.902,0.982,-7.575,-0.016,-0.298,-0.133
334904,-6.282,0.857,-7.185,0.013,-0.270,-0.068
335007,-6.409,0.678,-6.843,0.047,-0.052,0.012
335111,-6.254,0.644,-7.221,0.019,0.183,0.021
335215,-6.117,0.816,-7.338,-0.015,0.283,-0.024
335319,-5.832,0.613,-7.434,-0.090,0.203,0.004
335423,-5.638,1.264,-7.934,-0.067,0.205,-0.061
335527,-5.454,1.001,-7.877,0.084,0.098,-0.068
335631,-5.423,0.558,-8.013,0.027,0.116,0.022
335735,-5.698,0.893,-7.597,-0.076,0.048,0.034
335839,-5.375,0.955,-7.932,-0.028,0.064,0.000
335943,-5.380,1.003,-7.968,-0.044,0.023,0.027
336047,-5.490,0.840,-7.879,0.021,-0.056,0.019
336151,-5.483,0.915,-7.635,-0.050,0.056,-0.002
336255,-5.255,1.279,-8.265,-0.107,0.172,-0.021
336359,-5.198,1.226,-7.726,0.067,0.013,0.012
336463,-5.138,1.183,-8.195,-0.008,0.075,-0.036
336567,-5.131,1.147,-7.985,0.011,0.004,-0.014
336671,-5.349,1.130,-7.887,-0.013,0.011,-0.020
336775,-5.301,1.154,-7.956,0.073,0.053,-0.039
336879,-5.064,0.907,-8.092,-0.017,0.045,-0.079
336983,-5.145,1.252,-8.107,-0.031,-0.055,-0.014
337087,-5.270,1.135,-8.028,-0.026,-0.151,-0.006
337191,-5.471,1.082,-7.896,0.054,-0.249,-0.036
337295,-5.669,0.927,-7.666,-0.019,-0.269,-0.032
337399,-5.856,1.085,-7.578,-0.107,-0.331,-0.041
337503,-6.270,1.061,-7.092,-0.100,-0.256,-0.023
337607,-6.352,1.171,-6.907,-0.087,-0.124,0.040
337711,-6.314,1.472,-6.926,0.088,0.176,-0.006
337815,-6.120,1.293,-7.319,0.154,0.327,0.007
337919,-5.885,1.147,-7.487,0.090,0.254,0.002
338022,-5.650,1.051,-7.707,0.027,0.184,-0.026
338126,-5.763,1.223,-7.697,0.108,0.101,-0.068
338229,-5.691,0.816,-7.731,0.035,0.068,-0.101
338333,-5.353,0.970,-7.956,-0.105,0.148,0.065
338437,-5.389,1.037,-7.930,-0.122,0.035,0.009
338540,-5.380,0.977,-7.894,0.148,-0.051,-0.077
338644,-5.499,0.699,-7.843,0.130,-0.008,-0.031
338747,-5.315,1.089,-7.867,-0.019,0.124,0.027
338851,-5.097,0.883,-8.231,-0.067,0.022,-0.063
338954,-5.380,0.998,-7.872,-0.035,-0.001,0.002
339058,-5.341,1.089,-7.891,-0.048,0.018,-0.001
339161,-5.418,0.979,-7.781,0.150,0.076,-0.057
339264,-5.064,0.816,-8.171,-0.072,0.074,-0.102
339367,-5.191,0.867,-8.126,-0.061,-0.080,0.009
339471,-5.394,1.049,-7.975,-0.040,-0.233,-0.034
339574,-5.535,1.027,-7.803,0.003,-0.281,-0.100
339678,-5.954,1.195,-7.530,0.015,-0.406,-0.052
339781,-6.448,0.807,-7.343,-0.074,-0.517,0.002
339885,-6.716,1.156,-6.800,-0.204,-0.440,0.009
339988,-6.747,0.929,-5.904,-0.209,-0.019,0.056
340092,-6.812,1.219,-6.433,0.093,0.190,-0.019
340195,-6.584,1.180,-6.955,0.076,0.387,-0.046
340298,-6.246,1.058,-7.288,0.074,0.319,-0.030
