a_x,a_y,a_z,g_x,g_y,g_z
-1.338,-0.019,-9.56,-0.013,0.014,-0.016
-1.334,-0.026,-9.562,-0.013,0.014,-0.015
-1.341,-0.019,-9.558,-0.012,0.014,-0.015
-1.348,-0.014,-9.565,-0.013,0.014,-0.015
-1.341,-0.029,-9.553,-0.013,0.014,-0.015
-1.346,-0.034,-9.555,-0.012,0.014,-0.015
-1.348,-0.026,-9.567,-0.012,0.014,-0.015
-1.348,-0.019,-9.548,-0.013,0.014,-0.015
-1.353,-0.031,-9.562,-0.013,0.014,-0.015
-1.348,-0.024,-9.55,-0.013,0.014,-0.016
-1.346,-0.026,-9.555,-0.012,0.014,-0.015
-1.341,-0.026,-9.548,-0.012,0.014,-0.015
-1.334,-0.017,-9.562,-0.013,0.014,-0.015
-1.341,-0.026,-9.56,-0.013,0.014,-0.015
-1.346,-0.019,-9.558,-0.012,0.014,-0.015
-1.35,-0.031,-9.558,-0.013,0.014,-0.015
