t (ms),a_x,a_y,a_z,g_x,g_y,g_z
1228181,-5.236,1.082,-8.042,-0.011,0.021,-0.021
1228285,-5.210,1.097,-8.045,-0.005,0.010,-0.022
1228389,-5.224,1.094,-8.040,-0.001,0.012,-0.022
1228492,-5.243,1.089,-8.049,-0.004,0.019,-0.023
1228596,-5.234,1.109,-8.045,-0.005,0.013,-0.022
1228699,-5.207,1.077,-8.047,-0.006,0.014,-0.024
1228803,-5.227,1.111,-8.028,-0.007,0.011,-0.025
1228906,-5.239,1.089,-8.042,-0.005,0.011,-0.024
1229010,-5.215,1.085,-8.035,-0.005,0.015,-0.023
1229113,-5.229,1.085,-8.033,-0.005,0.014,-0.024
1229217,-5.195,1.073,-8.088,-0.006,0.016,-0.022
1229320,-5.227,1.087,-8.040,-0.004,0.011,-0.021
1229424,-5.234,1.097,-8.013,-0.003,0.015,-0.022
1229527,-5.217,1.092,-8.054,-0.003,0.015,-0.023
1229631,-5.210,1.101,-8.042,-0.004,0.014,-0.023
1229734,-5.212,1.104,-8.045,-0.000,0.013,-0.025
1229837,-5.207,1.094,-8.040,-0.000,0.011,-0.024
1229940,-5.219,1.099,-8.054,-0.001,0.014,-0.024
1230043,-5.212,1.089,-8.045,-0.004,0.016,-0.026
1230146,-5.224,1.075,-8.045,-0.006,0.014,-0.025
1230249,-5.186,1.075,-8.095,-0.005,0.019,-0.024
1230352,-5.212,1.089,-8.054,-0.005,0.013,-0.023
1230455,-5.203,1.104,-8.042,-0.006,0.008,-0.026
1230558,-5.207,1.099,-8.071,-0.002,0.011,-0.022
1230662,-5.203,1.085,-8.056,-0.005,0.014,-0.023
1230765,-5.195,1.087,-8.054,-0.006,0.014,-0.023
1230869,-5.203,1.097,-8.059,-0.007,0.011,-0.022
1230972,-5.200,1.099,-8.045,-0.006,0.015,-0.022
1231076,-5.191,1.109,-8.066,-0.007,0.013,-0.023
1231179,-5.198,1.120,-8.061,-0.011,0.020,-0.020
1231283,-5.191,1.123,-8.052,-0.008,0.008,-0.024
1231386,-5.193,1.101,-8.042,-0.004,0.011,-0.024
1231489,-5.195,1.113,-8.061,-0.011,0.015,-0.026
1231592,-5.195,1.113,-8.064,-0.009,0.011,-0.024
1231695,-5.195,1.116,-8.064,-0.002,0.013,-0.024
1231798,-5.203,1.104,-8.047,-0.004,0.011,-0.023
1231901,-5.198,1.113,-8.054,-0.004,0.012,-0.023
1232004,-5.195,1.120,-8.040,-0.005,0.013,-0.023
1232108,-5.229,1.089,-8.035,-0.003,0.016,-0.025
1232211,-5.186,1.099,-8.073,-0.004,0.014,-0.025
1232315,-5.193,1.094,-8.054,-0.002,0.013,-0.021
1232418,-5.207,1.118,-8.042,-0.001,0.017,-0.020
1232522,-5.193,1.099,-8.059,0.001,0.014,-0.022
1232625,-5.186,1.106,-8.059,-0.001,0.018,-0.024
1232728,-5.179,1.104,-8.066,-0.001,0.015,-0.023
1232831,-5.183,1.106,-8.064,0.001,0.015,-0.025
1232934,-5.181,1.104,-8.068,-0.002,0.014,-0.024
1233037,-5.181,1.099,-8.071,-0.007,0.015,-0.024
1233140,-5.171,1.094,-8.116,-0.010,0.023,-0.022
1233243,-5.169,1.097,-8.071,-0.006,0.010,-0.025
1233346,-5.150,1.094,-8.083,-0.003,0.012,-0.025
1233449,-5.167,1.092,-8.085,-0.007,0.016,-0.023
1233552,-5.171,1.092,-8.090,-0.005,0.015,-0.023
1233655,-5.160,1.092,-8.073,-0.008,0.012,-0.023
1233758,-5.171,1.109,-8.078,-0.006,0.014,-0.023
1233861,-5.176,1.109,-8.064,0.005,0.013,-0.021
1233965,-5.193,1.116,-8.068,-0.006,0.019,-0.022
1234068,-5.152,1.118,-8.080,-0.006,0.010,-0.023
1234171,-5.157,1.104,-8.085,-0.009,0.013,-0.023
1234274,-5.181,1.125,-8.080,-0.009,0.014,-0.024
